Source Lot,Source Code,Lbs Shipped,Seeds/Lb,100-Seed Wt (G),Species Code,Common Name,Genus,Species,,,,,NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
'SOS-CO932-397,PAMU11-SOS-CO932-397-GRAND-20,0.0087,999118,0.0453,PAMU11,lobeleaf groundsel,Packera,multilobata,,,,,Packera multilobata,ASTERACEAE,PAMU11,7/1/2020,CO932-397,397,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Grand,BLM Area,Dirt Road,"From Kremmling head east on Park Ave, turn left/north on 22nd St, continue on CO HWY 22 for 2.5 miles, turn left/west on dirt road about .25 miles, collected on both sides of the road","40°5' 50.9562"" N","106°20' 21.3504"" W",40.09748,-106.33926,GPS,WGS84,2378,M,BLM,Artemisia tridentata:Elymus elymoides:Eriogonum umbellatum,,"Flat upland, hillslope",5,N,"Dry hillslope, sagebrush shrubland",Recreation,"Troublesome FM, sandstone, siltstone",Clay,300,<500,30,P,"Leaves alternate, obovate to oblanceolate, deeply pinnatifid. Corymb-like clusters, yellow disks, involucre bracts",,"M. Gardner, E. Varone DBG:In Field:10 JUN 2020","2:10 JUN 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",,,44020,,,EV3,WEB,.3-1,10YR 3/3,44124,PACKERA,multilobata,2020,
'SOS-CO932-398,PEOS-SOS-CO932-398-EAGLE-20,0.0228,271551,0.167,PEOS,Osterhout's beardtongue,Penstemon,osterhoutii,,,,,Penstemon osterhoutii,SCROPHULARIACEAE,PEOS,7/14/2020,CO932-398,398,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Eagle,BLM Area,CO HWY 11,"Take CO Rd 1/Trough Rd, Turn right/west onto CO HWY 11 just past Radium River Access, stay on CO HWY 11 for about .5 miles, collection on both sides of road","39°57' 27.3198"" N","106°33' 7.3974"" W",39.95758,-106.55205,GPS,WGS84,2184,M,BLM,Juniperus sp.:Artemisia tridentata:Pinus sp.,Grazed,Hillslope,45,SE,"Dry rocky slopes, sagebrush shrubland, pinyon-juniper woodland","Recreation, grazing, camping","Minturn FM, conglomerate, sandstone, shale, limestone",Clay,150,200,17.2,B,"Violet blue flowers, cylindrical inflorescence, densely paniculate with many flowers, staminode barely exerted, densely short bearded at apex, leaves ovate, glabrous/glaucous",,"M. Gardner, E. Varone DBG:In Field:10 JUN 2020","2:10 JUN 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",,,44033,44047,,EV2,WEB,1-1.5,10YR 3/2,44124,PENSTEMON,osterhoutii,2020,
'SOS-CO932-399,ORLU2-SOS-CO932-399-JACKSON-20,0.002,5968421,0.0075,ORLU2,yellow owl's-clover,Orthocarpus,luteus,,,,,Orthocarpus luteus,SCROPHULARIACEAE,ORLU2,7/29/2020,CO932-399,399,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Jackson,BLM area,dirt two-track,"Going northeast on CO-14, turn southwest on 24 to Coalmont. Follow 24 for 7.2 miles and turn north on 5, take 5 for 0.7 miles on 5E. Take two-track northwest through shrubland. Follow two-tack for 0.16 miles. Population is on north and south sides of road.","40°35' 13.1058"" N","106°32' 40.6926"" W",40.58697,-106.54463,GPS,WGS84,2564,M,BLM,Artemisia tridentata:Eriogonum umbellatum:Elymus elymoides:Poa sp.,Grazed,flat upland,12,NE,sagebrush shrubland,recreation; grazing,"Coalmont Fm, sandstone, conglomerate, shale, coal","Silt, Other : loam",2000,"<5,000",7,P,"flowers: yellow, partly covered by calyx; leaves: sessile, lanceolate, purple to reddish, green toward top of stem; stem: red to purple",,"Gardner, M., Varone, E.:In Field:09 JUL 2020","2:09 JUL 2020:Smithsonian (USA), Denver Botanic Gardens (KHD)",,,44046,44048,2,MG21,AEL,0.3-0.5,10YR 4/3,44133,ORTHOCARPUS,luteus,2020,
'SOS-CO932-401,PUTR2-SOS-CO932-401-GRAND-20,0.628,17081,2.6555,PUTR2,antelope bitterbrush,Purshia,tridentata,,,,,Purshia tridentata,ROSACEAE,PUTR2,8/4/2020,CO932-401,401,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Grand,BLM area,Dirt road/trail,"From Kremmling turn south on 6th st/HWY 9, follow for 2.3 miles to CO HWY 1/Trough Rd, turn west, follow for 7.4 miles to dirt road pull off on north side of road, park and walk road about 500 ft north west, population on both sides of road","39°59' 43.7418"" N","106°28' 30.8136"" W",39.99548,-106.47522,GPS,WGS84,2435,M,BLM,Artemisia tridentata:Populus tremuloides:Poa sp.:Penstemon sp.,,hillslope,12,NW,aspen conifer mixed forest,recreation,"Early Proterozoic, metamorphic, biotitic gneiss, schist, migmatite","Clay, Other : loam",200,<1000,3,P,"petals: 5, white to light yellow; sepals: 5, light green; leaves: green tometose on adaxial surface, witish tometose on abaxial surface, alternate, simple, 3 lobed at apex; fruit: ovoid achene, papery brown outer, with reddish purple seed inside",,"Gardner, M., Varone, E.:In Field:10 JUN 2020","2:10 JUN 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",,,44048,,2,MG13,AEL,3-Feb,10YR 3/2,44133,PURSHIA,tridentata,2020,
'SOS-CO932-402,PASM-SOS-CO932-402-ROUTT-20,0.1002,109743,0.4133,PASM,western wheatgrass,Pascopyrum,smithii,,,,,Pascopyrum smithii,POACEAE,PASM,8/10/2020,CO932-402,402,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Routt,BLM Area,Ridge Trail,"From Steamboat Springs take US-40W/S Lincoln Ave north, turn left/northwest onto 13th St, continue onto CO Rd 33, turn left/south onto CO Rd 45, for .9 miles to Emerald Mountain, park in the lot and walk up the multi-use trail, species is in lot and follows trails.","40°27' 16.5702"" N","106°55' 2.1606"" W",40.4546,-106.91726,GPS,WGS84,2082,M,BLM,Artemisia tridentata:Poa sp.:Quercus sp.:Populus tremuloides:Pinus sp.:Lupinus sp.:Wyethia arizonica:Aster sp.,,"Flat mesa, swell",0,SW,Mixed woodland,Recreation,"Mancos shale, sandstone",Silt,3000,"<5,000",42,P,"Culms erect, sheaths open, blades flat to in-rolled, rigid upper surface striate, inflorescence erect terminal spike, spikelet tightly overlapped",,"M. Gardner, E. Varone DBG:In Field:22 JUL 2020","2:22 JUL 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",,,44056,,,EV14,AEL,3-Feb,7.5YR 3/1,44133,PASCOPYRUM,smithii,2020,
'SOS-CO932-403,ERSP4-SOS-CO932-403-GRAND-20,0.0054,2009578,0.0225,ERSP4,aspen fleabane,Erigeron,speciosus,,,,,Erigeron speciosus,ASTERACEAE,ERSP4,8/12/2020,CO932-403,403,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Grand,BLM Area,,"From US-40E continue onto CO-134W, turn right/southwest onto COHWY19, continue on CO Rd185, turn right/northwest onto COHWY19/Forest Rd 100, turn right/north onto Forest Rd 101 and follow for about 3.8 miles to bottom of reservoir, park, walk across dirt road to trail, follow for 1.3 miles to GPS point.","40°11' 44.4114"" N","106°34' 24.51"" W",40.19566,-106.57347,GPS,WGS84,2807,M,BLM,Populus tremuloides:Erigeron speciosus:Daucus sp.:Achillea millefolium:Aster sp.:Poa sp.:Tragopogon sp.,,Swell,40,SW,Aspen forest,Recreation,Dakota sandstone,Clay,400,1000,8,P,"Erect stems, cauline leaves oblanceolate to ovate, glabrous, involucre glandular, flowers in terminal groups, blue violet rays, yellow disks",,"M. Gardner, E. Varone DBG:In Field:16 JUL 2020","2:16 JUL 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",,,,,,EV12,WEB,.8-1,7.5YR 3/1,44124,ERIGERON,speciosus,2020,
'SOS-CO932-404,ERUM-SOS-CO932-404-JACKSON-20,0.0558,258343,0.1755,ERUM,sulphur-flower buckwheat,Eriogonum,umbellatum,,,,,Eriogonum umbellatum,POLYGONACEAE,ERUM,8/13/2020,CO932-404,404,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Jackson,BLM Area,,"From Walden take CO125N about 10 miles up to JCR6W, take a right/east and follow road to North Sand Hills Park info stop, take a right/southeast and follow for about 1 miles, stay right and pass under powerlines .2 miles, take a left/north follow .2 miles to aspen stand","40°52' 15.5388"" N","106°12' 22.7124"" W",40.87098,-106.2063,GPS,WGS84,2594,M,BLM,Populus tremuloides:Crepis acuminata:Senecio spartioides:Ericameria nauseosa:Packera multilobata:Artemisia tridentata,,Swell,12,SE,"Aspen forest, sagebrush shrubland",Recreation,"Eolian deposits, dune sand, silt, loess",Sand,2500,"<5,000",32,P,"Stems glabrous to hairy, leaves basal, oblong ovate, gray-green, umbellate inflorescence, subtended by a whorl of leaf-like bracts, involucre cone to bell shaped, tepals yellow",,"M. Gardner, E. Varone DBG:In Field:09 JUL 2020","2:09 JUL 2020:Smithsonian (US), Denver Botanic Gardens (KHD",,,,,,EV11,WEB,.5-1,10YR 4/3,44124,ERIOGONUM,umbellatum,2020,
'SOS-CO932-405,ERSP4-SOS-CO932-405-JACKSON-20,0.0039,2945454,0.0153,ERSP4,aspen fleabane,Erigeron,speciosus,,,,,Erigeron speciosus,ASTERACEAE,ERSP4,8/18/2020,CO932-405,405,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Jackson,BLM Area,,"From Walden head north on CO125N/CO14E for 10.6 miles, turn left/west on JCRD6W in Cowdrey, follow for 15.2 miles until GPS point. Park and stay to the right, species is along the ditch into the aspens about .3 miles","40°57' 0.1656"" N","106°31' 9.429"" W",40.95004,-106.51928,GPS,WGS84,2607,M,BLM,Artemisia tridentata:Eriogonum umbellatum:Purshia tridentata:Populus tremuloides:Ipomopsis aggregata:Achillea millefolium,,Swell,15,SE,"Aspen forest, sagebrush",Recreation,"Chugwater FM, sandstone, mudstone, limestone",Clay,500,2000,12,P,"Erect stems, cauline leaves oblanceolate to ovate, glabrous, involucre glandular, flowers in terminal groups, blue violet rays, yellow disks",,"M. Gardner, E. Varone DBG:In Field:08 JUL 2020","2:08 JUL 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",,,,,,EV10,WEB,.8-1,10YR 3/2,44124,ERIGERON,speciosus,2020,
'SOS-CO932-406,ELEL5-SOS-CO932-406-JACKSON-20,0.0334,361434,0.1254,ELEL5,squirreltail (Bottlebrush),Elymus,elymoides,,,,,Elymus elymoides,POACEAE,ELEL5,8/18/2020,CO932-406,406,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Jackson,BLM area,Reservoir,"Going north on CO-125, turn west on County Rd 12 W. Turn north on Co Rd 15 to Walden Reservoir, follow for 1.1 miles and turn west on dirt road toward reservoir. Population is on on both sides of road and floodplain of reservoir.","40°44' 8.1456"" N","106°18' 38.9694"" W",40.73559,-106.31082,GPS,WGS84,2459,M,BLM,Artemisia tridentata:Chrysothamnus viscidiflorus:Chrysothamnus viscidiflorus:Ranunculus sp.:Carex sp.:Juncus sp.:Poa sp.,,floodplain,0,,wet grassy marsh; edge of reservoir; floodplain,recreation; grazing,"Coalmont Fm, sandstone, conglomerate, shale, coal","Clay, Silt, Other : loam",2500,"<5,000",5,P,"inflorescence: purple at tips, green at base, culms erect to spreading; blades: flat to slightly rolled",,"Gardner, M., Varone, E.:In Field:29 JUL 2020","2:29 JUL 2020:Smithsonian (USA), Denver Botanic Gardens (KHD)",,,,,2,MG26,AEL,0.4-0.7,10YR 3/3,44133,ELYMUS,elymoides,2020,
'SOS-CO932-407,ERSP4-SOS-CO932-407-GRAND-20,0.0046,2621965,0.0172,ERSP4,aspen fleabane,Erigeron,speciosus,,,,,Erigeron speciosus,ASTERACEAE,ERSP4,8/19/2020,CO932-407,407,CO932,,"Gardner, M., Varone, E.",US,21E,Southern Rockies (Omernik),Colorado,Grand,BLM area,,"Going south on US-40, turn east onto Co HWY 27/Forest Rd 103 to Chimney Rock. Follow for 8.6 miles. Pull off in the turn out to the west. Follow Lindsey Creek south west through National Forest on game trails for about 2 miles. Population is on south facing hillside on north side of creek.","40°19' 28.0482"" N","106°26' 43.6806"" W",40.32445,-106.44546,GPS,WGS84,2671,FT,BLM,Populus tremuloides:Heliomeris multiflora:Achillea millefolium:Tragopogon dubius:Poa sp.,Trampled,hillslope,40,SW,aspen forest; sagebrush shrubland,recreation; grazing,"Quaternary landslide deposits, talus, colluvium","Clay, Other : loam",500,3000,20,P,"flowers: light purple ray, yellow disc; leaves: alternate, slightly toothed, sessile, lanceolate, pubescent; stems: green, pubescent",,"Gardner, M., Varone, E.:In Field:28 JUL 2020","2:28 JUL 2020:Smithsonian (USA), Denver Botanic Gardens (KHD)",,,,,2,MG25,AEL,1,7.5YR 3/1,44133,ERIGERON,speciosus,2020,
