Source Lot,Source Code,Lbs Shipped,Seeds/Lb,100-Seed Wt (G),Species Code,Common Name,Genus,Species,label ss,SubSpecies,label var,Variety,NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
'SOS-NV052-793,CHFR-SOS-NV052-793-CLARK-20,0.0185,622734,0.0728,CHFR,pincushion flower,Chaenactis,fremontii,,,,,Chaenactis fremontii,ASTERACEAE,CHFR,4/14/2020,NV052-793,793,NV052,,"Calvillo, S., Champiny, R., Duval, A.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,North of Dead Mountains Wilderness Area,Near Mojave Road,"From E. Cottonwood Cove and US Rte. 95 in Searchlight, NV head S for 19.18 miles. Take NV-163 E and continue for 3.75 miles. At this point take an unmarked dirt road going S. Continue for 7.8 miles at this point you will find the center of the population.","35°4' 52.6692"" N","114°43' 4.7568"" W",35.08129,-114.71798,GPS,WGS84,1604,FT,BLM,Larrea tridentata:Ambrosia dumosa:Encelia farinosa:Amsinckia tessellata:Malacothrix glabrata:Rafinesquia neomexicana:Cuscuta sp.,,Toeslope,2,W,CEGL005766 Larrea tridentata- Encelia farinosa- Ambrosia dumosa Desert shrubland,Recreation,Felsic phaneritic intrusive rocks,Other : Sandy loam,1333,13500,23,P,,,::,"3:25 MAR 2020:Smithsonian, Utah Valley University, BLM Southern Nevada District Office",,,43942,,,"140L0619F0318-2,3",AEL,0.75,"Dry: 10YR 6/4, Wet: 10YR 4/3",44130,CHAENACTIS,fremontii,2020,
'SOS-NV052-794,SACO6-SOS-NV052-794-CLARK-20,0.0294,381432,0.1189,SACO6,chia,Salvia,columbariae,,,,,Salvia columbariae,LAMIACEAE,SACO6,4/14/2020,NV052-794,794,NV052,,"Calvillo, S., Champiny, R., Duval, A.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,BLM area N of Dead Mountains Willderness Area,"Wash S of NV 163 and W of Laughlin, NV","From E. Cottonwood Cove and US Rte. 95 intersection in Searchlight, NV head S on US Rte. 95 for approximately 19.18 miles. Then turn E onto NV-163. Continue of NV-163 for 6.8 miles. Then turn S onto unmarked dirt road and continue S by SE on this road for 1.9 miles before turning S at the fork. Continue S along the dirt road for 2.09 miles. The population will be along the sides of the wash.","35°7' 33.729"" N","114°42' 15.6918"" W",35.12603,-114.70435,GPS,WGS84,1965,FT,BLM,Hymenoclea salsola:Encelia farinosa:Eriogonum fasciculatum:Amsinckia tessellata:Hyptis emoryi:Mimulus bigelovii:Cylindropuntia bigelovii:Camissonia refracta,,Wash,3,N,CEGL005761 Larrea tridentata- Ambrosia dumosa Desert-Hymenoclea salsola Desert shrubland,Recreation,Felsic phaneritic intrusive rocks,Other : Loamy sand,1383,7000,5,P,,,::,"3:26 MAR 2020:Smithsonian, Utah Valley University, BLM Southern Nevada District Office û",,,43943,,,"140L0619F0318-4,5",AEL,0.69,"Wet: 10YR 4/3, Dry: 10RY 6/3",44130,SALVIA,columbariae,2020,
'SOS-NV052-795,AMTE3-SOS-NV052-795-CLARK-20,0.0942,119092,0.3808,AMTE3,bristly fiddleneck,Amsinckia,tessallata,,,var.,tessellata,Amsinckia tessellata var. tessellata,BORAGINACEAE,AMTET,4/15/2020,NV052-795,795,NV052,,"Calvillo, S., Champiny, R., Duval, A.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,Piute-Eldorado Area of Critical Environmental Concern,"E of US Rte. 95, W of Eldorado Mountains","From Searchlight, NV head N on US Rte. 95 for ~20 miles. Turn E onto an unmarked dirt road and continue for 1.93 miles. At this point you will come to an intersection- turn NE and continue for 1.16 miles. Veer NW and after 0.23 miles you will be at the center of the population.","35°45' 48.1782"" N","114°54' 53.6364"" W",35.76338,-114.91489,GPS,WGS84,2736,FT,BLM,Chaenactis fremontii:Malacothrix glabrata:Opuntia basilaris:Larrea tridentata:Ambrosia dumosa:Eschscholzia glyptosperma:Rafinesquia neomexicana,,Toeslope,5,W,CEGL002954 Larrea tridentata- Ambrosia dumosa shrubland,Recreation,Proterozoic basement rocks- gneiss and schist,Other : Sandy loam,939,5000,8,P,,,::,"3:08 APR 2020:Smithsonian, Utah Valley University, BLM Southern Nevada District Office û",,,43941,,,140L0619F0318-6,AEL,1.1,"Dry: 7.5YR 4/2, Wet: 7.5YR 5/2",44130,AMSINCKIA,tessellata,2020,
'SOS-NV052-796,ERLI6-SOS-NV052-796-CLARK-20,0.0104,249779,0.1815,ERLI6,narrowleaf goldenbush,Ericameria,linearifolia,,,,,Ericameria linearifolia,ASTERACEAE,ERLI6,5/13/2020,NV052-796,796,NV052,,"Battista, C., Fitz, E., Ubalde, R.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,Gold Butte National Monument,Whitney Pass,"From I-15 N, take exit 112 toward Bunkerville/ Riverside. Continue straight onto NV-170 N/ Riverside Road for 3 miles. Turn W (right) onto Gold Butte Road. Continue on Gold Butte Road for 21 miles. Turn slightly E (left) onto Whitney Pass Road. Continue for 4.3 miles. Population present throughout hillsides, slopes above road.","36°31' 53.1372"" N","114°4' 11.19"" W",36.53142,-114.06977,GPS,NAD83,4806,FT,BLM,Achnatherum speciosum:Coleogyne ramosissima:Baileya multiradiata:Eriodictyon angustifolium:Purshia stansburiana:Glandularia gooddingii:Opuntia sp.,None,Footslope,7,S,A3573 CEGL000781 Two-needle Pinyon - Utah Juniper / Blackbrush Woodland,Recreation,Proterozoic basement rocks - Gneiss and schist,Sand,120,1000,2,P,"Plant shrubby, glabrous; leaves linear; heads radiate, disk and ray flowers yellow.",,::,3:16 APR 2020:SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Office,,,,,2,140L0619F0309-1,WEB,2,7.5 YR 2.5/3,44133,ERICAMERIA,linearifolia,2020,
'SOS-NV052-797,RANE-SOS-NV052-797-CLARK-20,0.0935,112171,0.4043,RANE,New Mexico plumeseed,Rafinesquia,neomexicana,,,,,Rafinesquia neomexicana,ASTERACEAE,RANE,4/20/2020,NV052-797,797,NV052,,"Battista, C., Fitz, E., Ubalde, R.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,El Dorado Mountains,North Powerline Road,"From I-95 in Searchlight, turn E onto Cottonwood Cove Road and continue for 7 miles. Turn N onto N. Powerline Road (the first left dirt road after the National Parks Service kiosk) and continue for 0.2 miles. Population is on the W side of the road in teddy-bear cholla scrub.","35°29' 40.29"" N","114°49' 10.722"" W",35.49452,-114.81964,GPS,NAD83,2859,FT,BLM,Lepidium fremontii:Rafinesquia neomexicana:Cylindropuntia bigelovii:Porophyllum gracile:Antheropeas wallacei:Eschscholzia glyptosperma:Chaenactis fremontii:Salvia columbariae:Opuntia basilaris,None,valley,2,E,A3146 CEGL003065 Teddy-bear Cholla Shrubland,"recreation, energy",felsic phaneritic intrusive rocks,Sand,100,400+,2,P,"White ray flowers with weak, erect stems. Leaves are gray-green and are alternate and toothed or narrowly lobed. Leaves are also glabrous and hairless. Plant contains a milky sap.",,::,"3:16 MAR 2020:Smithsonian, Utah Valley University Herbarium, Las Vegas Bureau of Land Management Field Office",,,43950,,2,140L0619F0309-2,WEB,1,10 YR 4/4,44133,RAFINESQUIA,neomexicana,2020,
'SOS-NV052-798,NIOB-SOS-NV052-798-CLARK-20,0.0021,5131221,0.0088,NIOB,desert tobacco,Nicotiana,obtusifolia,,,,,Nicotiana obtusifolia,SOLANACEAE,NIOB,4/20/2020,NV052-798,798,NV052,,"Battista, C., Fitz, E., Ubalde, R.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,El Dorado Mountains,sandy wash west of Copper Mountain,"From I-95 in Searchlight, turn E onto Cottonwood Cove Road and continue for 7 miles. Turn N onto N. Powerline Road (the first left dirt road after the National Parks Service kiosk) and continue for 5.1 miles. Turn E (right) onto the sandy wash road towards Copper Mountain and continue for 4.2 miles. Population is found at the sandy edges/ base of eroded cliffsides.","35°31' 34.9752"" N","114°47' 16.3824"" W",35.52638,-114.78788,GPS,NAD83,2192,FT,BLM,Ambrosia dumosa:Larrea tridentata:Salvia columbariae:Amsinckia tessellata:Chamaesyce polycarpa:Perityle emoryi:Phacelia distans:Mimulus bigelovii:Encelia sp.,None,wash,3,NE,A3146 CEGL003065 Teddy-bear Cholla Shrubland,recreation,alluvium undifferentiated,Sand,50,300+,1,P,"Small cream-to white, funnel-shaped flowers; tubular corolla with 5 lobes. Stems and leaves are hairy and sticky. Lower leaves are large and oval to egg-shaped with short petioles. Upper leaves are smaller and narrow, clasping the stems.",,::,"3:16 MAR 2020:Smithsonian, Utah Valley University Herbarium, Las Vegas Bureau of Land Management",,,,,2,140L0619F0309-3,WEB,2-3,5 YR 4/4,44133,NICOTIANA,obtusifolia,2020,
'SOS-NV052-799,ANWA-SOS-NV052-799-CLARK-20,0.0011,5712846,0.0079,ANWA,woolly easterbonnets,Antheropeas,wallacei,,,,,Antheropeas wallacei,ASTERACEAE,ANWA,4/21/2020,NV052-799,799,NV052,,"Battista, C., Fitz, E., Ubalde, R.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,Piute/El Dorado,S of NV-163,"From I-95, turn E onto NV-163 and continue for 6.7 miles. Turn S onto an unnamed dirt road behind a gate and continue for 0.1 miles. Population is on both sides of road.","35°10' 22.2348"" N","114°44' 16.8576"" W",35.17284,-114.73801,GPS,NAD83,2644,FT,BLM,Amsinckia tessellata:Rafinesquia neomexicana:Lupinus sparsiflorus:Larrea tridentata:Phacelia distans:Ambrosia dumosa:Hymenoclea salsola:Acamptopappus sphaerocephalus:Adenophyllum cooperi:Salvia columbariae:Eriogonum fasciculatum:Leptosiphon aureus ssp. aureus,None,Valley,3,S,A3277 CEGL005760 Creosotebush - Burrobush - Eastern Mojave Buckwheat Desert Shrubland,Recreation,"Alluvium, undifferentiated",Sand,1250,20000,1,P,"Disk and ray flowers yellow, involucre bell-shaped. Stem and leaves wooly. Plant generally <15 cm.",,::,3:05 MAR 2020:SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Office,,,,,2,140L0619F0309-4,WEB,0.17,7.5 YR 4/2,44133,ANTHEROPEAS,wallacei,2020,
'SOS-NV052-800,ENFA-SOS-NV052-800-CLARK-20,0.045,301195,0.1505,ENFA,brittlebush,Encelia,farinosa,,,,,Encelia farinosa,ASTERACEAE,ENFA,4/21/2020,NV052-800,800,NV052,,"Battista, C., Fitz, E., Ubalde, R.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,Piute/El Dorado,S of NV-163,"From I-95, turn E onto NV-163 and continue for 6.7 miles. Turn S onto an unnamed dirt road behind a gate and continue for 3.4 miles. Population is on both sides of road.","35°7' 53.5692"" N","114°42' 41.1228"" W",35.13154,-114.71142,GPS,NAD83,2123,FT,BLM,Eschscholzia minutiflora:Eriogonum fasciculatum:Hyptis emoryi:Mirabilis laevis:Sphaeralcea ambigua:Salvia columbariae:Cylindropuntia sp.:Hymenoclea salsola:Encelia virginensis:Porophyllum gracile,None,Mountain,6,N,A3277 CEGL005760 Creosotebush - Burrobush - Eastern Mojave Buckwheat Desert Shrubland,Recreation,Felsic phaneritic intrusive rocks,Other : Sandy loam,300,1000+,1,P,"Yellow-to-orange ray florets. Yellow or brown disc florets. Long ovate-to-deltoid silvery leaves. Leaves are aromatic. Thick, leafy stems.",,::,3:24 MAR 2020:SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Office,,,,,2,140L0619F0309-5,WEB,2-3,7.5 YR 3/4,44133,ENCELIA,farinosa,2020,
'SOS-NV052-801,LOPA-SOS-NV052-801-CLARK-20,0.226,31127,1.4572,LOPA,Utah desertparsley,Lomatium,parryi,,,,,Lomatium parryi,APIACEAE,LOPA,5/11/2020,NV052-801,801,NV052,,"Battista, C., Fitz, E., Ubalde, R.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,Red Rock Canyon National Conservation Area,Sandstone Quarry,"From Hwy 215 W, turn W onto Hwy 259 (W Charleston Blvd/ Blue Diamond Hwy) and continue for 5.4 miles. Turn N (right) onto the Scenic Loop and continue for 2.66 miles. Park at the Sandstone Quarry trailhead and hike NE into the canyon for 0.4 miles. Population is found throughout the sandstone canyon in oak scrub.","36°9' 59.8716"" N","115°26' 54.9816"" W",36.16663,-115.4486,GPS,NAD83,4380,FT,BLM,Stipa speciosa:Achnatherum hymenoides:Quercus turbinella:Hilaria rigida:Penstemon eatonii:Encelia virginensis:Cryptantha confertiflora,None,Canyon,9,SW,A3571 CEGL000775 Two-needle Pinyon - Utah Juniper / Pointleaf Manzanita Woodland,Recreation,Undivided and Metamorphosed Carbonate Shelf Sequence Rocks - Dolomite and limestone,Other : Loam,225,400+,3,P,"Leaves basal, fern-like; stems erect, reddish-green, glabrous; flowers yellow, in umbels, with five protruding stamens.",,::,3:10 MAR 2020:mithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Officeû,,,43977,,2,140L0619F0309-6,WEB,0.5-1,5 YR 3/3,44133,LOMATIUM,parryi,2020,
'SOS-NV052-802,MAGL3-SOS-NV052-802-CLARK-20,0.006,1854456,0.0244,MAGL3,smooth desertdandelion,Malacothrix,glabrata,,,,,Malacothrix glabrata,ASTERACEAE,MAGL3,4/22/2020,NV052-802,802,NV052,,"Battista, C., Fitz, E., Ubalde, R.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,Piute Valley,Cal-Nev-Ari,"From I-95 S, turn W onto dirt road into Piute Valley (0.6 miles S of Kidwell Hanger Road) and continue for 1.2 miles. Population is found on both sides of road.","35°17' 25.548"" N","114°53' 56.076"" W",35.29043,-114.89891,GPS,NAD83,2534,FT,BLM,Larrea tridentata:Ambrosia dumosa:Chaenactis fremontii:Antheropeas wallacei:Antheropeas lanosum:Rafinesquia neomexicana:Amsinckia tessellata,None,Valley,0,E,A3277 CEGL005760 Creosotebush - Burrobush - Eastern Mojave Buckwheat Desert Shrubland,Recreation,"Alluvium, undifferentiated",Other : Sandy loam,400,3000+,3,P,"Yellow to white ray flowers with overlapping, strap-shaped ligules. Leaves are sparse, alternate, pinnately lobed, and mostly basal. Stems are erect, branched, and hairless/sparsely hairy. Plant contains a milky sap.",,::,3:22 APR 2020:SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Officeû,,,,,2,R-140L0619F0309-1,WEB,0.5-1,7.5 YR 3/3,44133,MALACOTHRIX,glabrata,2020,
'SOS-NV052-803,RANE-SOS-NV052-803-CLARK-20,0.1198,107396,0.4223,RANE,New Mexico plumeseed,Rafinesquia,neomexicana,,,,,Rafinesquia neomexicana,ASTERACEAE,RANE,4/22/2020,NV052-803,803,NV052,,"Battista, C., Fitz, E., Ubalde, R.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,Piute Valley,Cal-Nev-Ari,"From I-95 S, turn W onto dirt road into Piute Valley (0.6 miles S of Kidwell Hanger Road) and continue for 1.2 miles. Population is found on both sides of road.","35°17' 25.548"" N","114°53' 56.076"" W",35.29043,-114.89891,GPS,NAD83,2534,FT,BLM,Larrea tridentata:Ambrosia dumosa:Chaenactis fremontii:Antheropeas wallacei:Malacothrix glabrata:Amsinckia tessellata:Hilaria rigida,None,Valley,0,E,A3277 CEGL005760 Creosotebush - Burrobush - Eastern Mojave Buckwheat Desert Shrubland,Recreation,"Alluvium, undifferentiated",Other : Sandy loam,50,300,2,P,"White ray flowers with weak, erect stems. Leaves are gray-green and are alternate and toothed or narrowly lobed. Leaves are also glabrous and hairless. Plant contains a milky sap.",,::,3:22 APR 2020:SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Officeû,,,,,2,140L0619F0309-7,WEB,1,7.5 YR 3/3,44133,RAFINESQUIA,neomexicana,2020,
'SOS-NV052-804,SPAM2-SOS-NV052-804-CLARK-20,0.0551,225604,0.201,SPAM2,desert globemallow,Sphaeralcea,ambigua,,,,,Sphaeralcea ambigua,MALVACEAE,SPAM2,4/23/2020,NV052-804,804,NV052,,"Battista, C., Fitz, E., Ubalde, R.",US,14E,Mojave Basin and Range (Omernik),Nevada,Clark,River Mountains,N Enduro Canyon,"From highway I-11 S (95 S), take Exit 17 onto Wagonwheel Drive. Turn left onto Wagonwheel Drive. Continue on Wagonwheel Drive for 0.7 miles. At this point Wagonwheel drive turns into Foothills Drive heading north. Continue on Foothills Drive for 1 mile to reach a parking lot for the bike path. From the parking lot, continue over the bike path onto a dirt road. Continue for 0.4 miles, turn southeast (left), continue 400 feet, and turn sharply north (right). Head north for 0.3 miles and turn east (right) to reach parking area. Population found on steep southwestern slopes along first 0.5 miles of foot trail.","36°0 32.724"" N","114°54' 37.5336"" W",36.00909,-114.91042,GPS,NAD83,2369,FT,BLM,Eriogonum pusillum:Mentzelia involucrata:Phacelia crenulata:Lotus strigosus:Encelia farinosa:Gilia scopulorum:Perityle emoryi:Opuntia basilaris,None,Backslope,13,W,A3278 CEGL005145 Creosotebush Shrubland,"Recreation, energy",Younger rhyolitic flows and shallow intrusive rocks,Other : Sandy loam,100,300+,1,P,"Orange to red cup-shaped flowers, 5 rounded petals; leaves palmately veined",,::,3:12 MAR 2020:SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Officeû,,,43970,,2,R-140L0619F0309-2,WEB,2-3,10 YR 3/4,44133,SPHAERALCEA,ambigua,2020,
