Source Lot,Source Code,Lbs Shipped,Seeds/Lb,100-Seed Wt (G),Species Code,Common Name,Genus,Species,label ss,SubSpecies,label var,Variety,NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
'SOS-CA930A-988,BOBAB3-SOS-CA930A-988-SANBERNARDINO-21,0.0043,"3,985,940",0.0113,BOBAB3,sixweeks grama,Bouteloua,barbata,,,var.,barbata,Bouteloua barbata var. barbata,POACEAE,Bouteloua barbata var. barbata,12-Oct-21,CA930A-988,988,CA930A,,"S. Estrada, D. Bell, N. Fraga",US,14E,Mojave Basin and Range (Omernik),California,San Bernadino,Needles Field Office,,"Mescal Range: NE foot of the Mescal Range. Bailey Rd. exit off Hwy-15, 0.8 road mi down Zinc Mine/White Eagle Rd. Collected on a hillside adjacent to White Eagle Rd.",,"115°30' 58.5"" W",35.4648,-115.51625,GPS,NAD83,4503,FT,BLM,Yucca schidigera:Yucca baccata:Coleogyne ramosissima:Prosopis glandulosa:Gutierrezia microcephala:Chilopsis linearis ssp. arcuata:Amaranthus fimbriatus:Bouteloua barbata var. barbata:Scutellaria ovata ssp. mexicana:Cylindropuntia acanthocarpa:Lycium cooperi:Ambrosia salsola:Ephedra sp.,,Base of hill,5,NW,Base of hill. Mojave yucca and Black brush scrub.,Recreation,Older alluvium within pre-Cambrian augen gneiss complex.,Loam,950 plants sampled,>10000,20,P,,,S. Estrada,3,,,,2021,0,Estrada 39,WEB,0.5,5 YR 3/4 dark reddish brown,11/30/2021,BOUTELOUA,barbata,2021,
'SOS-CA930A-989,AMFI-SOS-CA930A-989-SANBERNARDINO-21,0.004,"2,831,460",0.016,AMFI,fringed amaranth,Amaranthus,fimbriatus,,,,,Amaranthus fimbriatus,AMARANTHACEAE,AMFI,12-Oct-21,CA930A-989,989,CA930A,,"S. Estrada, D. Bell, N. Fraga",US,14E,Mojave Basin and Range (Omernik),California,San Bernadino,Needles Field Office,,"Mescal Range: NE foot of the Mescal Range. Bailey Rd. exit off Hwy-15, 0.8 road mi down Zinc Mine/White Eagle Rd. Collected on a hillside adjacent to White Eagle Rd.",,"115°30' 58.5"" W",35.4648,-115.51625,GPS,NAD83,4503,FT,BLM,Yucca schidigera:Yucca baccata:Prosopis glandulosa:Gutierrezia microcephala:Chilopsis linearis ssp. arcuata:Amaranthus fimbriatus:Bouteloua barbata var. barbata:Scutellaria ovata ssp. mexicana:Scutellaria ovata ssp. mexicana:Cylindropuntia acanthocarpa:Lycium cooperi:Ambrosia salsola:Ephedra sp.,Feral donkeys,Base of hill,5,NW,Sandy wash. Creosote scrub.,Recreation,Older alluvium within pre-Cambrian augen gneiss complex.,Loam,250 plants sampled,"5,000",2,P,,,S. Estrada,3,,,,2021,0,Estrada 10,WEB,2,5 YR 3/4 dark reddish brown,11/30/2021,AMARANTHUS,fimbriatus,2021,
'SOS-CA930A-990,EUMI3-SOS-CA930A-990-SANBERNARDINO-21,0.0036,"4,086,486",0.011,EUMI3,Sonoran sandmat,Euphorbia,micromera,,,,,Chamaesyce micromera,EUPHORBIACEAE,CHMI7,13-Oct-21,CA930A-990,990,CA930A,,"S. Estrada, D. Bell",US,14E,Mojave Basin and Range (Omernik),California,San Bernadino,Needles Field Office,,"Canyon/Wash E from Goffs, 2.3 road miles east on Goffs Rd, S from railroad tracks at the northernmost end of the Piute Mountains adjacent to Goffs Rd.",,"115°01' 26.1"" W",34.91375,-115.02391,GPS,NAD83,2582,FT,BLM,Larrea tridentata:Yucca schidigera:Senna armata:Hilaria rigida:Amaranthus fimbriatus:Pectis papposa var. papposa:Chamaesyce setiloba,Flooded,Wash,0-2,N,Sandy wash. Desert wash.,Recreation,Abundant hillslope deposits from Holocene and Pleistocene origin with metamorphic rocks of pre-quaternary origin.,Sand: Gravel,250 plants sampled,"5,000",5,P,,,S. Estrada,3,,,,2021,0,Estrada 12,WEB,0.2,10 YR 3/3 dark brown,11/30/2021,CHAMAESYCE,micromera,2021,
'SOS-CA930A-992,GUMI-SOS-CA930A-992-SANBERNARDINO-21,0.0132,"963,057",0.047,GUMI,threadleaf snakeweed,Gutierrezia,microcephala,,,,,Gutierrezia microcephala,ASTERACEAE,GUMI,14-Oct-21,CA930A-992,992,CA930A,,"S. Estrada, D. Bell",US,14E,Mojave Basin and Range (Omernik),California,San Bernadino,Barstow Field Office,Mottino Wash,Rattlesnake Canyon: SW from Bighorn Mountains and E from Baldwin Lake. 6.5 air miles S from Hwy-247 and Rattlesnake Canyon Rd junction. Collected S of Mottino Wash.,,"116°39' 46.3"" W",34.27519,-116.66286,GPS,NAD83,5121,FT,BLM,Chilopsis linearis ssp. arcuata:Eriodictyon trichocalyx:Ericameria nauseosa:Lepidospartum squamatum:Cylindropuntia echinocarpa:Chamaesyce setiloba,"Cattle, ohv",Wash,0-1,N,Sandy wash. Desert wash.,"Recreation, Grazing","Mesozoic dioritic rocks, hornblende diorite or gabbro, surrounded by gneiss quartzite with a fine-grained texture of Paleozoic origin.","Sand, Other:Gravel",120 plants sampled,"5,000",5,P,,,S. Estrada,3,,,,2021,0,Estrada 17,WEB,2,2.5 YR 4/4 olive brown,11/30/2021,GUTIERREZIA,microcephala,2021,
'SOS-CA930A-993,CHLIA-SOS-CA930A-993-SANBERNARDINO-21,0.2111,"61,663",0.7355,CHLIA,desert willow,Chilopsis,linearis,spp.,arcuata,,,Chilopsis linearis ssp. arcuata,BIGNONIACEAE,CHLIA,14-Oct-21,CA930A-993,993,CA930A,,"S. Estrada, D. Bell",US,14E,Mojave Basin and Range (Omernik),California,San Bernadino,Barstow Field Office,Mottino Wash,Rattlesnake Canyon: SW from Bighorn Mountains and E from Baldwin Lake. 6.5 air miles S from Hwy-247 and Rattlesnake Canyon Rd junction. Collected S of Mottino Wash.,"34°16' 30.7"" N","116°39' 46.3"" W",34.27519,-116.66286,GPS,NAD83,5121,FT,BLM,Gutierrezia microcephala:Eriodictyon trichocalyx:Ericameria nauseosa:Lepidospartum squamatum:Cylindropuntia echinocarpa:Chamaesyce setiloba,"Cattle, ohv",Wash,0-1,N,Sandy wash. Creosote scrub.,"Recreation, Grazing","Mesozoic dioritic rocks, hornblende diorite or gabbro, surrounded by gneiss quartzite with a fine-grained texture of Paleozoic origin.",Sand: Gravel,125 plants sampled,"2,000",5,P,,,S. Estrada,3,,,,2021,0,Estrada 18,WEB,15,2.5 YR 4/4 olive brown,11/30/2021,CHILOPSIS,linearis,2021,
'SOS-CA930A-994,PEPAP3-SOS-CA930A-994-SANBERNARDINO-21,0.0109,"4,000,000",0.0113,PEPAP3,manybristle chinchweed,Pectis,papposa,,,var.,papposa,Pectis papposa var. papposa,ASTERACEAE,PEPAP3,13-Oct-21,CA930A-994,994,CA930A,,"S. Estrada, D. Bell",US,14E,Mojave Basin and Range (Omernik),California,San Bernadino,Needles Field Office,,"Canyon/Wash E from Goffs, 2.3 road miles east on Goffs Rd, S from railroad tracks at the northernmost end of the Piute Mountains adjacent to Goffs Rd.",,"115°01' 26.1"" W",34.91375,-115.02391,GPS,NAD83,2582,FT,BLM,Larrea tridentata:Yucca schidigera:Senna armata:Hilaria rigida:Amaranthus fimbriatus:Chamaesyce setiloba:Chamaesyce micromera,Flooded,Wash,0-2,N,Base of hill. Mojave yucca and Black brush scrub.,Recreation,Abundant hillslope deposits from Holocene and Pleistocene origin with metamorphic rocks of pre-quaternary origin.,Sand: Gravel,250 plants sampled,"5,000",5,P,,,S. Estrada,3,,,,2021,,Estrada 11,WEB,0.2,10 YR 3/3 dark brown,11/30/2021,PECTIS,papposa,2021,
'SOS-CA930A-995,MUPO2-SOS-CA930A-995-SANBERNARDINO-21,0.0063,"2,137,606",0.0212,MUPO2,bush muhly,Muhlenbergia,porteri,,,,,Muhlenbergia porteri,POACEAE,MUPO2,5-Nov-21,CA930A-995,995,CA930A,,"N. Fraga, C. Birker",US,14E,Mojave Basin and Range (Omernik),California,San Bernadino,Needles Field Office,,"Mescal Range: NE foot of the Mescal Range. Bailey Rd. exit off Hwy-15, 0.8 road mi down Zinc Mine/White Eagle Rd. Collected on a hillside adjacent to White Eagle Rd.","35°27' 53.3"" N","115°30' 58.5"" W",35.4648,-115.51625,GPS,NAD83,4503,FT,BLM,Yucca schidigera:Yucca baccata:Coleogyne ramosissima:Prosopis glandulosa:Chilopsis linearis ssp. arcuata:Amaranthus fimbriatus:Bouteloua barbata:Bouteloua barbata var. barbata:Scutellaria ovata ssp. mexicana:Cylindropuntia acanthocarpa:Lycium cooperi:Ambrosia salsola:Ephedra sp.,Feral donkeys,Base of hill,5,NW,"Moderately deep well drained soils. The mean precipitation is 14 inches with a slope variation of 2-8% on mountain slope. Mixture of perennial grasses, juniper woodland, and sagebrush scrubland. Warner Mountain Ecoregion. Ashtre soil type association.",Recreation,Older alluvium within pre-Cambrian augen gneiss complex.,Other : Loam,374 plants sampled,500,8,P,,,S. Estrada,3,,,,2021,0,Estrada 38,WEB,0.5-2,5 YR 3/4 dark reddish brown,11/30/2021,MUHLENBERGIA,porteri,2021,
'SOS-CA370-278,PUTR2-SOS-CA370-278-MODOC-21,0.5520," 21,402 ",2.1193,PUTR2,antelope bitterbrush,Purshia,tridentata,,,,,Purshia tridentata,ROSACEAE,PUTR2,9-Jul-21,CA370-278,278,CA370,,Jen Mueller,US,80E,Northwestern Basin and Range (Omernik),California,Modoc,"Applegate FO, Surprise Field Station",Cowhead Gravel Pit,"From Fort Bidwell, CA travel .5 miles down CO RD 1 to the junction of CO RD 1 and CO RD 6. Turn north onto CO RD 1, and drive 6 miles. The population is along both sides of CO RD 1. A half mile further, a road to the right takes you to the Cowhead Community Gravel Pit.","41°55' 29.3019"" N","120°04' 10.8983"" W",41.9248,-120.06969,GPS,NAD83,5473,FT,BLM,Juniperus occidentalis:Poa secunda:Leymus cinereus:Wyethia mollis:Lupinus argenteus,Grazed,"Mountain, foothill",6-Feb,"SW, W, NW","Moderately deep well drained soils on mountains. The mean precipitation is 20 inches. Mixture of perennial grasses, juniper woodland, and sagebrush scrubland. Pine, fir, and willows in the upper elevation of the site. Warner Mountain Ecoregion. Warnermount soil type association.","Range, Gravel Pit",Formed from residuum derived of volcanic rocks.,Other : Gravelly Loam,165 plants sampled,"4,000",12,P,"A shrub with slender 3 lobed leaves that roll under on the margins. The plant grows from 2 feet to 7 feet. The leaves are alternate, tomentose on the underside, and the stems are rigid and branched. The flowers are yellow, with five petals, 5 sepals, and many stamens.",,Jen Mueller,4,,,7/12/2021,2021,,,WEB,5,10 YR 5/3,9/14/2021,PURSHIA,tridentata,2021,
'SOS-CA370-279,WYMO-SOS-CA370-279-MODOC-21,0.6050," 19,729 ",2.2991,WYMO,woolly mule-ears,Wyethia,mollis,,,,,Wyethia mollis,ASTERACEAE,WYMO,7-Jul-21,CA370-279,279,CA370,,Jen Mueller,US,80E,Northwestern Basin and Range (Omernik),California,Modoc,Surprise Field Station,"Mount Bidwell, Lartirogoyen Allotment","From Fort Bidwell, CA travel .5 miles down CO RD 1 to the junction of CO RD 1 and CO RD 6. Turn north onto CO RD 1, and drive 2 miles to the junction of CO RD 1 and CO RD 4. Turn north onto CO RD 4. Drive 4.5 miles up the road, and then a dirt road will be on the left heading West towards Mount Bidwell. Travel up this road .5 miles. This road is passable with a UTV or 4WD.","41°56' 10.3148"" N","120°05' 58.1328"" W",41.93619,-120.09948,GPS,NAD83,5764,FT,BLM,Poa secunda:Chaenactis douglasii:Purshia tridentata:Artemisia tridentata:Calochortus macrocarpus:Astragalus purshii:Lupinus argenteus:Paeonia brownii:Toxicoscordion venenosum,Burned:grazed,Mountain,Feb-40,"N, NE, E, SE, S","Moderately deep well drained soils on mountains. The mean precipitation is 20 inches. Mixture of perennial grasses, juniper woodland, and sagebrush scrubland. Pine, fir, and willows in the upper elevation of the site. Warner Mountain Ecoregion. Warnermount soil type association.",Range,Formed from residuum derived of volcanic rocks.,Other : Gravelly Loam,265 plants sampled,3000,20,P,"A perennial plant woolly in texture. The leaves are basal, often oblanceolate, and densely tomentose. Showy flower heads are born singularly or in small clusters at the end of the spike.",,Jen Mueller,4,,,,2021,,,WEB,3,10 YR 4/2,9/14/2021,WYETHIA,mollis,2021,
'SOS-CA370-280,CHDO-SOS-CA370-280-MODOC-21,0.0346," 337,249 ",0.1344,CHDO,Douglas' dustymaiden,Chaenactis,douglasii,,,,,Chaenactis douglasii,ASTERACEAE,CHDO,7-Jul-21,CA370-280,280,CA370,,Jen Mueller,US,80E,Northwestern Basin and Range (Omernik),California,Modoc,Surprise Field Station,"Mount Bidwell, Lartirogoyen Allotment","From Fort Bidwell, CA travel .5 miles down CO RD 1 to the junction of CO RD 1 and CO RD 6. Turn north onto CO RD 1, and drive 2 miles to the junction of CO RD 1 and CO RD 4. Turn north onto CO RD 4. Drive 4.5 miles up the road, and then a dirt road will be on the left heading West towards Mount Bidwell. Travel up this road .5 miles. This road is passable with a UTV.","41°56' 10.3148"" N","120°05' 58.1328"" W",41.93619,-120.09948,GPS,NAD83,5764,FT,BLM,Poa secunda:Wyethia mollis:Purshia tridentata:Artemisia tridentata:Calochortus macrocarpus:Paeonia brownii:Astragalus purshii:Toxicoscordion venenosum,Grazed,Mountain,Feb-40,"N, NE, E, SE, S","Moderately deep well drained soils on mountains. The mean precipitation is 20 inches. Mixture of perennial grasses, pine woodland, and sagebrush scrubland. Pine, fir, and juniper present. Warner Mountain Ecoregion. Warnermount-Crazybird soil type association.",Range,Formed from residuum derived of volcanic rocks.,Other : Gravelly Loam,165 plants sampled,350,20,P,"A biennial forb rising from a basal rosette of gray green multilobed lacy leaves. The leaves are woolly, with tiny, tubular flowers on a flat-topped cyme. Flowers are white to pinkish, and the fruit is an achene with a pappus.",,Jen Mueller,4,,,,2021,,,WEB,1,10 YR 4/2,9/14/2021,CHAENACTIS,douglasii,2021,
