Accession,Inventory,Accession Prefix,Accession Number,Name,Source Code,lbs Shipped,100-Sd (g),Est Seed,Divisor,NCGRP,-20°C,4°C,Seeds/Lb,Species Code,Common Name,Genus,Species,label ss,Taxon,SubSpecies,label var,Variety,NAME,GENUS,SPECIES,FAMILY,ABBREV_NAME,COLL_DT,COLL_YR,ACC_NUM,COLL_NUM,COLL_ID,SECONDARY_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,KEYWORD,MISC,SECOND_COLL_DT,DATE_AS_GIVEN,CREATED_BY,ACC_DT,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,ASSOCIATED_TAXA_FULL,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,GEOLOGY,SOIL_TYPE,DESCRIPTION,PSOURCE_FULL,USER1,USER2,USER3,USER4,USER5,USER6,USER7,USER8,USER9,USER10
W6 55469,W6 55469 2018o SD,W6,55469,CA360-144,CLPU2-SOS-CA360-144-TEHAMA-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,1107421,CLPU2,winecup clarkia,Clarkia,purpurea,,Clarkia purpurea,,,,Clarkia purpurea,CLARKIA,purpurea,ONAGRACEAE,CLPU2,31-May-17,2017,CA360-144,144,CA360,,,Amanda Weiss,US,6E,Central California Foothills and Coastal Mountains (Omernik),California,Tehama,BLM area,Dirt road off Bend Ferry Road,"From Redding field office, drive south on I5, take Jelly's Ferry exit and turn left. Turn right onto Bend Ferry road and travel for about 4 miles. Once you enter the recreational area, go through the second unmarked gate on the right. Travel for about a mile on the dirt road through the unmarked gate. Clarkia population is scattered all along the right side among the grasses.","40°16' 55.96"" N","122°10' 19.18"" W",40.28221,-122.17199,GPS,NAD83,478,FT,BLM,,,,,WEB,6-Sep-17,400 plants sampled,"5,000",3,P,Quercus douglasii:Hypericum perforatum:Brodiaea elegans:Avena fatua:Trifolium sp.,Flat with volcanic rock,-3,N,Blue Oak Savanna,Pleistoncene volcanic basalt,Other : Clay Loam,"light purple flower, with a deeper purple tip on the petals.",,recreation,,,"Steve Laymon, Wildlife ecologist at Redding BLM office:In Field:31 MAY 2017","3:18 MAY 2017:Smithsonian, Chico State Herbarium, Redding BLM field office",,,1,5yr 4/6 Yellowish Red,2
W6 55470,W6 55470 2018o SD,W6,55470,CA360-145,FECA-SOS-CA360-145-SHASTA-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,144173,FECA,California fescue,Festuca,californica,,Festuca californica,,,,Festuca californica,FESTUCA,californica,POACEAE,FECA,22-Jun-17,2017,CA360-145,145,CA360,,,Amanda Weiss,US,78E,Klamath Mountains/California High North Coast Range (Omernik),California,Shasta,Chappie-Shasta Recreational Area,OHV Trail 27,"From Redding field office, take I5 north and follow exit signs for 299W. Once on 299W, turn right onto Trinity Mountain road, signs say French Gulch. Follow road past the town of French Gulch and county park and take right turn onto E Fork Road. East Fork Road will lead to trail 27. CA fescue population is about 5 miles up trail under the canopy of a pine stand.","40°47' 28"" N","122°32' 51"" W",40.79111,-122.5475,GPS,NAD83,3485,FT,BLM,,,23-Jun-17,6/27/2017,WEB,28-Aug-17,200 plants sampled,2000,5,P,Pinus ponderosa:Acer macrophyllum:Cercis occidentalis:Cercis occidentalis:Toxicodendron diversilobum:Lathyrus sulphureus:Pinus sabiniana,Mountainous,10,NE,Oak and Ponderosa Forest,Devonian metavolcanic rock,Clay,Spikelets come off opposite.,,Off-road vehicle recreational area,,,"Julie Nelson, USDA Forest Service Shasta-Trinity NF:From pressed specimen on another date:28 JUN 2017","3:26 MAY 2017:Smithsonian, Chico State Herbarium, Redding BLM field office",,,5-Feb,7.5YR 4/6 Strong Brown,2
W6 55471,W6 55471 2018o SD,W6,55471,CA360-146,GRCA-SOS-CA360-146-SHASTA-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,131684,GRCA,Great Valley gumweed,Grindelia,camporum,,Grindelia camporum,,,,Grindelia camporum,GRINDELIA,camporum,ASTERACEAE,GRCA,23-Jun-17,2017,CA360-146,146,CA360,,,Amanda Weiss,US,6E,Central California Foothills and Coastal Mountains (Omernik),California,Shasta,BLM area,Clear Creek Road off highway 273,"From Redding field office, head south on I5, take exit S Bonnyview Rd and head west. Take a left onto highway 273. Turn right onto clear creek road. Head down clear creek road for about 5 miles and pass honey bee trail head. Grindelia population is about 1 mile past honey bee trail head on left hand side. Population starts in open patch about 200ft off the road.","40°29' 58"" N","122°27' 29"" W",40.49944,-122.45805,GPS,NAD83,546,FT,BLM,,,30-Jul-17,,WEB,28-Aug-17,158 plants sampled,"3,000",6,P,Centaurea solstitialis:Pinus sabiniana:Trifolium hirtum:Trifolium hirtum:Quercus wislizeni:Quercus lobata:Toxicodendron diversilobum,Flat,1,E,Grassy flat with oak trees clustered,"Pleistocene sandstone, shale, and gravel deposits",Other : Clay Loam,"Yellow flowers, involucre sticky",,none,,,"Julie Nelson, USDA forest service, Shasta-Trinity NF:From pressed specimen on another date:28 JUN 2017","3:28 MAY 2017:Smithsonian, Chico State Herbarium, Redding BLM field office",,,3-Feb,10YR 6/3 Pale Brown,2
W6 55472,W6 55472 2018o SD,W6,55472,CA360-147,ERLAA-SOS-CA360-147-TRINITY-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,826530,ERLAA,common woolly sunflower,Eriophyllum,lanatum,,Eriophyllum lanatum,,var.,achillaeoides,Eriophyllum lanatum var. achillaeoides,ERIOPHYLLUM,lanatum,ASTERACEAE,ERLAA,6-Jul-17,2017,CA360-147,147,CA360,,,Amanda Weiss,US,78E,Klamath Mountains/California High North Coast Range (Omernik),California,Trinity,BLM area,Mainline Rd. in Grass Valley Creek,"Head north on I5. Take roads leading to 299W. Head on 299W, pass Buckhorn Summit, first turn after Grass Valley reservoir trailhead. If you reach Shingle Shanty sign, you have gone too far. Once you turn left off of 299W you reach a gate, use a key to open gate, travel down mainline road, go through another BLM gate. Woolly sunflower population starts on left along hillsides.","40°37' 19"" N","122°44' 52"" W",40.62194,-122.74777,GPS,NAD83,2960,FT,BLM,,,10-Aug-17,,WEB,28-Aug-17,204 plants sampled,5000,10,P,Pinus sabiniana:Arctostaphylos manzanita:Quercus kelloggii:Penstemon azureus:Cryptantha flaccida:Phacelia heterophylla:Eriogonum nudum,Decomposed granite hillside,37,E,Pine woodland with manzanita. Decomposed granite sight.,mesozoic granite,Other : Sandy Loam,"Flowers yellow, leaves woolly and margins curled under. Peduncle near flower head swollen.",,,,,"Julia Nelson, USDA Forest Service Shasta-Trinity NF:From pressed specimen on another date:28 JUN 2017","3:27 MAY 2017:Smithsonian, Chico State Herbarium, Redding BLM field office",,,.5-2,2.5Y 4/3 olive borwn,2
W6 55473,W6 55473 2018o SD,W6,55473,CA360-148,ERCA6-SOS-CA360-148-BUTTE-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,3335294,ERCA6,California yerba santa,Eriodictyon,californicum,,Eriodictyon californicum,,,,Eriodictyon californicum,ERIODICTYON,californicum,HYDROPHYLLACEAE,ERCA6,18-Jul-17,2017,CA360-148,148,CA360,,,Amanda Weiss,US,5E,Sierra Nevada (Omernik),California,Butte,Sierra Pacific Industries Land,Garland Road,"Head on I5 south, from Airport exit, 24 miles. Take exit CA-99S head south for 41 miles to 32 east. Follow 32 east till you reach Garland Road on the right. Take Garland Road for about 7 miles. Population starts on left in an open area.","39°54' 05.97"" N","121°38' 09.49"" W",39.90165,-121.63596,GPS,NAD83,2959,FT,Sierra Pacific Industries,,,,,WEB,28-Aug-17,50 plants sampled,"1,000",4,P,Arctostaphylos patula:Pinus sabiniana:Navarretia sp.:Ceanothus cuneatus:Umbellularia californica:Quercus chrysolepis:Salvia sonomensis:Monardella breweri,Mountainous,0,E,Gray Pine and Live Oak Forest,Tertiary Volcanic Flow Rocks,Other : Loam,"white to light purple flower, sticky leaves",,Managed Logging,Logged,,"Kendra Fallon, Redding BLM ecologist:From pressed specimen on another date:19 JUL 2017","3:18 JUL 2017:Smithsonian, Chico State Herbarium, Redding BLM field office",,,5-Feb,5YR 4/3 reddish brown,1
W6 55474,W6 55474 2018o SD,W6,55474,CA360-149,MOBR3-SOS-CA360-149-BUTTE-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,925714,MOBR3,Brewer's monardella,Monardella,breweri,,Monardella breweri,,,,Monardella breweri,MONARDELLA,breweri,LAMIACEAE,MOBR3,11-Jul-17,2017,CA360-149,149,CA360,,,Amanda Weiss,US,5E,Sierra Nevada (Omernik),California,Butte,BLM and Sierra Pacific Industries Area,Garland Rd.,"From Redding FO head on I5 south for about 25 miles. Take exit CA-99S, head south for 41 miles to exit 32 east. Follow 32E till you reach Garland Road on right, about 15 miles. Take Garland road for about 7 miles. Population is in open canopy among large Salvia sp. population on left side of dirt road.","39°54' 05.97"" N","121°38' 09.49"" W",39.90165,-121.63596,GPS,NAD83,2959,FT,Sierra Pacific Industries,,,18-Aug-17,,WEB,6-Sep-17,600 plants sampled,5000,2,P,Arctostaphylos patula:Pinus sabiniana:Navarretia sp.:Ceanothus cuneatus:Umbellularia californica:Quercus chrysolepis:Salvia sonomensis,Mountainous,40,E,Gray Pine and Live Oak Woodland,Tertiary Volcanic flow rocks,Other : Loam,Violet purple flower with small darker dots on petals. Bracts are maroon to green. ûvariety: lanceolata,,Logging Management,Burned:Logged,,"Julie Nelson, USDA Forest Service Shasta-Trinity NF:From pressed specimen on another date:28 JUN 2017","3:26 JUN 2017:Smithsonian, Chico State herbarium, Redding BLM field office",,,.5-1,5YR 4/3 Reddish Brown,1
W6 55475,W6 55475 2018o SD,W6,55475,CA360-150,MOBR3-SOS-CA360-150-SHASTA-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,892561,MOBR3,Brewer's monardella,Monardella,breweri,,Monardella breweri,,,,Monardella breweri,MONARDELLA,breweri,LAMIACEAE,MOBR3,7-Jul-17,2017,CA360-150,150,CA360,,,Amanda Weiss,US,78E,Klamath Mountains/California High North Coast Range (Omernik),California,Shasta,Chappie-Shasta Recreational Area,Trail 27,"From Redding FO, head north on I5 and take exits leading to 299W. Once on 299W turn right on French Gulch Rd., and continue straight until you reach E Fork Road, turn right. Road will end in Chappie-Shasta area follow dirt road until you reach trail 27. Population will be along roadside.","40°46' 24.29"" N","122°33' 08.57"" W",40.77341,-122.55238,GPS,NAD83,1893,FT,BLM,,,14-Aug-17,,WEB,6-Sep-17,638 plants sampled,"3,000",3,P,Toxicodendron diversilobum:Notholithocarpus densiflorus:Cercis occidentalis:Eriodictyon californicum:Ceanothus x arcuatus:Eriogonum sp.:Monardella sheltonii,Mountainous,50,NW,Pine and Oak woodland mixed with Arctostaphylos and Ceanothus chaparral,Carboniferous Marine Rocks,Other : Sandy Clay Loam,Purple flower with deeper purple dots on lower petals. Bracts are reddish on tips. ûvariety: lanceolata,,Off-road vehicle recreation,,,"Julie Nelson, USDA Forest Service Shasta-Trinity NF:From pressed specimen on another date:28 JUN 2017","3:22 JUN 2017:Smithsonian, Chico State Herbarium, Redding BLM field office",,,1,10YR 5/3 Brown,2
W6 55476,W6 55476 2018o SD,W6,55476,CA360-151,ACMI2-SOS-CA360-151-SISKIYOU-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,3436363,ACMI2,common yarrow (western yarrow),Achillea,millefolium,,Achillea millefolium,,,,Achillea millefolium,ACHILLEA,millefolium,ASTERACEAE,ACMI2,26-Jul-17,2017,CA360-151,151,CA360,,,Amanda Weiss,US,78E,Klamath Mountains/California High North Coast Range (Omernik),California,Siskiyou,Klamath National Forest,Forest Route 42N15,"From Redding FO, take I5N. Take exit for highway 97 towards weed. Stay on 97 for about 8 miles. Forest service dirt road is on the right hand side.","41°30' 19.93"" N","122°12' 12.16"" W",41.50553,-122.20337,GPS,NAD83,3589,FT,Forest Service,,,,,WEB,28-Aug-17,220 plants sampled,"5,000",3,P,Eriophyllum lanatum:Eriogonum umbellatum:Frangula californica:Arctostaphylos patula:Poa secunda:Stipa thurberiana:Koeleria macrantha:Artemisia tridentata,Volcanic Lava Flow,5,E,Sagebrush Steppe,Recent Volcanic flow rocks,Other : Loamy Sand,,,,Burned,,"Twyla Miller, Botanist Shasta-Trinity NF:In Field:12 JUL 2017","3:26 JUL 2017:Smithsonian. Chico State herbarium, Redding BLM field office",,,1,2.5T 5/2 Grayish Brown,1
W6 55477,W6 55477 2018o SD,W6,55477,CA360-152,CEIN3-SOS-CA360-152-SHASTA-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,85304,CEIN3,deerbrush,Ceanothus,integerrimus,,Ceanothus integerrimus,,,,Ceanothus integerrimus,CEANOTHUS,integerrimus,RHAMNACEAE,CEIN3,9-Jul-17,2017,CA360-152,152,CA360,,,Amanda Weiss,US,78E,Klamath Mountains/California High North Coast Range (Omernik),California,Shasta,Chappie-Shasta Recreational Area,OHV trail 27,"Head north on I5 from Redding field office. Take exits leading to 299W. Once on 299 drive about 15 miles to French Gulch exit, turn right on French Gulch. Follow main road till East Fork Road, turn right. Follow E. Fork Road till you reach Trail 27. Ceanothus scattered among trail.","40°47' 11"" N","122°32' 34"" W",40.78638,-122.54277,GPS,NAD83,2789,FT,BLM,,,19-Jul-17,,WEB,28-Aug-17,77 plants sampled,"2,000",10,P,Arctostaphylos manzanita:Quercus chrysolepis:Pseudotsuga menziesii:Pinus sabiniana:Pinus ponderosa:Lupinus sp.,Mountainous,5,SE,Pine and Oak Woodland with Arctostaphylos and Ceanothus sp. chaparral,Devonian metavolcanic rock,Other : Sandy Loam,Flowers ranging from white to lilac,,Off-road Vehicle use,,,"Julie Nelson, USDA Forest Service Shasta-Trinity NK:From pressed specimen on another date:28 JUN 2017","3:26 MAY 2017:Smithsonian, Chico State Herbarium, Redding BLM field office",,,4,10YR 5/3 Brown,2
W6 55478,W6 55478 2018o SD,W6,55478,CA360-153,ERLA6-SOS-CA360-153-SISKIYOU-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,1936806,ERLA6,common woolly sunflower (Oregon Sunshine),Eriophyllum,lanatum,,Eriophyllum lanatum,,,,Eriophyllum lanatum,ERIOPHYLLUM,lanatum,ASTERACEAE,ERLA6,26-Jul-17,2017,CA360-153,153,CA360,,,Amanda Weiss,US,78E,Klamath Mountains/California High North Coast Range (Omernik),California,Siskiyou,Klamath National Forest,Forest Route 42N15,"From Redding field office, take I5 north. Take exit for highway 97 towards Weed. Follow highway 97 for about 8 miles, forest service road will be on right hand side. Look for a dirt road.","41°30' 21.19"" N","122°19' 17.51"" W",41.50588,-122.32153,GPS,NAD83,3600,FT,Forest Service,,,,,WEB,28-Aug-17,154 plants sampled,"10,000",2,P,Achillea millefolium:Eriogonum umbellatum:Frangula californica:Arctostaphylos patula:Poa secunda:Stipa thurberiana:Koeleria macrantha:Artemisia tridentata,Volcanic lava flow,5,E,Sagebrush Steppe,Recent volcanic flow rocks,Other : Loamy sand,many flower stalks per plant.,,,Burned,,"Twyla Miller, Botanist Shasta-Trinity NF MT. Shasta:In Field:12 JUL 2017","3:26 JUL 2017:Smithsonian, Chico State Herbarium, Redding BLM field office",,,1,2.5Y 5/2 grayish brown,1
W6 55479,W6 55479 2018o SD,W6,55479,CA360-154,ACST7-SOS-CA360-154-TRNITY-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,41206,ACST7,Stillman's needlegrass,Achnatherum,stillmanii,,Achnatherum stillmanii,,,,Achnatherum stillmanii,ACHNATHERUM,stillmanii,POACEAE,ACST7,2-Aug-17,2017,CA360-154,154,CA360,,,Amanda Weiss,US,78E,Klamath Mountains/California High North Coast Range (Omernik),California,Trinity,Shasta-Trinity National Forest,Long Canyon Road,"From Redding field office take I5 north to 299 west. Take 299W till you reach Weaverville, about 40 miles. From Weaverville, take right onto 3 north. Follow 3 north for about 30 miles then take a right on Long Canyon Road. Population occurs sporadically along sides of road for 2 miles.","40°54' 51.04"" N","122°49' 28.03"" W",40.91417,-122.82445,GPS,NAD83,3800,FT,Forest Service,,,,,WEB,28-Aug-17,535 plants sampled,"3,000",10,P,Arbutus menziesii:Abies concolor:Pseudotsuga menziesii:Calocedrus decurrens:Rubus ursinus:Acer macrophyllum:Cornus sp.,Mountainous,5,NE,Mixed Conifer Woodland,Mesozonic granite rocks,Other : Silt Loam,likes to grow under conifer stands in small open areas. Plant has a signature needlegrass look with the bent awn.,,Recreational and Thinning under 24dbh,2nd/3rd Succession Forest,,"Lusetta Sims, Botanist Shasta-Trinity NF, Weaverville:In Field:02 AUG 2017","3:15 AUG 2017:Smithsonian, Chico State Herbarium, Redding BLM field office",,,6-Apr,5Y 6/3 pale olive,1
