Source Lot,Source Code,Lbs Shipped,Seeds/Lb,100-Seed Wt (G),Species Code,Common Name,Genus,Species,label ss,SubSpecies,label var,Variety,NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR
'SOS-AZ930-372,DOVI-SOS-AZ930-372-YAVAPAI-18,0.206,42293,1.0724,DOVI,Florida hopbush,Dodonaea,viscosa,,,,,Dodonaea viscosa,SAPINDACEAE,DOVI,24-May-18,AZ930-372,372,AZ930,,"C. Flower, V.Nguyen, L. Clark",US,81E,Sonoran Basin and Range (Omernik),Arizona,Yavapai,Hieroglyphic Mountains,Castle Hot Spring Rd.,From Phoenix take Interstate 17 North to Highway 74. Go approx. 29 miles east to Castle Hot Springs Road near Morristown then go NE approx. 19.25 miles to a canyon area along the road near a water source (probably from a nearby spring),"33°57' 56.9"" N","112°27' 07.8"" W",33.9658,-112.45216,GPS,NAD83,2785,FT,BLM,Baccharis sarothroides:Simmondsia chinensis:Prosopis sp.:Cynodon dactylon:Opuntia sp.:Ericameria laricifolia:Acacia greggii,Grazed,canyon,20-35,"NE, SW",Arizona Upland - Sonoran Desertscrub,recreation/ mining,Middle Miocene to Oligocene volcanic rocks,"Sand, Other : loam",148 plants sampled,3100+,0.3,P,"Large dark green shrub; leaves are mostly linear, sticky, and shiny above dull below; flowers have no petals so are difficult to spot; fruits are brown and 3-4 winged when dry",,Kara Barron:In Field:29 MAR 2018,3:29 MAR 2018:Desert Botanical GardenûArizona State UniversityûSmithsonianû,,,30-May-18,,,,WEB,6-Mar,10YR 4/4,10-Aug-18,DODONAEA,viscosa,2018
'SOS-AZ930-373,LATR2-SOS-AZ930-373-MARICOPA-18,0.1587,88111,0.5147,LATR2,creosote bush,Larrea,tridentata,,,,,Larrea tridentata,ZYGOPHYLLACEAE,LATR2,7-Jun-18,AZ930-373,373,AZ930,,"C. Flower, V.Nguyen, D.Setaro",US,81E,Sonoran Basin and Range (Omernik),Arizona,Maricopa,BLM area,public domain near Hells Canyon,"Take Interstate 10 north out of Phoenix to Highway 74, then west approx. 17 miles to Quintero Lane then north to Iron Age Drive and then east approximately 2.25 miles to the collection site on either side of the road","33°51' 28.4"" N","112°23' 52.4"" W",33.85788,-112.39788,GPS,NAD83,2306,FT,BLM,Fouquieria splendens:Olneya tesota:Carnegia gigantea:Encelia farinosa:Cylindropuntia bigelovii:Cylindropuntia acanthocarpa:Ambrosia deltoidea:Dasyochloa pulchella:Ferocactus cylindraceus:Parkinsonia microphylla:Simmondsia chinensis:Echinocereus engelmannii:Chamaesyce sp.:Dalea mollissima,,hills,May-35,SW,Arizona UPland - Sonoran Desertscrub,recreation/mining,Xms: Early Proterozoic metasedimentary rocks,"Silt, Other : loam",373,1000+,12,P,"Shrub 1 to 3 meters but sometimes taller. Leaves are made up of two, shiny leaflets united at the base and acute at the apex. ÃûÂ¢Ã¢â€šÂ¬Ã…â€œPacmanÃûÂ¢Ã¢â€šÂ¬ÃúÂ shaped. Strongly scented especially after rain; yellow flowers; fruits are pubescent (hairs are white and silky) capsules that split into 5 sections.",,V.Nguyen:In Field:19 APR 2018,3:19 APR 2018:Arizona State UniversityûDesert Botanical GardenûSmithsonian,,,14-Jun-18,,2,,LJP,6,7.5YR 4/3,5-Sep-18,LARREA,tridentata,2018
'SOS-AZ930-374,LATR2-SOS-AZ930-374-MARICOPA-18,0.1563,85617,0.5297,LATR2,creosote bush,Larrea,tridentata,,,,,Larrea tridentata,ZYGOPHYLLACEAE,LATR2,14-Jun-18,AZ930-374,374,AZ930,,"Flower, C., Nguyen, V.",US,81E,Sonoran Basin and Range (Omernik),Arizona,Maricopa,BLM area,public domain near Hells Canyon,Interstate 10 to Highway 74 (Carefree Highway) west to Quintero Lane then north about a quarter mile.,"33°49' 51.8"" N","112°25' 14.1"" W",33.83105,-112.42058,GPS,NAD83,1830,FT,BLM,Ambrosia deltoidea:Ephedra fasciculata:Olneya tesota:Parkinsonia microphylla:Echinocereus engelmannii:Caulanthus sp.:Senegalia greggii:Acacia constricta:Cylindropuntia acanthocarpa:Cylindropuntia bigelovii:Plantago ovata:Plantago patagonica:Bromus sp.:Ferocactus cylindraceus:Carnegiea gigantea,,Hill slopes,15 - 25,SW,Arizona Upland - Sonoran Desertscrub,rescreation,Qm: Late and middle Pleistocene surficial deposits,"Silt, Sand, Other : Loam",161 plants sampled,1000+,9,P,"Shrub 1 to 3 meters but sometimes taller. Leaves are made up of two, shiny leaflets united at the base and acute at the apex. Ã¢âú¬Å“PacmanÃ¢âú¬Â shaped. Strongly scented especially after rain; yellow flowers; fruits are pubescent (hairs are white and silky) capsules that split into 5 sections.",,Kara Barron - Desert Botanical Garden:In Field:05 APR 2018,3:05 APR 2018:SmithsonianûArizona State UniversityûDesert Botanical Garden,,,,,2,,WEB,3,10 YR 5/4 yellowish brown,10-Aug-18,LARREA,tridentata,2018
'SOS-AZ930-375,PAFL6-SOS-AZ930-375-MARICOPA-18,4.036,2753,16.4762,PAFL6,blue paloverde,Parkinsonia,florida,,,,,Parkinsonia florida,FABACEAE,PAFL6,12-Jul-18,AZ930-375,375,AZ930,,"Setaro, D., Nguyen, V., Flower, C.",US,81E,Sonoran Basin and Range (Omernik),Arizona,Maricopa,Butcher Jones Recreation Area,Butcher Jones Beach Road,Take the Loop 202 out of the Phoenix area to Power Road north. (It becomes the Bush Highway) Take that to Butcher Jones Beach Road and then head east 1.75 miles to the wash area.,"33°34' 35.3"" N","111°31' 05.5"" W",33.57647,-111.51819,GPS,NAD83,1575,FT,USFS,Celtis pallida:Senegalia greggii:Cylindropuntia leptocaulis:Olneya tesota:Bromus sp.:Parkinsonia microphylla,Grazed,Ephemeral washes,15-May,E,Arizona Upland - Sonoran Desertscrub,grazing/ recreation,Qy: Holocene surficial deposits,Sand,79 plants sampled,300+,15,P,Blueish green stems and blue/green/gray trunk; stems with straight spine at each node; flowers are yellow and 22 to 28 mm in racemes and banner petal has small orange spots.,,Carolyn Flower - Desert Botanical Garden:From pressed specimen on another date:11 JUN 2018,3:27 APR 2018:Desert Botanical GardenûArizona State UniversityûSmithsonianû,,,26-Jul-18,,1,,WEB,27,7.5 YR 6/3 light brown,10-Aug-18,PARKINSONIA,florida,2018
'SOS-AZ930-376,BOBA3-SOS-AZ930-376-SANTA CRUZ-18,0.065,473635,0.0957,BOBA3,cane bluestem,Bothriochloa,barbinodis,,,,,Bothriochloa barbinodis,POACEAE,BOBA3,1-Oct-18,AZ930-376,376,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Santa Rita Mountains,Steven's Canyon,"On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on first and second ridges parallel with highway. Accessible from Tanglehead Lane.","31°33' 48.5"" N","110°44' 10.3"" W",31.56347,-110.73619,GPS,NAD83,4220,FT,USFS,Bouteloua curtipendula:Hilaria belangeri:Prosopis velutina:Isocoma tenuisecta:Yucca baccata:Bouteloua gracilis,,Loamy Bottom,10-May,,Semidesert Grassland-Shrubland,"Wildlife Preserve, Recreation","Caralampi gravelly sandy loam, 10 to 60 percent slopes, eroded",Silt : Loam,165 plants sampled,480,2,P,,,Allegra Mount:In Field:01 OCT 2018,"3:01 OCT 2018:BLM Arizona, University of Arizona (ARIZ), Smithsonian",,,,,1,,WEB,4,7.5 YR 4/2,22-Nov-18,BOTHRIOCHLOA,barbinodis,2018
'SOS-AZ930-377,LEDU-SOS-AZ930-377-SANTA CRUZ-18,0.0165,710971,0.0637,LEDU,green sprangletop,Leptochloa,dubia,,,,,Leptochloa dubia,POACEAE,LEDU,1-Oct-18,AZ930-377,377,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Santa Rita Mountains,Steven's Canyon,"On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on first and second ridges parallel with highway. Accessible from Tanglehead Lane.","31°33' 48.5"" N","110°44' 10.3"" W",31.56347,-110.73619,GPS,NAD83,4420,FT,Private,Bouteloua curtipendula:Isocoma tenuisecta,,Loamy Bottom,10-May,,Semidesert Grassland-Shrubland,"Wildlife Preserve, Recreation","Caralampi gravelly sandy loam, 10 to 60 percent slopes, eroded","Silt, Other : Loam",98 plants sampled,250,1,P,,,Allegra Mount:In Field:01 OCT 2018,"3:01 OCT 2018:BLM Arizona, University of Arizona (ARIZ), Smithsonian",,,,,1,,LJP,5,7.5 YR 4/2,29-Jan-19,LEPTOCHLOA,dubia,2018
'SOS-AZ930-378,PLMU3-SOS-AZ930-378-COCHISE-18,0.18,202862,0.2235,PLMU3,tobosagrass,Pleuraphis,mutica,,,,,Pleuraphis mutica,POACEAE,PLMU3,1-Oct-18,AZ930-378,378,AZ930,,"Allegra Mount, Perin McNelis, Francesca Claverie, Travis Gerckens",US,79E,Madrean Archipelago (Omernik),Arizona,Cochise,Swisshelm Mountains,Barboot Ranch,Permission required to access site. Access gate on west side of Leslie Canyon Road takes you to population near cattle tank and bull pen. 0.25 miles from Leslie Canyon Rd.,"31°40' 58"" N","109°28' 33.5"" W",31.68277,-109.47597,,NAD83,4919,FT,Private,Bouteloua curtipendula:Gutierrezia microcephala:Prosopis velutina:Boerhavia gracillima:Bouteloua gracilis:Aristida ternipes:Bothriochloa barbinodis,Burned:Grazed,"Hills, slopes",20-39,,Rangeland,Grazing,"Loam, 10-40 degrees",Other : Rocky,195 plants sampled,500,2,P,,,Allegra Mount:In Field:05 OCT 2018,"3:05 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,,,WEB,2.5,7.5YR 8/2,22-Nov-18,PLEURAPHIS,mutica,2018
'SOS-AZ930-379,COGR10-SOS-AZ930-379-COCHISE-18,0.0045,3207920,0.0141,COGR10,palmleaf thoroughwort,Conoclinium,gregii,,,,,Conoclinium greggii,ASTERACEAE,COGR10,5-Oct-18,AZ930-379,379,AZ930,,"Allegra Mount, Perin McNelis, Travis Gerckens, Francesca Claverie",US,79E,Madrean Archipelago (Omernik),Arizona,Cochise,Swisshelm Mountains,Barboot Ranch,Permission required to access site. Access gate on west side of Leslie Canyon Road takes you to population near cattle tank and bull pen. 0.25 miles from Leslie Canyon Rd.,"31°40' 58"" N","109°28' 33.5"" W",31.68277,-109.47597,GPS,NAD27,4919,FT,Private,Bouteloua curtipendula:Gutierrezia microcephala:Prosopis velutina:Bouteloua gracilis:Aristida ternipes:Bothriochloa barbinodis,Burned:Grazed,"Hills, slopes",20-39,,,Grazing,"Loam, 10-40 degrees",Other : Rocky,55 plants sampled,80,2,P,Flowers purple,,Allegra Mount:In Field:05 OCT 2018,"3:05 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,1.5,7.5 YR 8/2,22-Nov-18,CONOCLINIUM,greggii,2018
'SOS-AZ930-380,PAOB-SOS-AZ930-380-SANTA CRUZ-18,0.1131,97590,0.4647,PAOB,vine mesquite,Panicum,obtusum,,,,,Panicum obtusum,POACEAE,PAOB,1-Oct-18,AZ930-380,380,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Sana Rita Mountains,Steven's Canyon,"On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, occuring on ridgelines, hillsides and in lowlands. Occurs in dense patches. Accessible from Tanglehead Lane.","31°33' 58.6"" N","110°44' 7.3"" W",31.56627,-110.73536,GPS,NAD83,4170,FT,Private,Bouteloua curtipendula:Hilaria belangeri:Prosopis velutina:Yucca baccata:Bouteloua gracilis:Isocoma tenuisecta,,Loamy Bottom,10-May,,Semidesert Grassland-Shrubland,Wildlife Preserve,"Caralampi gravelly sandy loam, 10 to 60 percent slopes, eroded",Silt : Loam,270 plants sampled,750,5,P,"Stoloniferous, rhizomatous",,Allegra Mount:In Field:01 OCT 2018,"3:01 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,1.5,7.5 YR 4/2,22-Nov-18,PANICUM,obtusum,2018
'SOS-AZ930-381,ARTE3-SOS-AZ930-381-SANTA CRUZ-18,0.0231,467436,0.097,ARTE3,spidergrass,Aristida,ternipes,,,,,Aristida ternipes,POACEAE,ARTE3,2-Oct-18,AZ930-381,381,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Santa Rita Mountains,Steven's Canyon,"On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on first and second ridges parallel with highway. Accessible from Tanglehead Lane.","31°33' 48.5"" N","110°44' 10.3"" W",31.56347,-110.73619,,NAD83,4220,FT,,Bouteloua curtipendula:Hilaria belangeri:Prosopis velutina:Yucca baccata:Isocoma tenuisecta:Bouteloua gracilis,,Loamy Bottom,10-May,,Semidesert Grassland-Shrubland,"Wildlife Preserve, Recreation","Caralampi gravelly sandy loam, 10 to 60 percent slopes, eroded",Silt : Loam,75 plants sampled,250,1,,,,Allegra Mount:In Field:02 OCT 2018,"3:02 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,4-Mar,75 YR 4/2,22-Nov-18,ARISTIDA,ternipes,2018
