Inventory ID,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type,Accession,Inventory Maintenance Policy,Inventory Maintenance Site,Is Default Inventory?,Is Auto Deducted?,Is Available?,Availability Status,Status Note,Availability Start Date,Availability End Date,Web Availability Note,Quantity On Hand,Quantity On Hand Units,Standard Distribution Form,Standard Distribution Quantity,Unit of Distribution,Distribution Critical Amount,Replenishment Critical Amount,Pathogen Status,Location Section 1,Location Section 2,Location Section 3,Location Section 4,Latitude,Longitude,Rootstock,Parent Inventory,Backup Inventory,Hundred Seed Weight,Pollination Method,Pollination Vector,Preservation Method,Regeneration Method,Plant Sex,Propagation Date Format,Propagation Date,Note,Name,Inventory Name,Taxon,Origin,Percent Viable,Tested Date,Pure Live Seed,Inventory,Created Date,Created By,Modified Date,Modified By,Owned Date,Owned By
5391786,W6,57053,2019o,SD,W6 57053,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-49,,Potentilla simplex,"United States, New Jersey, Hunterdon",,,,W6 57053 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
5391787,W6,57054,2019o,SD,W6 57054,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-128,,Rubus flagellaris,"United States, New Jersey, Cape May",,,,W6 57054 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
5391788,W6,57055,2019o,SD,W6 57055,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-130,,Danthonia spicata,"United States, New Jersey, Cumberland",,,,W6 57055 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
5391789,W6,57056,2019o,SD,W6 57056,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-138,,Avenella flexuosa,"United States, New York, Suffolk",,,,W6 57056 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
5391790,W6,57057,2019o,SD,W6 57057,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-140,,Hudsonia tomentosa,"United States, New York, Nassau",,,,W6 57057 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
5391791,W6,57058,2019o,SD,W6 57058,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-141,,Vaccinium corymbosum,"United States, Delaware, Sussex",,,,W6 57058 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
5391792,W6,57059,2019o,SD,W6 57059,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-142,,Gaylussacia baccata,"United States, Delaware, Sussex",,,,W6 57059 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
5391793,W6,57060,2019o,SD,W6 57060,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-143,,Gaylussacia frondosa,"United States, Delaware, Sussex",,,,W6 57060 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
5391794,W6,57061,2019o,SD,W6 57061,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-153,,Prunus maritima,"United States, Delaware, Sussex",,,,W6 57061 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
5391795,W6,57062,2019o,SD,W6 57062,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS Project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,MARSB-155,,Cakile edentula,"United States, Delaware, Sussex",,,,W6 57062 2019o SD,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS",,,11/21/2019 10:42,"Taylor, Lisa, USDA, ARS"
