Inventory ID,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type,Accession,Inventory Maintenance Policy,Inventory Maintenance Site,Is Default Inventory?,Is Auto Deducted?,Is Available?,Availability Status,Status Note,Availability Start Date,Availability End Date,Web Availability Note,Quantity On Hand,Quantity On Hand Units,Standard Distribution Form,Standard Distribution Quantity,Unit of Distribution,Distribution Critical Amount,Replenishment Critical Amount,Pathogen Status,Location Section 1,Location Section 2,Location Section 3,Location Section 4,Latitude,Longitude,Rootstock,Parent Inventory,Backup Inventory,Hundred Seed Weight,Pollination Method,Pollination Vector,Preservation Method,Regeneration Method,Plant Sex,Propagation Date Format,Propagation Date,Note,Name,Inventory Name,Taxon,Origin,Percent Viable,Tested Date,Pure Live Seed,Inventory,Created Date,Created By,Modified Date,Modified By,Owned Date,Owned By
5396732,W6,57449,2019o,SD,W6 57449,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-201,,Glyceria striata,"United States, North Carolina, Orange",,,,W6 57449 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
5396733,W6,57450,2019o,SD,W6 57450,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-221,,Typha latifolia,"United States, Virginia, Northampton",,,,W6 57450 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
5396734,W6,57451,2019o,SD,W6 57451,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-227,,Mikania scandens,"United States, North Carolina, Currituck",,,,W6 57451 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
5396735,W6,57452,2019o,SD,W6 57452,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-229,,Borrichia frutescens,"United States, Virginia, Northampton",,,,W6 57452 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
5396736,W6,57453,2019o,SD,W6 57453,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-233,,Teucrium canadense,"United States, North Carolina, Dare",,,,W6 57453 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
5396737,W6,57454,2019o,SD,W6 57454,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-234,,Borrichia frutescens,"United States, North Carolina, Dare",,,,W6 57454 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
5396738,W6,57455,2019o,SD,W6 57455,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-240,,Mikania scandens,"United States, North Carolina, Dare",,,,W6 57455 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
5396739,W6,57456,2019o,SD,W6 57456,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-253,,Juniperus virginiana,"United States, North Carolina, Dare",,,,W6 57456 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
5396740,W6,57457,2019o,SD,W6 57457,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-257,,Parthenocissus quinquefolia,"United States, North Carolina, Dare",,,,W6 57457 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
5396741,W6,57458,2019o,SD,W6 57458,w6_native,W6,Y,Y,N,Original lot received,ORIG from SOS project,,,,,count,SD,100,count,500,500,,Mike has,,,,,,,,,,,,,,,,,,NCBG-269,,Mikania scandens,"United States, Virginia, Virginia Beach City",,,,W6 57458 2019o SD,12/18/2019 8:49,"Taylor, Lisa, USDA, ARS",12/18/2019 8:51,"Taylor, Lisa, USDA, ARS",12/18/2019 8:49,"Taylor, Lisa, USDA, ARS"
