NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
Cyperus grayi,CYPERACEAE,CYGR2,29-Sep-15,MARSB-176,176,MARSB,,"Carncross, P.; Weinman, L.",US,63E,Middle Atlantic Coastal Plains (Omernik),Delaware,Sussex,Cape Henlopen State Park,"Dune system near Herring Point and off of beach access raod near Bidens Environmental Center, and Great Dune.","Enter park from Cape Henlopen Drive off of Rt. 9. Population grows on back dunes throughout the park. Beach access road is off the main road north of the Bidens Environmental Center, dunes are accessible from there. Drive past Bidens Environmental Center to Herring Point to access dunes in that area. To access the Great Dune, take the connector trail from the campground parking area towards the observation tower.","38°45' 49"" N","75°4' 58.1"" W",38.76361,-75.0828,GPS,NAD83,9,FT,"DE DNREC, Div. Parks and Rec.",Juniperus virginiana:Pinus rigida:Pinus virginiana:Morella pensylvanica:Prunus serotina:Panicum amarum var. amarulum:Panicum amarum var. amarum:Hudsonia tomentosa:Dichanthelium ovale var. ovale:Schizachyrium littorale,,Secondary Dune System,undulating,,North Atlantic Coastal Shrub and Grass Dune,Conservation/Recreation,Acquango Sand,Sand,500 +,5000 +,15 +,P,"Inflorescence looks like fireworks, bulbous root growths. Grows in clumps.",,Clara Holmes - MARSB:From pressed specimen on another date:20 NOV 2015,"2:29 SEP 2015:MARSB, Smithsonian û",,,,,,SAN 10123,WEB,0.5,White-tan,27-Jul-16,CYPERUS,grayi,2015,
Juncus secundus,JUNCACEAE,JUSE,,MARSB-215,215,MARSB,,"HL, KR, LF",US,64E,Northern Piedmont (Omernik),New York,Richmond,Ocean Breeze City Park,Trails not named,Take Victory Blvd. northeast from Greenbelt Native Plant Center. Take a right onto Todt Hill Rd. Make a left onto Four Corners and another left onto Richmond Rd. Take a right onto Burgher Ave. The park is at the end of the avenue.,"40°35' 6.2"" N","74°4' 41.3"" W",40.58505,-74.07813,GPS,NAD83,3,FT,NYC Parks,Robinia pseudoacacia:Populus deltoides:Quercus rubra:Betula populifolia:Morella pensylvanica:Rhus copallinum:Morus alba:Populus alba:Rudbeckia hirta:Salix sp.:Lythrum salicaria:Lespedeza capitata:Panicum virgatum:Eupatorium hyssopifolium:Schizachyrium scoparium:Cyperus echinatus,Burned,Poorly drained lowland,0,,Northern lowland maritime meadow,Conservation/recreation,Jamaica Typic Psammaquents,Sand,500 +,"10,000 +",115,P,"Plants are in seed. The inflorescences are straw colored. The inflorescences are at the top of the stem, not spreading. It is taller than Juncus tenuis.",,::,"2:27 JUL 2015:MARSB, Smithsonianû",,,,,,9940,WEB,1 - 1.5,7.5 YR 4/1,27-Jul-16,JUNCUS,secundus,,
Pityopsis falcata,ASTERACEAE,PIFA,16-Sep-15,MARSB-240,240,MARSB,,"Russell, K.; Feinberg, L.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New York,Suffolk,Long Pond Greenbelt,"Main trail, powerline cut","Drive South on Main St. in Sag Harbor. After Otter Pond, enter Mashashimuet Park. The population is along the Long Pond Greenbelt.","40°58' 48.1"" N","72°17' 36.9"" W",40.98002,-72.29358,GPS,NAD83,28,FT,TNC,Quercus prinus:Quercus velutina:Quercus alba:Nyssa sylvatica:Carya glabra:Sassafras albidum:Gaylussacia baccata:Vaccinium corymbosum:Vaccinium angustifolium:Vaccinium pallidum:Kalmia latifolia:Clethra alnifolia:Comptonia peregrina:Euthamia caroliniana:Lespedeza hirta:Schizachyrium scoparium:Polygonella articulata:Ionactis linariifolius,ATV use,"Hilly dry to wet woods, hilly meadow, upland to lowland wooded areas",,,North Central Oak Hickory forest & woodland,Conservation/recreation,Carver and Plymouth sands,Sand,150 +,400 +,15,P,"Yellow flowers, thin sickle-shaped leaves",,::,"2:16 SEP 2015:MARSB, Smithsonianû",,,,,,10070,WEB,0.5 - 1,,1-Aug-16,PITYOPSIS,falcata,2015,
Schizachyrium littorale,POACEAE,SCLI11,21-Oct-15,MARSB-275,275,MARSB,,"KR, LF",US,84E,Atlantic Coastal Pine Barrens (Omernik),New York,Suffolk,Sammys Beach,Beaches,"From Northwest Harbor, take Northwest Rd North. Turn right on Ely Brook Road, left on Old House Landing Road and right on Sammys Beach Road. Park in the lot and collect.","41°1' 51.8"" N","72°11' 22.4"" W",41.03105,-72.18955,GPS,NAD83,5,FT,Town of East Hampton,Prunus maritima:Juniperus virginiana:Opuntia humifusa:Juncus gerardii:Spartina patens:Panicum virgatum:Rosa virginiana:Toxicodendron radicans:Limonium carolinianum:Salicornia depressa:Hudsonia tomentosa,,Dune,,,North Atlantic Coastal Shrub & Grass Dune,Conservation/recreation,Beach,Sand,350 +,800 +,160,P,,,::,2:21 OCT 2015:MARSBûSmithsonianû,,,,,,,WEB,2.5,2.5Y 8/3,19-Aug-16,SCHIZACHYRIUM,littorale,2015,
Scirpus cyperinus,CYPERACEAE,SCCY,6-Oct-15,MARSB-339,339,MARSB,,"Santel, M., Over, P.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Cumberland,Edward G. Bevan WMA,,"From NJ Turnpike South, take exit 3 toward Camden. Take NJ-42 S and merge onto NJ-55 S. Take exit 27 toward Millville. Take Sharp St, S Race St, Dividing Creek Rd and Dividing Creek-Millville Rd/Narrow Lane Rd to Spring Garden Rd. Collection began east of field on right side of entrance road.","39°20' 35.3"" N","75°4' 44.6"" W",39.34313,-75.07905,GPS,NAD83,84,FT,NJ DEP Fish and Wildlife,Pinus rigida:Quercus ilicifolia:Kalmia latifolia:Kalmia latifolia:Lyonia mariana:Lespedeza sp.:Gaylussacia sp.:Cirsium sp.:Rubus hispidus:Panicum virgatum:Schizachyrium scoparium:Andropogon virginicus,Mowed,Flats/depressions,,,Pitch Pine Barrens,Recreation and conservation,Typic alaquods,Sand,100 plants sampled,150 +,3,P,,,::,2:06 OCT 2015:SmithsonianûMARSB,,,,,,10142,WEB,5-Mar,tan,24-Aug-16,SCIRPUS,cyperinus,2015,
Eupatorium hyssopifolium,ASTERACEAE,EUHY,20-Oct-15,MARSB-349,349,MARSB,,"Santel, M., Over, P.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Burlington,Stafford Forge WMA,Fields,Take Garden State Parkway to exit 58. Turn right on CR 539 N. Destination is on right.,"39°41' 18.7"" N","74°22' 3.5"" W",39.68852,-74.36763,GPS,NAD83,63,FT,NJ DEP Fish and Wildlife,Pinus rigida:Quercus ilicifolia:Gaylussacia sp.:Lyonia mariana:Clethra alnifolia:Euthamia caroliniana:Comptonia peregrina:Diodia teres:Tridens flavus:Sorghastrum nutans:Andropogon virginicus:Schizachyrium scoparium,,Ridges,,,Pine Openings,Recreation and conservation,Woodmansie,Sand,200 plants sampled,1000 +,7,P,,,::,2:20 OCT 2015:SmithsonianûMARSB,,,,,,10243,WEB,0.5 - 1,tan,24-Aug-16,EUPATORIUM,hyssopifolium,2015,
Solidago sempervirens,ASTERACEAE,SOSE,3-Nov-15,MARSB-354,354,MARSB,,"Feinberg, L., Russell, K.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New York,Nassau,Jones Beach State park,Beach & Bike path along road,"In Jones Beach State Park, park in field 6. Hike East along the dunes.","40°36' 43.7"" N","73°25' 13.6"" W",40.61213,-73.42044,GPS,NAD83,4,FT,NYSOPRHP,Prunus maritima:Prunus serotina:Juniperus virginiana:Morella pensylvanica:Rubus sp.:Toxicodendron radicans:Solidago sempervirens:Ammophila breviligulata:Schizachyrium littorale,Some areas restored,Beach/dune,,,Atlantic Coastal Beach & North Atlantic Coastal Shrub and grass Dune,Conservation/recreation,Beach,Sand,200 +,3000 +,200,P,,,::,2:03 NOV 2015:MARSBûSmithsonian,,,,,,10179,WEB,3-Feb,10 YR 8/2,24-Aug-16,SOLIDAGO,sempervirens,2015,
Sorghastrum nutans,POACEAE,SONU2,20-Oct-15,MARSB-368,368,MARSB,,"Santel, M., Over, P.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Burlington,Stafford Forge WMA,Fields,Take Garden State Parkway to exit 58. Turn right on CR 539 N. Destination is on right.,"39°41' 26.5"" N","74°22' 55.7"" W",39.69069,-74.38213,GPS,NAD83,69,FT,NJ DEP Fish and Wildlife,Pinus rigida:Quercus ilicifolia:Gaylussacia sp.:Lyonia mariana:Clethra alnifolia:Euthamia caroliniana:Eupatorium hyssopifolium:Comptonia peregrina:Diodia teres:Schizachyrium scoparium:Tridens flavus:Andropogon virginicus,Mowed,Ridges,,,Pine Openings,Recreation and conservation,Woodmansie,Sand,300 plants sampled,700 +,7,P,,,::,2:20 OCT 2015:SmithsonianûMARSB,,,,,,10247,WEB,6-Mar,tan,24-Aug-16,SORGHASTRUM,nutans,2015,
Kalmia angustifolia,ERICACEAE,KAAN,21-Oct-15,MARSB-371,371,MARSB,,"Santel, M., Over, P.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Cape May,Belleplain State Forest,Old Cape Trail,"Take Garden State Parkway to exit 25 and turn right onto US 9 S. Turn right onto NJ-50 N, left on NJ-49 W, left onto Weatherby Rd, left on Belleplain Rd. Powerline cut will be on left.","39°17' 11.2"" N","74°50' 37"" W",39.28644,-74.84361,GPS,NAD83,52,FT,NJ DEP Parks and Forestry,Pinus rigida:Quercus ilicifolia:Lyonia sp.:Euthamia caroliniana:Gaylussacia sp.:Rhexia mariana:Schizachyrium scoparium:Chasmanthium laxum:Andropogon glomeratus,,Toeslope,,,Powerline cut,Recreation and conservation,Berryland,,100 plants sampled,400 +,3,P,,,::,2:21 OCT 2015:SmithsonianûMARSB,,,,,,10250,WEB,3-Jan,Brown,25-Aug-16,KALMIA,angustifolia,2015,
Cephalanthus occidentalis,RUBIACEAE,CEOC2,22-Oct-15,MARSB-374,374,MARSB,,"Over, P., Santel, M.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Ocean,Double Trouble State Park,Cranberry Bogs,"Take Garden State Parkway to exit 77. Continue on Double Trouble Rd to park. Follow trail to left, population begins in bogs.","39°53' 42.2"" N","74°13' 14.4"" W",39.89505,-74.22066,GPS,NAD83,33,FT,NJ DEP Parks and Forestry,Acer rubrum:Eubotrys racemosa:Rhexia virginica:Lachnanthes caroliniana:Smilax rotundifolia:Vaccinium macrocarpon:Cyperus sp.:Cyperus sp.:Panicum virgatum:Scirpus cyperinus,,Swamps,,,Cranberry bogs,Recreation and conservation,Manahawkin,Sand,62 plants sampled,62,3,P,,,::,2:22 OCT 2015:SmithsonianûMARSB,,,,,,10253,WEB,4-Feb,brown,25-Aug-16,CEPHALANTHUS,occidentalis,2015,
