NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CN+R1+M1:N84,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
Schoenoplectus acutus,CYPERACEAE,SCAC3,15-Sep-15,NEWFS-76,76,NEWFS,,"Levitsky, Lucas",US,59E,Northeastern Coastal Zone (Omernik),Massachusetts,Middlesex,Great Meadows NWR,Heard Pond,Reference NEWFS-75. Population is located along same location,"42°21' 18.3"" N","71°23' 10.1"" W",42.35508,-71.38613,GPS,NAD83,119,FT,USFWS,Cyperus diandrus:Cyperus erythrorhizos:Cyperus strigosus:Sagittaria sp.:Lythrum salicaria:Cyperus dentatus,,Lacustrine wetland,0,E,Lacustrine wetland,"Canoeing, recreation",Granite,,200 plants sampled,1000,3,P,Inflorescence emerges from side of stem near apex. Stem does not flop over when crushed between two fingers,,James Lucas::15 SEP 2015,"2:15 SEP 2015:Newfs, smithsonian",,,,,1,,WEB,8-Jul,Dark brown (7.5 YR 4/3),8-Nov-16,SCHOENOPLECTUS,acutus,2015,
Cyperus diandrus,CYPERACEAE,CYDI3,15-Sep-15,NEWFS-77,77,NEWFS,,Lucas,US,59E,Northeastern Coastal Zone (Omernik),Massachusetts,Middlesex,Great Meadows NWR,Heard Pond,"Reference NEWFS-75, population is located in the same location","42°21' 18.3"" N","71°23' 10.1"" W",42.35508,-71.38613,GPS,NAD83,119,FT,USFWS,Cyperus erythrorhizos:Pontederia cordata:Lythrum salicaria:Cyperus dentatus:Schoenoplectus acutus:Schoenoplectus pungens:Cephalanthus occidentalis:Cyperus strigosus,,Lacustrine wetland,0,E,Lacustrine wetland,"Canoeing, Recreation",Granite,"Silt, Sand",600 plants sampled,>5000,1.5,P,"Reddish brown margin of floral scales, with persistent styles present on mature achene",,James Lucas:In Field:15 SEP 2015,"2:15 SEP 2015:Smithsonian, Newfs",,,,,1,,WEB,.5-1,Dark brown (7.5 YR 4/3),7-Nov-16,CYPERUS,diandrus,2015,
Cyperus dentatus,CYPERACEAE,CYDE2,1-Oct-15,NEWFS-132,132,NEWFS,,"J. Lucas, L. Levitsky",US,59E,Northeastern Coastal Zone (Omernik),Massachusetts,Middlesex,Great Meadows NWR,Heard Pond,"From Weston, MA take US_20W toward Wayland and take a left onto Pelham Island Rd. Drive to the Great Meadows NWR first parking lot. From the parking walk towards Heard Pond. Pop. is along the North Shoreline.","42°21' 22.1"" N","71°23' 07.0"" W",42.35613,-71.38527,GPS,NAD83,45,FT,U.S. FWS,Cyperus strigosus:Juncus canadensis:Pontederia cordata:Cyperus erythrorhizos:Cephalanthus occidentalis:Schoenoplectus pungens:Schoenoplectus acutus,,pond edge,,,pond edge,recreation,"granite, rhyolite, magic, volcanic rock",Sand,400 plants sampled,700,2,P,,,"James Lucas, NEWFS:In Field:01 OCT 2015","2:01 OCT 2015:Smithsonian, NEWFS",,,,,1,,WEB,1,light brown (sand) (10YR 7/3),7-Nov-16,CYPERUS,dentatus,2015,
Salicornia depressa,CHENOPODIACEAE,SADE10,20-Oct-15,NEWFS-184,184,NEWFS,,"Josh Levitsky, Emory Griffin-Noyes",US,59E,Northeastern Coastal Zone (Omernik),Rhode Island,Washington,Quonnie Boat Launch,salt marsh adjacent to launch,References NEWFS-183,"41°20' 12.4"" N","71°43' 18.3"" W",41.33677,-71.72175,GPS,NAD83,2,FT,,Spartina alterniflora:Distichlis spicata:Phragmites australis:Parthenocissus quinquefolia:Toxicodendron radicans,,salt marsh,0,,salt marsh,,granite,Silt,1000 plants sampled,10000,3,P,Plants bright green in growing season turning bright ruby color in fall,,::,"2:20 OCT 2015:Smithsonian, NEWFS",,,,,1,,WEB,<1,black brown,11-Nov-16,SALICORNIA,depressa,2015,
Salicornia depressa,CHENOPODIACEAE,SADE10,21-Oct-15,NEWFS-186,186,NEWFS,,"Anna DeGloria, Josh Levitsky",US,59E,Northeastern Coastal Zone (Omernik),Rhode Island,Newport,Round marsh,marsh behind Zeek's Creek Local Seafood,"From I-95 S, take exit (left exit) for RI-4 S. In ~10 miles, use right lane to take RI-138E. in 4.1 miles, take Helm St exit and continue straight for 0.6 miles. In 1.5 miles, take a right onto North Rd and continue for 1.5 miles before turning right onto Westwind Drive. In 0.4 miles, turn left onto Arnold Ave then turn left in 0.2 miles onto North Rd. Park at Zeeks' Creek Local Seafood and population in marsh behind Zeek's.","41°30' 32.9"" N","71°22' 10.9"" W",41.50913,-71.36969,GPS,NAD83,7,FT,CRMC,Spartina patens:Spartina alterniflora:Distichlis spicata:Limonium carolinianum,,salt marsh,0,,salt marsh,recreation,,Clay,100 plants sampled,500,1,P,,,Josh Levitsky:21 OCT 2015,"2:21 OCT 2015:Smithsonian, NEWFS",,,,,1,,WEB,2-Jan,black brown,11-Nov-16,SALICORNIA,depressa,2015,
Spartina pectinata,POACEAE,SPPE,27-Oct-15,NEWFS-207,207,NEWFS,,"E. Griffin-Noyes, J. Lucas, J. Levitsky, M. Piantedosi",US,59E,Northeastern Coastal Zone (Omernik),Massachusetts,Norfolk,Boston Harbor Islands,Thompson Island,"From South Station in Boston, MA: walk 1.5mi south on Summer St to EDIC Pier. Take ferry to Thompson Island.","42°18' 58.5"" N","71°00 34.5"" W",42.31625,-71.00958,GPS,NAD83,15,FT,National Park Service,Celastrus orbiculatus:Lythrum salicaria:Quercus rubra:Spartina alterniflora:Atriplex cristata,-,island edge,2%,E,wetland margin,recreation,"granite, schist, glacial","Silt, Sand",300 plants sampled,500+,0.5,P,,,M. Piantedosi:In Field:26 OCT 2015,"2:26 OCT 2015:Smithsonian, NEWFS",,,,,1,,WEB,5-Mar,browny brown,16-Nov-16,SPARTINA,pectinata,2015,
Spartina pectinata,POACEAE,SPPE,29-Oct-15,NEWFS-212,212,NEWFS,,"Piantedosi, M., Griffin-Noyes, E., Levitsky, J., DeGloria, A., Lucas, J.",US,59E,Northeastern Coastal Zone (Omernik),Maine,York,Wells National Estuarine Reserve,Tidal Marsh,"From Wells NER, take Cart Path to end, pass Research Area to Tidal Marsh inlet, travel East/SE to tidal zone, plants on either side of the path.","43°20' 14.6"" N","70°32' 36.0"" W",43.33738,-70.54333,GPS,NAD83,49,FT,Wells NER,Rosa palustris:Berberis thunbergii:Solidago sempervirens:Panicum virgatum,Flooded,Tidal zone,1,"E, SE",Tidal/Estuarine marsh inlet,research/recreation,granite/schist,"Silt, Sand",90 plants sampled,300,0.25,P,,,M. Piantedosi:In Field:29 OCT 2015,"2:29 OCT 2015:Smithsonian, NEWFS",,,,,1,,WEB,8-Jun,light brown,27-Nov-16,SPARTINA,pectinata,2015,
Kalmia polifolia,ERICACEAE,KAPO,30-Oct-15,NEWFS-214,214,NEWFS,,"Levitsky, J., DeGloria, A.",US,59E,Northeastern Coastal Zone (Omernik),Massachusetts,Norfolk,Ponkapoag Bog,Bog trail/boardwalk,See NEWFS-168,"42°11' 43.7"" N","71°06' 7.5"" W",42.19547,-71.10208,GPS,NAD83,120,FT,Mass DCR,Chamaecyparis thyoides:Rhynchospora alba:Eriophorum virginicum:Cladium mariscoides:Chamaedaphne calyculata:Sarracenia purpurea:Scheuchzeria palustris,,Bog,0,,"Acidic Bog, Peatmoss ground cover, Adjacent the Ponkapoag Pond",Preserve,Conglomerate/Gray wacke,: peatmoss,105 plants sampled,500,0.5,P,Capsules borne from the apex of the branchlet,,Josh Levitsky - NEWFS:In Field:30 OCT 2015,"2:30 OCT 2015:Smithsonian, NEWFS",,,,,1,,WEB,3,green/red,27-Nov-16,KALMIA,polifolia,2015,
Salicornia depressa,CHENOPODIACEAE,SADE10,20-Nov-15,NEWFS-252,252,NEWFS,,"Levitsky, J., Lucas J.",US,59E,Northeastern Coastal Zone (Omernik),Connecticut,New London,Bluff Point SP,Salt marsh between Depot Rd and Poquonock River,Ref NEWFS-248. Population is along salt marsh,"41°20' 18.9"" N","72°02' 01.7"" W",41.33858,-72.0338,GPS,NAD83,7,FT,CT DEEP,Spartina alterniflora:Solidago sempervirens:Baccharis halimifolia:Iva frutescens:Distichlis spicata:Phragmites australis:Panicum virgatum,,salt marsh,0,,"Coastal margin, brackish water salt marsh",recreation,"granite, gneiss, amphibolite","Silt, Sand",80 plants sampled,250,1.5,P,Curved (not acuminate) scale,,J. Levitsky - NEWFS:In Field:20 NOV 2015,"2:20 NOV 2015:Smithsonian, NEWFS",,,,,1,,WEB,1,gray/tan 10YR 8/1,27-Nov-16,SALICORNIA,depressa,2015,
Trientalis borealis,PRIMULACEAE,TRBO2,6-Aug-15,NEWFS-265,265,NEWFS,,"E. Griffin-Noyes, J. Levitsky, A. DeGloria, J. Lucas",US,59E,Northeastern Coastal Zone (Omernik),Massachusetts,Essex,Bennet Keenan Conservation Land,Rail trail,"From 95N, take exit for Rte 114 W toward Middleton. Take left on River Street, left onto Elm St. (Rt. 62) to Maintyre Drive, cross street to trail head, cross bridge take first right to rail trail and follow to North Reading line, population on the right.","42°34' 19.33"" N","71°03' 25.95"" W",42.57203,-71.0572,Map,NAD83,65,FT,Town of Lynnfield,Pinus strobus:Frangula alnus:Ostrya virginiana:Aralia nudicaulis:Vaccinium corymbosum:Gaylussacia baccata:Maianthemum canadense,Part of area was old railroad,Forest,,,"Raised rail bed with downward slope on each side, forest habitat and sandy soil with layer of dead pine needles. Northeastern coastal zone, canopy but lacks dense understory.",Preserve,Biotite granite to granodiorite,Sand,1300 plants sampled,10000+,3,P,"Plants starting to seasonally senesce, some still holding fruit",,:In Field:,"2:06 AUG 2015:Smithsonian, NEWFS",,,,,,NEWFS-11,WEB,<1,tan brown,20-Sep-16,TRIENTALIS,borealis,2015,
Triglochin maritima,JUNCAGINACEAE,TRMA20,17-Aug-15,NEWFS-278,278,NEWFS,,"Anna DeGloria, Emory Griffin-Noyes",US,59E,Northeastern Coastal Zone (Omernik),Connecticut,New London,Bluff Point,,"I95 South take exit 88. Turn lepton SR117 South. Turn right onto Rt 1 South. Left onto Depot Rd, follow to end of road. Take right trail (counter clockwise on loop). Walk Â½ mile look for boulder on left. Population is at salt marsh on right.","41°19' 30.7"" N","72°02' 06.2"" W",41.32519,-72.03505,GPS,NAD83,3,FT,State of CT,Spartina alterniflora:Juncus gerardii:Phragmites australis:Iva frutescens:Robinia pseudoacacia:Sassafras albidum,,Salt marsh,0,,Salt marsh,,,"Clay, Silt",70 plants sampled,120,1.5,P,,,M. Piantedosi:In Field:17 AUG 2015,"2:17 AUG 2015:Smithsonian, NEWFS",,,,,,NEWFS-24,WEB,2,Black brown,7-Sep-16,TRIGLOCHIN,maritima,2015,
Cyperus filicinus,CYPERACEAE,CYFI,10-Sep-15,NEWFS-318,318,NEWFS,,"Levitsky, Lucas",US,84E,Atlantic Coastal Pine Barrens (Omernik),Massachusetts,Barnstable,Long Pasture Wildlife Sanctuary,Coast,,"41°42' 36.1"" N","70°16' 34.1"" W",41.71002,-70.27613,GPS,NAD83,34,FT,Mass Audubon,Hibiscus moscheutos:Toxicodendron radicans:Spartina alterniflora:Spartina patens:Distichlis spicata:Iva frutescens:Phragmites australis,Flooded,upland salt marsh,0,N,Upland salt marsh,"hikinh, birdwatching","granite, schist, gneiss",Sand,700 plants sampled,2000,0.5,P,Rounded achene,,James Lucas:In Field:10 SEP 2015,"2:10 SEP 2015:smithsonian, newfs",,,,,1,64,WEB,0.5,sand 10 yr 8/1,9-Nov-16,CYPERUS,filicinus,2015,
Hudsonia tomentosa,CISTACEAE,HUTO,21-Jul-16,NEWFS-331,331,NEWFS,,"Rogers, J., Urban, A., Karlsson, C., Heilmann, K., Piantedosi, M.",US,59E,Northeastern Coastal Zone (Omernik),Massachusetts,Essex,Parker River NWR,Sand dunes,"From Boston: 93N to 95N to exit 56. Follow Scotland Road and continue onto Parker St. Turn right onto Newbury Turnpike. At traffic circle, take 3rd exit onto State St. Turn right onto Parker St. Turn righto onto MA-1As. Turn left onto Rolfe's Lane. Turn right onto Water St. RTurn right onto Sunset Dr. continue onto Refuge Road. Population throughout sand dunes by visitor center parking lot.","42°47' 15.6"" N","70°48' 27"" W",42.78766,-70.8075,GPS,NAD83,29,FT,USFWS,Ammophila breviligulata:Solidago sempervirens:Morella caroliniensis:Limonium carolinianum:Prunus maritima,Flooded,sand dune,5-Feb,SW,sand dune,"conservation, recreation","magic rock, granite, other",Sand,2600 plants sampled,5000+,10,P,yellow petals on flowers,,"M. Piantedosi, NEWFS:In Field:21 JUL 2016",1:21 JUL 2016:Smithsonian,,,,,,NEWFS-5,WEB,<1,7.5YR 5/2,21-Nov-16,HUDSONIA,tomentosa,2016,
Hieracium paniculatum,ASTERACEAE,HIPA2,24-Aug-16,NEWFS-366,366,NEWFS,,"Rogers, J., Heilmann, K., Karlsson, C., Urban, A.",US,59E,Northeastern Coastal Zone (Omernik),Connecticut,,"Nehantic SF, East Lyme",Trails throughout forest,From Boston take 93S to 95S. Take exit 82 and turn right onto CT-82N. Turn left onto Grassy Hill Road. Population throughout all of the trails in the forest.,"41°22' 33.8"" N","72°19' 5.4"" W",41.37605,-72.31816,GPS,NAD83,6,FT,USFWS,Acer rubrum:Eurybia divaricata:Fagus grandifolia:Viburnum dentatum:Polystichum acrostichoides:Thelypteris noveboracensis:Quercus rubra,Trampled,maple beech upland forest,0-10,E,Maple-beech upland forest,conservation/recreation,,Clay,247 plants sampled,500+,<2,P,Capitula with yellow ligules arranged in a panicle with delicate pedicles. Base of stem densely hairy.,,::,"2:24 AUG 2016:Smithsonian, NEWFS",,,13-Sep-16,,1,NEWFS-40,WEB,<3,7.5YR 3/2 dark brown,21-Nov-16,HIERACIUM,paniculatum,2016,
Scirpus atrovirens,CYPERACEAE,SCAT2,29-Aug-16,NEWFS-371,371,NEWFS,,"Piantedosi, M.",US,58E,Northeastern Highlands (Omernik),Massachusetts,Hampshire,"Guyette Farm, Plainfield",Meadow through forest trail,Ref. NEWFS-370,"42°29' 8.3"" N","72°53' 42.8"" W",42.48563,-72.89522,GPS,NAD83,1173,FT,Franklin Land Trust,Carex lurida:Carex crinita:Juncus effusus:Onoclea sensibilis:Euthamia graminifolia:Asclepias syriaca:Solidago sp.:Scirpus atrovirens,Mowed,meadow,5,"W, NW",meadow,Conservation,"Quartzite, Granite",Clay,125 plants sampled,500+,2-Jan,P,,,M. Piatedosi--NEWFS:In Field:29 AUG 2016,"2:29 AUG 2016:Smithsonian, NEWFS",,,,,,NEWFS-45,WEB,<4,,16-Nov-16,SCIRPUS,atrovirens,2016,
Chelone glabra,SCROPHULARIACEAE,CHGL2,26-Sep-16,NEWFS-401,401,NEWFS,,"Piantedosi, M.",US,59E,Northeastern Coastal Zone (Omernik),New Hampshire,Strafford,"Colby Marsh, Durham, NH",Marsh off of boardwalk,Ref. NEWFS-399,"43°6' 50.5"" N","70°53' 37.2"" W",43.11402,-70.89366,GPS,NAD83,52,FT,Town of Durham,Impatiens capensis:Typha angustifolia:Eutrochium dubium:Toxicodendron radicans:Bidens cernua:Solidago canadensis,Flooded,freshwater marsh,0,,Freshwater marsh,conservation/recreation,,Clay,71 plants sampled,200+,<1,P,,,M. Piantedosi:In Field:26 SEP 2016,"2:26 SEP 2016:Smithsonian, NEWFS",,,,,1,NEWFS-75,WEB,<4,,21-Nov-16,CHELONE,glabra,2016,
Dulichium arundinaceum,CYPERACEAE,DUAR3,26-Sep-16,NEWFS-402,402,NEWFS,,"Rogers, J., Heilmann, K., Karlsson, K.",US,59E,Northeastern Coastal Zone (Omernik),New Hampshire,Strafford,"Colby Marsh, Durham, NH",Off of boardwalk,REF. NEWFS-399,"43°6' 50.5"" N","70°53' 37.2"" W",43.11402,-70.89366,GPS,NAD83,52,FT,Town of Durham,Impatiens capensis:Typha angustifolia:Eutrochium dubium:Toxicodendron radicans:Bidens cernua:Solidago canadensis,Flooded,Freshwater marsh,0,,Freshwater marsh,conservation/recreation,,Clay,200 plants sampled,500+,<1,P,,,M. Piantedosi:In Field:26 SEP 2016,"2:26 SEP 2016:Smithsonian, NEWFS",,,,,1,NEWFS-76,WEB,<3,,21-Nov-16,DULICHIUM,arundinaceum,2016,
Glyceria canadensis,POACEAE,GLCA,26-Sep-16,NEWFS-403,403,NEWFS,,"Piantedosi, M.",US,59E,Northeastern Coastal Zone (Omernik),New Hampshire,Strafford,"Colby Marsh, Durham",Off of boardwalk,Ref. NEWFS-399,"43°6' 50.5"" N","70°53' 37.2"" W",43.11402,-70.89366,GPS,NAD83,0,FT,Town of Durham,Impatiens capensis:Typha latifolia:Eutrochium dubium:Toxicodendron radicans:Bidens cernua:Solidago canadensis,Flooded,marsh,0,,freshwater marsh,conservation/recreation,,Clay,108 plants sampled,300+,1,P,,,M. Piantedosi--NEWFS:In Field:26 SEP 2016,"2:26 SEP 2016:Smithsonian, NEWFS",,,,,1,NEWFS-77,WEB,<4,,17-Nov-16,GLYCERIA,canadensis,2016,
Spartina patens,POACEAE,SPPA,26-Sep-16,NEWFS-406,406,NEWFS,,"Piantedosi, M., Rogers, J., Heilmann, K., Karlsson, K., Urban., A",US,59E,Northeastern Coastal Zone (Omernik),New Hampshire,Strafford,"Lubberland Creek, Newmarket, NH",salt marsh below field,Ref. NEWFS-405,"43°4' 31.4"" N","70°54.' 40.2"" W",43.07538,-70.91116,GPS,NAD83,27,FT,The Nature Conservancy,Distichlis spicata:Spartina alterniflora:Spartina patens:Typha angustifolia:Juncus gerardii,Flooded,salt marsh,0,,salt marsh,conservation,metasedimentary rock,Clay,5000+,1000+,5,P,,,M. Piantedosi:In Field:26 SEP 2016,"2:26 SEP 2016:Smithsonian, NEWFS",,,,,1,NEWFS-80,WEB,<2,,21-Nov-16,SPARTINA,patens,2016,
Juncus gerardii,JUNCACEAE,JUGE,26-Sep-16,NEWFS-407,407,NEWFS,,"Karlsson, C., Urban., A.",US,59E,Northeastern Coastal Zone (Omernik),New Hampshire,Strafford,"Lubberland Creek, Newmarket, NH",Salt marsh below field,Ref. NEWFS-405,"43°4' 31.4"" N","70°54' 40.2"" W",43.07538,-70.91116,GPS,NAD83,27,FT,The Nature Conservancy,Distichlis spicata:Spartina patens:Spartina alterniflora:Typha angustifolia,Flooded,salt marsh,0,,salt marsh,conservation/recreation,metasedimentary rock,Clay,300 plants sampled,5000+,5,P,,,M. Piantedosi--NEWFS:In Field:26 SEP 2016,"2:26 SEP 2016:Smithsonian, NEWFS",,,,,1,NEWFS-81,WEB,<2,,21-Nov-16,JUNCUS,gerardii,2016,
Ilex verticillata,AQUIFOLIACEAE,ILVE,26-Sep-16,NEWFS-408,408,NEWFS,,"Widener, L., Jaffe, D.",US,82E,Acadian Plains and Hills (Omernik),Maine,Hancock,"Private Land, Ellsworth, ME",The Boulders,From West Ellsworth travel N. on Rt.1 about 1.4 mi then turn left onto Boulder Way. There's one locked gate. Boulder way leads to a private cabin. Plants are located around the bridge between Mill Pond and Branch Lake and in wet areas along Boulder Rd (past cabin),"44°33' 55.8"" N","68°31' 8.508"" W",44.5655,-68.51903,GPS,NAD83,70,FT,Noni Macon,Gaylussacia dumosa:Vaccinium corymbosum:Chamaedaphne calyculata:Spiraea alba:Alnus incana:Myrica gale:Aronia melanocarpa,Flooded,wetland/lakeshore,0-20,,wetland/lake shore,private,,,100 plants sampled,200+,2,P,"Leaf blades thinner, herbaceous, deciduous. Wetland habitats. Bright red berries. Pyrenes smooth on other surface.",,::,"2:26 SEP 2016:Smithsonian, NEWFS",,,,,1,NEWFS-82,WEB,7-Apr,,17-Nov-16,ILEX,verticillata,2016,
Solidago rugosa,ASTERACEAE,SORU2,26-Sep-16,NEWFS-409,409,NEWFS,,"Widener, L., Jaffe, D.",US,82E,Acadian Plains and Hills (Omernik),Maine,Hancock,"Private Land, Ellsworth, ME",The Boulders,"Head North on Rt 1A/Bangor Rd 5.8 miles from Ellsworth, then turn left onto Red Bride Rd, next go 2 miles and take a right onto Fire Rd 205, then drive until you reach a locked gate on Branch Lake Rd. Plants are on either side of road in meadows before locked gate.","44°34' 4.332"" N","68°30' 28.872"" W",44.56787,-68.50802,GPS,NAD83,70,FT,Noni Macon,Pinus strobus:Solidago altissima:Solidago juncea:Poa pratensis:Malus sp.:Rosa nitida:Rubus idaeus:Malus pumila:Populus tremuloides,Mowed,meadow,0,,open field/meadow,private,,,50 plants sampled,100,0.5,P,"Leaf blades abaxially pubescent, the hairs commonly found on the tertiary/mid vein/primary lateral veins, stems conspicuously spreading and pubescent",,::,"2:26 SEP 2016:Smithsonian, NEWFS",,,,,1,NEWFS-83,WEB,3,,21-Nov-16,SOLIDAGO,rugosa,2016,
Euthamia graminifolia,ASTERACEAE,EUGR5,26-Sep-16,NEWFS-410,410,NEWFS,,"Widener, L., Jaffe, D.",US,82E,Acadian Plains and Hills (Omernik),Maine,Hancock,"Private Land, Ellsworth, ME",The Boulders,Head North on Rt1A/Bangor Rd 5.8 miles then turn left onto Red Bridge Rd. Go 2 miles on Red Bridge Rd and take a right onto Fire Rd 205 and drive until you come to a locked gate on Branch Lake Rd. Plants are on either side of road in meadows before locked gate.,"44°34' 4.332"" N","68°30' 28.872"" W",44.56787,-68.50802,GPS,NAD83,70,FT,Noni Macon,Pinus strobus:Solidago altissima:Poa pratensis:Malus pumila:Solidago juncea:Rosa nitida:Rubus idaeus:Populus tremuloides,Mowed,meadow,0,,open field/meadow,private,,,60 plants sampled,200,0.5,P,"Leaf blades with few or inconspicuous resin glands, usually 3-12mm wide, plants varying from glabrous to conspicuously pubescent on stem/abaxial leaf surfaces, axillary fasicles if present, usually poorly developed and sparse.",,::,"2:26 SEP 2016:Smithsonian, NEWFS",,,,,1,NEWFS-84,WEB,2,,21-Nov-16,EUTHAMIA,graminifolia,2016,
Verbena hastata,VERBENACEAE,VEHA2,27-Sep-16,NEWFS-414,414,NEWFS,,"Rogers, J., Heilmann, K.",US,59E,Northeastern Coastal Zone (Omernik),Massachusetts,Middlesex,"Great Meadows NWR, Concord",off of main trail,Ref NEWFS-412.,"42°28' 39.9"" N","71°19' 58.4"" W",42.47775,-71.33288,GPS,NAD83,112,FT,US FWS,Asclepias incarnata:Asclepias syriaca:Cornus amomum:Erechtites hieraciifolia:Lythrum salicaria:Oenothera biennis:Typha sp.:Acer rubrum,Trampled,freshwater marsh,0,,edge of freshwater marsh/trail,conservation/recreation,diorite,Sand,120 plants sampled,150,2-Jan,P,,,::,"2:27 SEP 2016:Smithsonian, NEWFS",,,,,1,NEWFS-89,WEB,6,7.5YR 2.5/2 very dark brown,21-Nov-16,VERBENA,hastata,2016,
