NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
Amorpha canescens,FABACEAE,AMCA6,22-Jul-16,CBG-7312,7312,CBG,,"Wilson, D.",US,42E,Northwestern Glaciated Plains (Omernik),South Dakota,Gregory,,,Karl Mundt National Wildlife Refuge - From I-80 drive north about 150.5 miles on Hwy 83 to Thedford. Continue north on Hwy 83 for ~175 miles to Valentine. Travel east ~75 miles to Pickstown. Refuge is immediately south of Missouri River Bridge off Toe Rd and south via Randall Rd and a farmer's two-track.,"43°0 6"" N","98°31' 23"" W",43.00166,-98.52305,GPS,NAD83,1527,FT,USFWS SD Refuge,Medicago sativa:Melissa officinalis:Rosa arkansana:Panicum virgatum:Schizachyrium scoparium:Echinacea angustifolia,Grazed,"Sandy, rolling hills",10,SW,,"Wildlife refuge, grazing","Deposits of clay, silt, sand and gravel",Other : sandy loam,100 plants sampled,400,16,P,3,,D. Wilson::,"2:22 JUL 2016:CBG, Smithsonian",,,,,1,Wilson2016-29,WEB,3,Dark brown/black,26-Apr-17,AMORPHA,canescens,2016,
Eriogonum annuum,POLYGONACEAE,ERAN4,28-Sep-16,CBG-7510,7510,CBG,,"Wilson, D.",US,44E,Nebraska Sandhills (Omernik),Nebraska,Thomas,,,From I-80 drive north approximately 150.5 miles to Hwy 83 to Thedford. Turn right (east) for 15.3 miles to Hwy 86B Spur before the town of Halsey. Drive 2.6 miles on 86B S[ur which becomes Rd 212 to 203 East Loop gravel road. Plants occur all along 212 and 203 Loop (which is 31 miles).,"41°53' 0.97"" N","100°24' 43.64"" W",41.8836,-100.41212,GPS,NAD83,2864,FT,USFS Region 2,Panicum virgatum:Elymus canadensis:Eragrostis trichodes:Schizachyrium scoparium:Helianthus petiolaris:Heterotheca villosa:Andropogon hallii:Liatris squarrosa:Amorpha canescens:Oligoneuron rigidum:Calamovilfa longifolia:Artemisia campestris:Commelina erecta,Grazed,,10,N,Mixed grass prairie,recreational,Holocene dunefields,Sand,200 plants sampled,2000,60,,,,D. Wilson::,"2:21 SEP 2016:CBG, Smithsonian",,,,,,Wilson2016-75,WEB,2.3,Beige-gray,14-Apr-17,ERIOGONUM,annuum,2016,
Krigia biflora,ASTERACEAE,KRBI,6-Jun-18,CBG-9600,9600,CBG,,"Sollenberger, D.",US,54E,Central Corn Belt Plains (Omernik),Illinois,,Sweet Fern Savanna,,,"41°4' 29.89"" N","87°35' 50.06"" W",41.07496,-87.59723,GPS,WGS84,198,FT,Marienne Hahn,Solidago altissima:Sorghastrum nutans:Viola lanceolata:Carex scoparia:Carex swanii:Fragaria virginiana:Potentilla simplex:Rosa carolina:Eupatorium serotinum:Achillea millefolium:Tradescantia ohiensis,,plain,0,,sand savanna,land and water reserve,,Sand,102 plants sampled,400,1,P,Habit - forb,,D. Sollenberger:In Field:,"2:31 MAY 2018:CBG, Smithsonian",,,,,1,,ACH,1.5,dark brown,1-Feb-19,KRIGIA,biflora,2018,
Eriophorum angustifolium,CYPERACEAE,ERAN6,7-Jun-18,CBG-9700,9700,CBG,,"Sollenberger, D.",US,54E,Central Corn Belt Plains (Omernik),Wisconsin,Kenosha,Chiwaukee Prairie,,scattered in wet depressions,"42°30' 14.26"" N","87°48' 42.77"" W",42.50396,-87.81188,GPS,WGS84,177,M,WDNR,Carex buxbaumii:Cornus sericea:Schoenoplectus acutus:Hypericum kalmianum:Zizia aurea:Carex lasiocarpa:Thelypteris palustris:Fragaria virginiana:Carex tetanica,Burned,swale,,,sand prairie,state natural area,exposed glacial lake sediments,Sand,227 plants sampled,400,5,P,habit - Grass-Grasslike,,D. Sollenberger:In Field:,"2:07 JUN 2018:CBG, Smithsonian",,,,,1,,ACH,2,black,1-Feb-19,ERIOPHORUM,angustifolium,2018,
Valeriana edulis,VALERIANACEAE,VAED,7-Jun-18,CBG-9702,9702,CBG,,"Sollenberger, D.",US,54E,Central Corn Belt Plains (Omernik),Wisconsin,Kenosha,,,,"42°32' 7.55"" N","-87°48' 56.99"" W",42.53543,-87,GPS,WGS84,180,M,,Hypoxis hirsuta:Sisyrinchium campestre:Pedicularis canadensis:Pedicularis canadensis:Silphium integrifolium:Carex buxbaumii:Symphyotrichum oolentangiense:Carex buxbaumii:Fragaria virginiana:Lithospermum canescens:Packera paupercula:Krigia biflora:Oligoneuron riddellii:Schizachyrium scoparium,,"swell, swale",,,sand prairie,state natural area,exposed glaical lake sediments,Sand,226 plants sampled,600,8,,habit - forb,,D. Sollenberger:In Field:,"2:07 JUN 2018:CBG, Smithsonian",,,,,,,ACH,2.5,black,1-Feb-19,VALERIANA,edulis,2018,
Pedicularis canadensis,SCROPHULARIACEAE,PECA,6-Jun-18,CBG-9703,9703,CBG,,"Sollenberger, D.",US,54E,Central Corn Belt Plains (Omernik),Illinois,Iroquois,Iroquois County Conservation Area,,N.E. side of the preserve along trail adjacent to the sedge meadow,"40°59' 28.32"" N","-87°33' 48.2"" W",40.9912,-87,GPS,WGS84,205,M,Illinois DNR,Corylus americana:Malus ioensis:Quercus velutina:Rubus sp.:Onoclea sensibilis:Carex swanii:Krigia biflora:Potentilla simplex,,plain,,,,conservation area,,Sand,184 plants sampled,600,2,P,plant habit: forb,,D. Sollenberger:In Field:,"2:06 JUN 2018:CBG, Smithsonian",,,,,1,,ACH,0.5,dark brown,1-Feb-19,PEDICULARIS,canadensis,2018,
Hymenopappus scabiosaeus,ASTERACEAE,HYSC,6-Jun-18,CBG-9704,9704,CBG,,"Sollenberger, D.",US,54E,Central Corn Belt Plains (Omernik),Illinois,Kankakee,Sweet Fern Savanna,,near parking area of trail,"41°4' 28.74"" N","-87°36' 2.23"" W",41.07465,-87,GPS,WGS84,207,M,Marianne Hahn,:Artemisia campestris:Tradescantia ohiensis:Schizachyrium scoparium:Opuntia humifusa:Desmodium sessilifolium:Lespedeza capitata:Oenothera sp.:Asclepias tuberosa,,hill,,,,land and water reserve,,Sand,147 plants sampled,300,0.2,P,,,D. Sollenberger:In Field:,"2:07 JUN 2018:CBG, Smithsonian",,,,,1,,ACH,2.5,light brown,1-Feb-19,HYMENOPAPPUS,scabiosaeus,2018,
Carex haydenii,CYPERACEAE,CAHA7,31-May-18,CBG-9705,9705,CBG,,"Sollenberger, D.",US,54E,Central Corn Belt Plains (Omernik),Illinois,Iroquois,Iroquois County Conservation Area,SW side,Scattered in sedge meadow,,,.,.,None,WGS84,,FT,Illinois DNR,Carex stricta:Carex buxbaumii:Carex pellita:Polygonum amphibium:Polygonum amphibium var. stipulaceum:Lycopus americanus:Galium obtusum:Calamagrostis canadensis:Scutellaria lateriflora:Eleocharis sp.,,plain,0,,sedge meadow,state conservation area,,Sand,97 plants sampled,200,1,P,,,D. Sollenberger:In Field:,"2:31 MAY 2018:CBG, Smithsonian",,,,,1,,ACH,2.5,black,1-Feb-19,CAREX,haydenii,2018,
Vaccinium angustifolium,ERICACEAE,VAAN,28-Jun-18,CBG-9706,9706,CBG,,"Sollenberger, D.",US,54E,Central Corn Belt Plains (Omernik),Illinois,Kankakee,Sweet Fern Savanna,,,"41°4' 29.32"" N","-87°35' 32.82"" W",41.07481,-87,GPS,WGS84,205,M,Marianne Hahn,Quercus velutina:Quercus alba:Carex siccata:Rubus sp.:Lespedeza hirta:Maianthemum racemosum,,hill,5,,sand savana,state land and water reserve,,Sand,137 plants sampled,400,0.2,P,,,D. Sollenberger:In Field:,"2:07 JUN 2018:CBG, Smithsonian",,,,,1,,ACH,1,brown,1-Feb-19,VACCINIUM,angustifolium,2018,
Carex conoidea,CYPERACEAE,CACO14,14-Jun-18,CBG-9707,9707,CBG,,"Sollenberger, D.",US,54E,Central Corn Belt Plains (Omernik),Wisconsin,Kenosha,Chiwaukee Prairie,,Scattered throughout mesic areas of the preserve. Subpopulation B approximately 1/2 mile north of A.,"42°30' 1.4"" N","-87°48' 38.09"" W",42.50038,-87,GPS,WGS84,176,M,WDNR,Tradescantia ohiensis:Andropogon gerardii:Panicum virgatum:Dalea purpurea:Lithospermum canescens,,hill,,,,state natural area,exposed glacial lake sediments,Sand,154 plants sampled,300,1,P,"grass, grasslike",,D. Sollenberger:In Field:,"2:14 JUN 2018:CBG, Smithsonian",,,,,1,,ACH,0.75,black,1-Feb-19,CAREX,conoidea,2018,
