NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC,...58,...59
Suaeda maritima,CHENOPODIACEAE,SUMA,3-Nov-17,NEWFS-871,871,NEWFS,NA,"Kang, K.",US,59,Northeastern Coastal Zone (Omernik),Massachusetts,Plymouth,Captain Cushman Preserve,Salt marsh adjacent to field,From Boston take 93S to MA-3 S. Get off at Exit 11 and follow MA-14E to George St. Turn right onto Anchorage Ln and follow the road to the parking lot at the end. Take either meadow trail to the forest. Cut through the forest to reach the salt marsh.,"42∞02' 40.0"" N","70∞40' 35.9"" W",42.04444,-70.67663,GPS,NAD83,5,FT,Wildlands Trust,Juncus gerardii:Spartina patens:Spartina alterniflora:Iva frutescens:Salicornia depressa:Solidago sempervirens:Limonium carolinianum:Limonium carolinianum:Limonium carolinianum:Limonium carolinianum,Flooded,Salt marsh,NA,NA,Salt marsh,Conservation/recreation,Granite,"Clay, Silt, Sand",60 plants sampled,200+,1,P,˚succulent narrowly lance-shaped leaves interspersed with clusters of sessile round 5 merous capsules; prostrate/creeping˚,NA,M. Piantedosi - NEWFS:In Field:03 NOV 2017,2:03 NOV 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,240,WEB,>1,"7.5 YR 3/1 ""very dark grey""",15-Dec-17,SUAEDA,maritima,2017,NA,NA,NA
Typha latifolia,TYPHACEAE,TYLA,26-Aug-15,NCBG-262,262,NCBG,NA,"Heraty, M., Dakar, J.",US,63,Middle Atlantic Coastal Plains (Omernik),Virginia,James City,York River State Park,York River Park Road,"From start of York River Park Road at York River State Park sign, go 0.9 mile to collection site on right in marsh.","37∞25' 58.18"" N","76∞43' 17.96"" W",37.43282,-76.72165,GPS,WGS84,13,FT,State of VA,Mikania scandens:Carex lurida:Juncus effusus:Acer rubrum:Morella cerifera:Quercus sp.:Pinus sp.:Juncus sp.,NA,Marsh,0 - 2,NA,Marsh,Conservation/Recreation,"Fine-loamy, Siliceous, Thermic Typic Hapludults",Other : sandy loam,60 plants sampled,~ 1000,2,P,Wide leaf blades,NA,J. Dakar:In Field:26 AUG 2015,2:26 AUG 2015:Smithsonian:North Carolina University,NA,NA,NA,NA,NA,JD-108,WEB,6,10YR 4/2,8-Sep-16,TYPHA,latifolia,2015,NA,NA,NA
Chamaedaphne calyculata,ERICACEAE,CHCA2,17-Nov-17,NEWFS-923,923,NEWFS,NA,"Cecil, A.; Estevez, C.; Kang, K.",US,59,Northeastern Coastal Zone (Omernik),Connecticut,New London,Pachaug State Forest,Hell Hollow Pond,"Take 14A west, exit onto 49 south; turn right onto Hell Hollow Rd (closed Dec-March), pond should be on your north side","41∞34' 55.2"" N","71∞51' 36.7"" W",41.582,-71.86019,GPS,NAD83,317,FT,CT DEEP,Kalmia angustifolia:Juncus canadensis:Clethra alnifolia,Flooded,wetland,NA,NA,wetland,conservation/recreation,mylonite,"Clay, Silt, Sand",58 plants sampled,100,1,P,"Ericaceous white flowers; needle like, tough, glabrous leaves, often standing upright in two rows on arching branches; seeds in dehiscent capsules˚",NA,M. Piantedosi - NEWFS:In Field:17 NOV 2017,2:17 NOV 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,292,WEB,3-Jan,NA,19-Dec-17,CHAMAEDAPHNE,calyculata,2017,NA,NA,NA
Fimbristylis castanea,CYPERACEAE,FICA4,22-Sep-16,NCBG-548,548,NCBG,NA,"Dakar, J.",US,63,Middle Atlantic Coastal Plains (Omernik),Virginia,Mathews,New Point Comfort Preserve,Lighthouse Rd,"From Bavon, VA head SE on VA-600 for 0.4 miles. Population on left.","37∞19' 47"" N","76∞17' 0.3"" W",37.32972,-76.28341,GPS,NAD83,2,FT,VA TNC,Paspalum sp.:Phragmites australis:Panicum anceps:Pinus taeda:Distichlis spicata:Juniperus virginiana:Baccharis halimifolia:Iva frutescens:Spartina patens,NA,Shrubland,0-2,NA,Eastern tidal salt shrub,Conservation and Recreation,"Fine-loamy, mixed, active, mesic typic endoaquults",Other : Sandy loam,80 plants sampled,3000+,1,P,NA,NA,J. Dakar - NCBG:In Field:22 SEP 2016,"2:22 SEP 2016:NCU, US",NA,NA,NA,NA,1,JD-186,WEB,2.5,10 YR 3/2,13-Dec-16,FIMBRISTYLIS,castanea,2016,NA,NA,NA
Triglochin maritima,JUNCAGINACEAE,TRMA20,27-Jul-17,NEWFS-648,648,NEWFS,NA,"Cecil, A.; Estevez, C.; Kang, K.; Piantedosi, M.; Tokarz, E.",US,59,Northeastern Coastal Zone (Omernik),Connecticut,New London,Bluff Point State Park,Gravel Road/Poquonnock River bank,Take 95S to exit 88. Turn left onto CT-1175. Turn right onto Fort Hill Rd. Turn left onto Depot Rd. Park at parking area and walk down gravel path. Population in first salt marsh off of trail.,"41∞19' 48.9"" N","72∞02' 00.3"" W",41.33025,-72.03341,GPS,NAD83,5,FT,CT-DEEP,Salicornia depressa:Juncus gerardii:Spartina patens:Spartina patens:Spartina alterniflora:Schoenoplectus americanus:Schoenoplectus americanus,Flooded,salt marsh,0,NA,salt marsh,conservation/recreation,Granite; Gneiss,Clay,150+,500,1,P,numerous small green sessile flowers on a long green stem˚,NA,M. Piantedosi; NEWFS:In Field:27 JUL 2017,1 :27 JUL 2017:Smithsonian :,NA,NA,NA,NA,1,17,WEB,2-Jan,"7.5 YR 5/3 ""brown""",7-Dec-17,TRIGLOCHIN,maritima,2017,NA,NA,NA
Solidago altissima,ASTERACEAE,SOAL6,20-Oct-17,NEWFS-819,819,NEWFS,NA,"Tokarz, E.",US,59,Northeastern Coastal Zone (Omernik),New Hampshire,Rockingham,Great Bay NWR,Ferry Way Trail,"Take 95 N to exit 4 on the left to merge onto 16 N/US-4 W. Take exit 1 for Gosling Road. Turn left onto Gosling Road. Turn right onto Arboretum Drive. At the traffic circle, take the third exit and stay on Arboretum Drive. Drive to the parking lot. Take the trail around the fenced-in weapons storage field and make a left to Beaver Pond. Head right across the bridge to a grassy meadow preceding the salt marsh and the population is along the forest line.","43∞05' 29.0"" N","70∞51' 09.8"" W",43.09138,-70.85272,GPS,NAD83,3,FT,USFWS,Schizachyrium scoparium:Berberis thunbergii:Prunus serotina:Prunus serotina:Prunus serotina:Prunus serotina:Celastrus orbiculatus:Carya sp.:Acer sp.,Mowed,Meadow,NA,NA,Meadow,Conservation/recreation,"migmatite, phyllite, diorite, gabbro","Clay, Sand",78 plants sampled,500+,1,P,˚pyramidal inflorescence with a prominent mid vein and slightly to no serrations along the leaf margin˚,NA,M. Piantedosi - NEWFS:In Field:20 OCT 2017,1:20 OCT 2017:Smithsonian,NA,NA,NA,NA,1,188,WEB,4-Mar,"5 Y 3/2 ""dark olive grey""",14-Dec-17,SOLIDAGO,altissima,2017,NA,NA,NA
Schizachyrium scoparium,POACEAE,SCSC,20-Oct-17,NEWFS-820,820,NEWFS,NA,"Cecil, A.; Estevez, C.; Kang, K.; Tokarz, E.",US,59,Northeastern Coastal Zone (Omernik),New Hampshire,Rockingham,Great Bay NWR,Open meadow,"Take 95 N to exit 4 on the left to merge onto 16 N/US-4 W. Take exit 1 for Gosling Road. Turn left onto Gosling Road. Turn right onto Arboretum Drive. At the traffic circle, take the third exit and stay on Arboretum Drive. Meadow is located on the right across from the fenced airfield.","43∞05' 41.8"" N","70∞50' 18.3"" W",43.09494,-70.83841,GPS,NAD83,57,FT,USFWS,Eragrostis spectabilis:Digitaria cognata:Lespedeza capitata:Rhus typhina:Toxicodendron radicans,Mowed,meadow,NA,NA,meadow,Conservation/recreation,"migmatite, phyllite, diorite, gabbro","Clay, Silt",1585 plants sampled,10000+,3,P,"˚Burgundy/purple stemmed grass, grows in dense clusters in open areas; seed heads visible as little white fluffy tufts along stem˚",NA,M. Piantedosi - NEWFS:In Field:20 OCT 2017,1:20 OCT 2017:Smithsonian,NA,NA,NA,NA,1,189,WEB,3-Feb,"5 Y 3/2 ""dark olive grey""",14-Dec-17,SCHIZACHYRIUM,scoparium,2017,NA,NA,NA
Schizachyrium scoparium,POACEAE,SCSC,1-Nov-17,NEWFS-853,853,NEWFS,NA,"Cecil, A.; Estevez, C.; Kang, K.; Tokarz, E.;",US,59,Northeastern Coastal Zone (Omernik),Rhode Island,Washington,Ninigret NWR,Entrance Rd.,Take 93s to 95s. Keep left at the fork for RI-4S. Continue straight onto US-1S. Slight right onto Bend Road. Use that road to get to the Traffic Light to make a U-turn to get to Ninigret Entrance Road. Population surrounds parking lot.,"41∞21' 57.9"" N","71∞39' 43.0"" W",41.36608,-71.66194,GPS,NAD83,13,FT,USFWS,Solidago rugosa:Solidago altissima:Euthamia graminifolia:Euthamia caroliniana:Morella caroliniensis:Betula populifolia:Betula populifolia,Mowed:Trampled,Dry field/anthropogenic,NA,NA,Dry field/anthropogenic,Recreation/Conservation,Granite,"Sand, Other : Gravel",512 plants sampled,1000+,3,P,"˚tufted seeds regularly spaced, blow easily off inflorescence˚",NA,M. Piantedosi - NEWFS:In Field:01 NOV 2017,1:01 NOV 2017:Smithsonian,NA,NA,NA,NA,1,222,WEB,2-Jan,"7.5 YR 3/2 ""dark brown""",15-Dec-17,SCHIZACHYRIUM,scoparium,2017,NA,NA,NA
Hibiscus moscheutos,MALVACEAE,HIMO,24-Aug-16,NCBG-489,489,NCBG,NA,"Dakar, J., Healy, C., Walker, S., Flood, M., Faucette, A.",US,63,Middle Atlantic Coastal Plains (Omernik),Maryland,Caroline,Choptank Wetland Preserve,"Choptank River Tract, off Broadwalk","From Easton, MD, head east on Dover Rd. for 3 miles. Turn right onto Kingston Rd-private property, need gate access-continue on road, left past house. Boardwalk begins approx. 3/4 miles on left. Population all along boardwalk.","38∞46' 20.6"" N","75∞58' 35.9"" W",38.77238,-75.97663,GPS,NAD83,4,FT,MD TNC,Phyla sp.:Panicum virgatum:Lobelia cardinalis:Peltandra virginica:Amaranthus cannabinus:Typha latifolia:Mikania scandens:Zizania aquatica,NA,Marsh,0-2,NA,Tidal Brackish Marsh,Conservation/Recreation,"Fine-Silty, Mixed, Active, Nonacid, Mesic Typic Hydraquents",Other : Silt Loam,73 plants sampled,500+,3,P,NA,NA,M. Flood-NCBG:In Field:24 AUG 2016,"2:24 AUG 2016:US, NCU",NA,NA,NA,NA,1,MF-43,WEB,4+,5 Y 2.5/2,8-Dec-16,HIBISCUS,moscheutos,2016,NA,NA,NA
Panicum amarum,POACEAE,PAAM2,19-Sep-17,NCBG-732,732,NCBG,NA,"Dakar, J., Faucette, A., Healy, C.",US,63,Middle Atlantic Coastal Plains (Omernik),Virginia,Accomack,Chincoteague NWR,End of Service Rd,"Population at end of road, northernmost part of the refuge.","38∞0 22.7"" N","75∞15' 38.8"" W",38.0063,-75.26077,GPS,NAD83,8,FT,USFWS,Morella pensylvanica:Diodia teres:Uniola paniculata:Hudsonia tomentosa:Cyperus grayi,NA,Dune,0-15,"N, NE, E, SE, S, SW, W, NW",Dune,Conservation/Recreation,"Mixed, Thermic Typic Udipsamments",Sand,300 plants sampled,2000,3,P,NA,NA,A. Faucette-NCBG:In Field:19 SEP 2017,"2:19 SEP 2017:NCU, US",NA,NA,NA,NA,1,ALF-607,WEB,5-Feb,10 YR 4/2,4-Dec-17,PANICUM,amarum,2017,NA,NA,NA
