GG package,Pullman Box,Genus ,Species,Accn Number,% normal germ,% total germ (incl. abnormal+clip),% dormant,% viable,% empty,% dead,100 Seed Weight (g),100 Seed Inert Weight (g),Total Sample Weight (g),NLGRP Weight (g),Pullman Weight (g),Collector Weight (g),GRIN Weight (g),Total Estimated Seeds (#),NLGRP Estimated Seed (#),Pullman Estimated Seed (#),Collector Estimated Seed (#),GRIN Estimated Seed (#),Notes
NA,1,Agalinis,maritima,NEWFS-425,,,,,,,0.08,0.8413,32.3627,16.29,15.85,0,0,3513,1768,1720,0,0,Seeds appear to be moldy and cracked from either age or damage from poor handling and/or storage. This sample was not tested as obtaining a quality sub-sample without empty and damaged seeds was impossible.
1,2,Agalinis,maritima,NEWFS-759,,,,,,,0.0741,1.624,155.58,51.8,51.92,0,51.86,9162,3050,3058,0,3054.001531,Seeds appear to be moldy and cracked from either age or damage from poor handling and/or storage. This sample was not tested as obtaining a quality sub-sample without empty and damaged seeds was impossible.
1,2,Alnus,serrulata,NCBG-292,0.33,0.33,0.20,0.53,0.43,0.05,0.0967,0,63.094,3.77,3.71,51.78,3.71,65247,3899,3837,53547.05274,3836.608066,
1,1,Alnus,serrulata,NCBG-392,0.27,0.27,0.13,0.40,0.57,0.03,0.097,0,75.7037,4.21,4.23,63.74,4.26,78045,4340,4361,65711.34021,4391.752577,
1,2,Andropogon,gerardii,NCBG-405,0.22,0.22,0.00,0.22,0.76,0.02,0.2098,0,49.2632,7.03,7.03,28.25,7.06,23481,3351,3351,13465.20496,3365.109628,
1,2,Aristida,purpurascens var. virgata,NCBG-572,0.41,0.43,0.00,0.43,0.57,0.00,0.0339,0.1088,78.4,4.91,4.98,63.08,5.05,54940,3441,3490,44204.62509,3538.892782,
3,1,Asclepias,syriaca,NCBG-374,0.22,0.40,0.37,0.77,0.00,0.23,0.4481,1.9355,333.65,80.17,81.79,69.94,80.23,13998,3363,3431,2934.217151,3365.9171,
3,1,Asclepias,syriaca,NEWFS-715,0.78,0.82,0.14,0.96,0.00,0.04,0.5742,1.2929,590.76,63.61,66.43,391.92,66.72,31641,3407,3558,20990.84141,3573.456162,
3,1,Asclepias,syriaca,NEWFS-822,0.96,0.96,0.01,0.97,0.00,0.03,0.8812,1.1614,304.29,68.22,68.12,98.12,68.09,14897,3340,3335,4803.681582,3333.496524,
NA,2,Atriplex,prostrata,NEWFS-776,0.25,0.27,0.39,0.66,0.18,0.16,0.1115,1.254,68.4894,34.29,34.29,0,0,5016,2511,2511,0,0,
NA,2,Atriplex,prostrata,NEWFS-797,0.41,0.45,0.23,0.68,0.25,0.07,0.1495,1.7298,42.01782,21.11,21.05,0,0,2236,1123,1120,0,0,
none assigned,2,Baccharis,halimifolia,NCBG-384,0.14,0.19,0.07,0.26,0.49,0.25,0.0142,0.5345,41.0965,16.12,16.09,0,8.06,7490,2938,2932,0,1468.926554,
1,2,Betula,populifolia,NEWFS-856,0.27,0.27,0.00,0.27,0.73,0.00,0.0092,0.1259,159.5818,4.6,4.51,146.26,4.5,118121,3405,3338,108260.5477,3330.866025,
2,2,Bolboschoenus,maritimus,NEWFS-424,0.30,0.30,0.47,0.77,0.03,0.20,0.3164,0.7925,141.2586,25.94,25.94,62.55,25.95,12739,2339,2339,5640.725043,2340.156912,
NA,2,Bolboschoenus,maritimus,NEWFS-651,0.03,0.03,0.57,0.60,0.00,0.40,0.3682,0.1632,11.3652,5.62,5.68,0,0,2139,1058,1069,0,0,
none assigned,1,Bolboschoenus,maritimus,NEWFS-692 listed as 69,0.01,0.01,0.45,0.46,0.03,0.51,0.4119,0.4617,527.72,29.14,29.16,403.07,29.12,60408,3336,3338,46138.9652,3333.333333,
2,1,Bolboschoenus,maritimus,NEWFS-789,0.43,0.43,0.31,0.74,0.00,0.26,0.3554,0.441,116.27,26.56,26.56,36.49,26.5,14599,3335,3335,4581.868408,3327.473631,
