Source Descriptor Code Lang ID,Descriptor,Code,Language,Title,Description,Created Date,Created By,Modified Date,Modified By,Owned Date,Owned By
1,ASPECT,Uncertain,English,Uncertain,Slope: Uncertain,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
2,ASPECT,North,English,North,North facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
3,ASPECT,South,English,South,South facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
4,ASPECT,East,English,East,East facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
5,ASPECT,West,English,West,West facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
6,ASPECT,Northeast,English,Northeast,Northeast facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
7,ASPECT,Northwest,English,Northwest,Northwest facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
8,ASPECT,Southeast,English,Southeast,Southeast facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
9,ASPECT,Southwest,English,Southwest,Southwest facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
10,INDIVIDUAL STRUCTURE,Ramets,English,Ramets,Sampled individual plants represent clones,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS"
11,INDIVIDUAL STRUCTURE,Genets,English,Genets,Sampled individual plants represent genetically unique individuals,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS"
12,INDIVIDUAL STRUCTURE,Mixed,English,Mixed,Sampled individual plants represent clones and genetically unique individuals,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS"
13,LAND ELEMENT,Plain level,English,Plain level,Plain level,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
14,LAND ELEMENT,Escarpment,English,Escarpment,Escarpment,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
15,LAND ELEMENT,Interfluve,English,Interfluve,Interfluve,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
16,LAND ELEMENT,Valley,English,Valley,Valley,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
17,LAND ELEMENT,Valley floor,English,Valley floor,Valley floor,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
18,LAND ELEMENT,Channel,English,Channel,Channel,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
19,LAND ELEMENT,Levee,English,Levee,Levee,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
20,LAND ELEMENT,Terrace,English,Terrace,Terrace,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
21,LAND ELEMENT,Floodplain,English,Floodplain,Floodplain,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
22,LAND ELEMENT,Lagoon,English,Lagoon,Lagoon,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
