Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Packera multilobata,NA,NA,Wild material,NA,"Leaves alternate, obovate to oblanceolate, deeply pinnatifid. Corymb-like clusters, yellow disks, involucre bracts",7/1/2020,"United States, Colorado, Grand","United States, Idaho",300,Wild Habitat,NA,Artemisia tridentata:Elymus elymoides:Eriogonum umbellatum,"Sub Unit Description :BLM Area/ Geology Description : Dirt Road/ Locality Description: From Kremmling head east on Park Ave, turn left/north on 22nd St, continue on CO HWY 22 for 2.5 miles, turn left/west on dirt road about .25 miles, collected on both sides of the road",2378,40.09748,-106.33926,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,5,5,North,N,Clay,Clay,Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-397,Collector identifier,NA,EV3,Other or unclassified name,NA,NA,"2:10 JUN 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",NA,"M. Gardner, E. Varone DBG:In Field:10 JUN 2020",NA
NA,W6,NA,W6,NA,NA,SD,Penstemon osterhoutii,NA,NA,Wild material,NA,"Violet blue flowers, cylindrical inflorescence, densely paniculate with many flowers, staminode barely exerted, densely short bearded at apex, leaves ovate, glabrous/glaucous",7/14/2020,"United States, Colorado, Eagle","United States, Idaho",150,Wild Habitat,Grazed,Juniperus sp.:Artemisia tridentata:Pinus sp.,"Sub Unit Description :BLM Area/ Geology Description : CO HWY 11/ Locality Description: Take CO Rd 1/Trough Rd, Turn right/west onto CO HWY 11 just past Radium River Access, stay on CO HWY 11 for about .5 miles, collection on both sides of road",2184,39.95758,-106.55205,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,45,45,Southeast,SE,Clay,Clay,Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-398,Collector identifier,NA,EV2,Other or unclassified name,NA,NA,"2:10 JUN 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",NA,"M. Gardner, E. Varone DBG:In Field:10 JUN 2020",NA
NA,W6,NA,W6,NA,NA,SD,Orthocarpus luteus,NA,NA,Wild material,NA,"flowers: yellow, partly covered by calyx; leaves: sessile, lanceolate, purple to reddish, green toward top of stem; stem: red to purple",7/29/2020,"United States, Colorado, Jackson","United States, Idaho",2000,Wild Habitat,Grazed,Artemisia tridentata:Eriogonum umbellatum:Elymus elymoides:Poa sp.,"Sub Unit Description :BLM area/ Geology Description : dirt two-track/ Locality Description: Going northeast on CO-14, turn southwest on 24 to Coalmont. Follow 24 for 7.2 miles and turn north on 5, take 5 for 0.7 miles on 5E. Take two-track northwest through shrubland. Follow two-tack for 0.16 miles. Population is on north and south sides of road.",2564,40.58697,-106.54463,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,12,12,Northeast,NE,Silt,"Silt, Other : loam",Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-399,Collector identifier,NA,MG21,Other or unclassified name,NA,NA,"2:09 JUL 2020:Smithsonian (USA), Denver Botanic Gardens (KHD)",NA,"Gardner, M., Varone, E.:In Field:09 JUL 2020",NA
NA,W6,NA,W6,NA,NA,SD,Purshia tridentata,NA,NA,Wild material,NA,"petals: 5, white to light yellow; sepals: 5, light green; leaves: green tometose on adaxial surface, witish tometose on abaxial surface, alternate, simple, 3 lobed at apex; fruit: ovoid achene, papery brown outer, with reddish purple seed inside",8/4/2020,"United States, Colorado, Grand","United States, Idaho",200,Wild Habitat,NA,Artemisia tridentata:Populus tremuloides:Poa sp.:Penstemon sp.,"Sub Unit Description :BLM area/ Geology Description : Dirt road/trail/ Locality Description: From Kremmling turn south on 6th st/HWY 9, follow for 2.3 miles to CO HWY 1/Trough Rd, turn west, follow for 7.4 miles to dirt road pull off on north side of road, park and walk road about 500 ft north west, population on both sides of road",2435,39.99548,-106.47522,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,12,12,Northwest,NW,Clay,"Clay, Other : loam",Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-401,Collector identifier,NA,MG13,Other or unclassified name,NA,NA,"2:10 JUN 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",NA,"Gardner, M., Varone, E.:In Field:10 JUN 2020",NA
NA,W6,NA,W6,NA,NA,SD,Pascopyrum smithii,NA,NA,Wild material,NA,"Culms erect, sheaths open, blades flat to in-rolled, rigid upper surface striate, inflorescence erect terminal spike, spikelet tightly overlapped",8/10/2020,"United States, Colorado, Routt","United States, Idaho",3000,Wild Habitat,NA,Artemisia tridentata:Poa sp.:Quercus sp.:Populus tremuloides:Pinus sp.:Lupinus sp.:Wyethia arizonica:Aster sp.,"Sub Unit Description :BLM Area/ Geology Description : Ridge Trail/ Locality Description: From Steamboat Springs take US-40W/S Lincoln Ave north, turn left/northwest onto 13th St, continue onto CO Rd 33, turn left/south onto CO Rd 45, for .9 miles to Emerald Mountain, park in the lot and walk up the multi-use trail, species is in lot and follows trails.",2082,40.4546,-106.91726,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,0,0,Southwest,SW,Sand,Silt,Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-402,Collector identifier,NA,EV14,Other or unclassified name,NA,NA,"2:22 JUL 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",NA,"M. Gardner, E. Varone DBG:In Field:22 JUL 2020",NA
NA,W6,NA,W6,NA,NA,SD,Erigeron speciosus,NA,NA,Wild material,NA,"Erect stems, cauline leaves oblanceolate to ovate, glabrous, involucre glandular, flowers in terminal groups, blue violet rays, yellow disks",8/12/2020,"United States, Colorado, Grand","United States, Idaho",400,Wild Habitat,NA,Populus tremuloides:Erigeron speciosus:Daucus sp.:Achillea millefolium:Aster sp.:Poa sp.:Tragopogon sp.,"Sub Unit Description :BLM Area/ Geology Description : NA/ Locality Description: From US-40E continue onto CO-134W, turn right/southwest onto COHWY19, continue on CO Rd185, turn right/northwest onto COHWY19/Forest Rd 100, turn right/north onto Forest Rd 101 and follow for about 3.8 miles to bottom of reservoir, park, walk across dirt road to trail, follow for 1.3 miles to GPS point.",2807,40.19566,-106.57347,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,40,40,Southwest,SW,Clay,Clay,Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-403,Collector identifier,NA,EV12,Other or unclassified name,NA,NA,"2:16 JUL 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",NA,"M. Gardner, E. Varone DBG:In Field:16 JUL 2020",NA
NA,W6,NA,W6,NA,NA,SD,Eriogonum umbellatum,NA,NA,Wild material,NA,"Stems glabrous to hairy, leaves basal, oblong ovate, gray-green, umbellate inflorescence, subtended by a whorl of leaf-like bracts, involucre cone to bell shaped, tepals yellow",8/13/2020,"United States, Colorado, Jackson","United States, Idaho",2500,Wild Habitat,NA,Populus tremuloides:Crepis acuminata:Senecio spartioides:Ericameria nauseosa:Packera multilobata:Artemisia tridentata,"Sub Unit Description :BLM Area/ Geology Description : NA/ Locality Description: From Walden take CO125N about 10 miles up to JCR6W, take a right/east and follow road to North Sand Hills Park info stop, take a right/southeast and follow for about 1 miles, stay right and pass under powerlines .2 miles, take a left/north follow .2 miles to aspen stand",2594,40.87098,-106.2063,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,12,12,Southeast,SE,Clay,Sand,Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-404,Collector identifier,NA,EV11,Other or unclassified name,NA,NA,"2:09 JUL 2020:Smithsonian (US), Denver Botanic Gardens (KHD",NA,"M. Gardner, E. Varone DBG:In Field:09 JUL 2020",NA
NA,W6,NA,W6,NA,NA,SD,Erigeron speciosus,NA,NA,Wild material,NA,"Erect stems, cauline leaves oblanceolate to ovate, glabrous, involucre glandular, flowers in terminal groups, blue violet rays, yellow disks",8/18/2020,"United States, Colorado, Jackson","United States, Idaho",500,Wild Habitat,NA,Artemisia tridentata:Eriogonum umbellatum:Purshia tridentata:Populus tremuloides:Ipomopsis aggregata:Achillea millefolium,"Sub Unit Description :BLM Area/ Geology Description : NA/ Locality Description: From Walden head north on CO125N/CO14E for 10.6 miles, turn left/west on JCRD6W in Cowdrey, follow for 15.2 miles until GPS point. Park and stay to the right, species is along the ditch into the aspens about .3 miles",2607,40.95004,-106.51928,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,15,15,Southeast,SE,Silt,Clay,Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-405,Collector identifier,NA,EV10,Other or unclassified name,NA,NA,"2:08 JUL 2020:Smithsonian (US), Denver Botanic Gardens (KHD)",NA,"M. Gardner, E. Varone DBG:In Field:08 JUL 2020",NA
NA,W6,NA,W6,NA,NA,SD,Elymus elymoides,NA,NA,Wild material,NA,"inflorescence: purple at tips, green at base, culms erect to spreading; blades: flat to slightly rolled",8/18/2020,"United States, Colorado, Jackson","United States, Idaho",2500,Wild Habitat,NA,Artemisia tridentata:Chrysothamnus viscidiflorus:Chrysothamnus viscidiflorus:Ranunculus sp.:Carex sp.:Juncus sp.:Poa sp.,"Sub Unit Description :BLM area/ Geology Description : Reservoir/ Locality Description: Going north on CO-125, turn west on County Rd 12 W. Turn north on Co Rd 15 to Walden Reservoir, follow for 1.1 miles and turn west on dirt road toward reservoir. Population is on on both sides of road and floodplain of reservoir.",2459,40.73559,-106.31082,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,0,0,Undefined,NA,Clay,"Clay, Silt, Other : loam",Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-406,Collector identifier,NA,MG26,Other or unclassified name,NA,NA,"2:29 JUL 2020:Smithsonian (USA), Denver Botanic Gardens (KHD)",NA,"Gardner, M., Varone, E.:In Field:29 JUL 2020",NA
NA,W6,NA,W6,NA,NA,SD,Erigeron speciosus,NA,NA,Wild material,NA,"flowers: light purple ray, yellow disc; leaves: alternate, slightly toothed, sessile, lanceolate, pubescent; stems: green, pubescent",8/19/2020,"United States, Colorado, Grand","United States, Idaho",500,Wild Habitat,Trampled,Populus tremuloides:Heliomeris multiflora:Achillea millefolium:Tragopogon dubius:Poa sp.,"Sub Unit Description :BLM area/ Geology Description : NA/ Locality Description: Going south on US-40, turn east onto Co HWY 27/Forest Rd 103 to Chimney Rock. Follow for 8.6 miles. Pull off in the turn out to the west. Follow Lindsey Creek south west through National Forest on game trails for about 2 miles. Population is on south facing hillside on north side of creek.",814.1208,40.32445,-106.44546,WGS84,Lat/lon determined by GPS,"Gardner, M., Varone, E.","Bureau of Land Management, SOS project",NA,CO932,NA,NA,40,40,Southwest,SW,Sand,"Clay, Other : loam",Southern Rockies,Southern Rockies (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CO932-407,Collector identifier,NA,MG25,Other or unclassified name,NA,NA,"2:28 JUL 2020:Smithsonian (USA), Denver Botanic Gardens (KHD)",NA,"Gardner, M., Varone, E.:In Field:28 JUL 2020",NA
