Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,Land Owner,Land Owner Original Value,Land Owner Evaluation Required,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (1),Voucher Location (2),Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Chaenactis fremontii,NA,NA,Wild material,NA,NA,NA,"United States, Nevada, Clark","United States, Idaho, Ada",1333,Wild Habitat,NA,Larrea tridentata:Ambrosia dumosa:Encelia farinosa:Amsinckia tessellata:Malacothrix glabrata:Rafinesquia neomexicana:Cuscuta sp.,Sub Unit Description  North of Dead Mountains Wilderness Area  Geology Description   Near Mojave Road  Locality Description  From E  Cottonwood Cove and US Rte  95 in Searchlight  NV head S for 19 18 miles  Take NV 163 E and continue for 3 75 miles  At this point take an unmarked dirt road going S  Continue for 7 8 miles at this point you will find the center of the population ,488.8992,35.08129,-114.71798,WGS84,Lat/lon determined by GPS,"Calvillo, S., Champiny, R., Duval, A.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,2,2,West,W,Sandy loam,Other : Sandy loam,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"140L0619F0318-2,3",Collector identifier,NA,"140L0619F0318-2,3",Other or unclassified name,NA,NA,03-25-2020,Smithsonian,Utah Valley University,NA,,
NA,W6,NA,W6,NA,NA,SD,Salvia columbariae,NA,NA,Wild material,NA,NA,NA,"United States, Nevada, Clark","United States, Idaho, Ada",1383,Wild Habitat,NA,Hymenoclea salsola:Encelia farinosa:Eriogonum fasciculatum:Amsinckia tessellata:Hyptis emoryi:Mimulus bigelovii:Cylindropuntia bigelovii:Camissonia refracta,Sub Unit Description  BLM area N of Dead Mountains Willderness Area  Geology Description   Wash S of NV 163 and W of Laughlin  NV  Locality Description  From E  Cottonwood Cove and US Rte  95 intersection in Searchlight  NV head S on US Rte  95 for approximately 19 18 miles  Then turn E onto NV 163  Continue of NV 163 for 6 8 miles  Then turn S onto unmarked dirt road and continue S by SE on this road for 1 9 miles before turning S at the fork  Continue S along the dirt road for 2 09 miles  The population will be along the sides of the wash ,598.932,35.12603,-114.70435,WGS84,Lat/lon determined by GPS,"Calvillo, S., Champiny, R., Duval, A.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,3,3,North,N,Loamy sand,Other : Loamy sand,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"140L0619F0318-4,5",Collector identifier,NA,"140L0619F0318-4,5",Other or unclassified name,NA,NA,03-26-2020,Smithsonian,Utah Valley University,NA,,
NA,W6,NA,W6,NA,NA,SD,Amsinckia tessellata var. tessellata,NA,NA,Wild material,NA,NA,NA,"United States, Nevada, Clark","United States, Idaho, Ada",939,Wild Habitat,NA,Chaenactis fremontii:Malacothrix glabrata:Opuntia basilaris:Larrea tridentata:Ambrosia dumosa:Eschscholzia glyptosperma:Rafinesquia neomexicana,Sub Unit Description  Piute Eldorado Area of Critical Environmental Concern  Geology Description   E of US Rte  95  W of Eldorado Mountains  Locality Description  From Searchlight  NV head N on US Rte  95 for  20 miles  Turn E onto an unmarked dirt road and continue for 1 93 miles  At this point you will come to an intersection  turn NE and continue for 1 16 miles  Veer NW and after 0 23 miles you will be at the center of the population ,833.9328,35.76338,-114.91489,WGS84,Lat/lon determined by GPS,"Calvillo, S., Champiny, R., Duval, A.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,5,5,West,W,Sandy loam,Other : Sandy loam,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,140L0619F0318-6,Collector identifier,NA,140L0619F0318-6,Other or unclassified name,NA,NA,04-08-2020,Smithsonian,Utah Valley University,NA,,
NA,W6,NA,W6,NA,NA,SD,Ericameria linearifolia,NA,NA,Wild material,NA,Plant shrubby  glabrous  leaves linear  heads radiate  disk and ray flowers yellow ,NA,"United States, Nevada, Clark","United States, Idaho, Ada",120,Wild Habitat,None,Achnatherum speciosum:Coleogyne ramosissima:Baileya multiradiata:Eriodictyon angustifolium:Purshia stansburiana:Glandularia gooddingii:Opuntia sp.,Sub Unit Description  Gold Butte National Monument  Geology Description   Whitney Pass  Locality Description  From I 15 N  take exit 112 toward Bunkerville  Riverside  Continue straight onto NV 170 N  Riverside Road for 3 miles  Turn W  right  onto Gold Butte Road  Continue on Gold Butte Road for 21 miles  Turn slightly E  left  onto Whitney Pass Road  Continue for 4 3 miles  Population present throughout hillsides  slopes above road ,1464.8688,36.53142,-114.06977,"NAD83",Lat/lon determined by GPS,"Battista, C., Fitz, E., Ubalde, R.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,7,7,South,S,Sand,Sand,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,140L0619F0309-1,Collector identifier,NA,140L0619F0309-1,Other or unclassified name,NA,NA,04-16-2020,SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Office,,NA,,
NA,W6,NA,W6,NA,NA,SD,Rafinesquia neomexicana,NA,NA,Wild material,NA,White ray flowers with weak  erect stems  Leaves are gray green and are alternate and toothed or narrowly lobed  Leaves are also glabrous and hairless  Plant contains a milky sap ,NA,"United States, Nevada, Clark","United States, Idaho, Ada",100,Wild Habitat,None,Lepidium fremontii:Rafinesquia neomexicana:Cylindropuntia bigelovii:Porophyllum gracile:Antheropeas wallacei:Eschscholzia glyptosperma:Chaenactis fremontii:Salvia columbariae:Opuntia basilaris,Sub Unit Description  El Dorado Mountains  Geology Description   North Powerline Road  Locality Description  From I 95 in Searchlight  turn E onto Cottonwood Cove Road and continue for 7 miles  Turn N onto N  Powerline Road  the first left dirt road after the National Parks Service kiosk  and continue for 0 2 miles  Population is on the W side of the road in teddy bear cholla scrub ,871.4232000000001,35.49452,-114.81964,"NAD83",Lat/lon determined by GPS,"Battista, C., Fitz, E., Ubalde, R.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,2,2,East,E,Sand,Sand,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,140L0619F0309-2,Collector identifier,NA,140L0619F0309-2,Other or unclassified name,NA,NA,03-16-2020,Smithsonian,Utah Valley University Herbarium,NA,,
NA,W6,NA,W6,NA,NA,SD,Nicotiana obtusifolia,NA,NA,Wild material,NA,Small cream to white  funnel shaped flowers  tubular corolla with 5 lobes  Stems and leaves are hairy and sticky  Lower leaves are large and oval to egg shaped with short petioles  Upper leaves are smaller and narrow  clasping the stems ,NA,"United States, Nevada, Clark","United States, Idaho, Ada",50,Wild Habitat,None,Ambrosia dumosa:Larrea tridentata:Salvia columbariae:Amsinckia tessellata:Chamaesyce polycarpa:Perityle emoryi:Phacelia distans:Mimulus bigelovii:Encelia sp.,Sub Unit Description  El Dorado Mountains  Geology Description   sandy wash west of Copper Mountain  Locality Description  From I 95 in Searchlight  turn E onto Cottonwood Cove Road and continue for 7 miles  Turn N onto N  Powerline Road  the first left dirt road after the National Parks Service kiosk  and continue for 5 1 miles  Turn E  right  onto the sandy wash road towards Copper Mountain and continue for 4 2 miles  Population is found at the sandy edges  base of eroded cliffsides ,668.1216000000001,35.52638,-114.78788,"NAD83",Lat/lon determined by GPS,"Battista, C., Fitz, E., Ubalde, R.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,3,3,Northeast,NE,Sand,Sand,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,140L0619F0309-3,Collector identifier,NA,140L0619F0309-3,Other or unclassified name,NA,NA,03-16-2020,Smithsonian,Utah Valley University Herbarium,NA,,
NA,W6,NA,W6,NA,NA,SD,Antheropeas wallacei,NA,NA,Wild material,NA,Disk and ray flowers yellow  involucre bell shaped  Stem and leaves wooly  Plant generally  15 cm ,NA,"United States, Nevada, Clark","United States, Idaho, Ada",1250,Wild Habitat,None,Amsinckia tessellata:Rafinesquia neomexicana:Lupinus sparsiflorus:Larrea tridentata:Phacelia distans:Ambrosia dumosa:Hymenoclea salsola:Acamptopappus sphaerocephalus:Adenophyllum cooperi:Salvia columbariae:Eriogonum fasciculatum:Leptosiphon aureus ssp. aureus,Sub Unit Description  Piute El Dorado  Geology Description   S of NV 163  Locality Description  From I 95  turn E onto NV 163 and continue for 6 7 miles  Turn S onto an unnamed dirt road behind a gate and continue for 0 1 miles  Population is on both sides of road ,805.8912,35.17284,-114.73801,"NAD83",Lat/lon determined by GPS,"Battista, C., Fitz, E., Ubalde, R.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,3,3,South,S,Sand,Sand,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,140L0619F0309-4,Collector identifier,NA,140L0619F0309-4,Other or unclassified name,NA,NA,03-05-2020,SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Office,,NA,,
NA,W6,NA,W6,NA,NA,SD,Encelia farinosa,NA,NA,Wild material,NA,Yellow to orange ray florets  Yellow or brown disc florets  Long ovate to deltoid silvery leaves  Leaves are aromatic  Thick  leafy stems ,NA,"United States, Nevada, Clark","United States, Idaho, Ada",300,Wild Habitat,None,Eschscholzia minutiflora:Eriogonum fasciculatum:Hyptis emoryi:Mirabilis laevis:Sphaeralcea ambigua:Salvia columbariae:Cylindropuntia sp.:Hymenoclea salsola:Encelia virginensis:Porophyllum gracile,Sub Unit Description  Piute El Dorado  Geology Description   S of NV 163  Locality Description  From I 95  turn E onto NV 163 and continue for 6 7 miles  Turn S onto an unnamed dirt road behind a gate and continue for 3 4 miles  Population is on both sides of road ,647.0904,35.13154,-114.71142,"NAD83",Lat/lon determined by GPS,"Battista, C., Fitz, E., Ubalde, R.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,6,6,North,N,Sandy loam,Other : Sandy loam,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,140L0619F0309-5,Collector identifier,NA,140L0619F0309-5,Other or unclassified name,NA,NA,03-24-2020,SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Office,,NA,,
NA,W6,NA,W6,NA,NA,SD,Lomatium parryi,NA,NA,Wild material,NA,Leaves basal  fern like  stems erect  reddish green  glabrous  flowers yellow  in umbels  with five protruding stamens ,11-05-2020,"United States, Nevada, Clark","United States, Idaho, Ada",225,Wild Habitat,None,Stipa speciosa:Achnatherum hymenoides:Quercus turbinella:Hilaria rigida:Penstemon eatonii:Encelia virginensis:Cryptantha confertiflora,Sub Unit Description  Red Rock Canyon National Conservation Area  Geology Description   Sandstone Quarry  Locality Description  From Hwy 215 W  turn W onto Hwy 259  W Charleston Blvd  Blue Diamond Hwy  and continue for 5 4 miles  Turn N  right  onto the Scenic Loop and continue for 2 66 miles  Park at the Sandstone Quarry trailhead and hike NE into the canyon for 0 4 miles  Population is found throughout the sandstone canyon in oak scrub ,1335.0240000000001,36.16663,-115.4486,"NAD83",Lat/lon determined by GPS,"Battista, C., Fitz, E., Ubalde, R.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,9,9,Southwest,SW,Loam,Other : Loam,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,140L0619F0309-6,Collector identifier,NA,140L0619F0309-6,Other or unclassified name,NA,NA,03-10-2020,mithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Officeû,,NA,,
NA,W6,NA,W6,NA,NA,SD,Malacothrix glabrata,NA,NA,Wild material,NA,Yellow to white ray flowers with overlapping  strap shaped ligules  Leaves are sparse  alternate  pinnately lobed  and mostly basal  Stems are erect  branched  and hairless sparsely hairy  Plant contains a milky sap ,NA,"United States, Nevada, Clark","United States, Idaho, Ada",400,Wild Habitat,None,Larrea tridentata:Ambrosia dumosa:Chaenactis fremontii:Antheropeas wallacei:Antheropeas lanosum:Rafinesquia neomexicana:Amsinckia tessellata,Sub Unit Description  Piute Valley  Geology Description   Cal Nev Ari  Locality Description  From I 95 S  turn W onto dirt road into Piute Valley  0 6 miles S of Kidwell Hanger Road  and continue for 1 2 miles  Population is found on both sides of road ,772.3632,35.29043,-114.89891,"NAD83",Lat/lon determined by GPS,"Battista, C., Fitz, E., Ubalde, R.","Bureau of Land Management, SOS project",NA,NV052,NA,NA,Public,BLM,NA,0,0,East,E,Sandy loam,Other : Sandy loam,Mojave Basin and Range,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,R-140L0619F0309-1,Collector identifier,NA,R-140L0619F0309-1,Other or unclassified name,NA,NA,04-22-2020,SmithsonianûUtah Valley University HerbariumûLas Vegas Bureau of Land Management Field Officeû,,NA,,
