Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,Land Owner,Land Owner Original Value,Land Owner Evaluation Required,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (1),Voucher Location (2),Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Bouteloua barbata var. barbata,NA,NA,Wild material,NA,NA,10-12-2021,"United States, California, San Bernadino","United States, Idaho, Ada",950,Wild Habitat,NA,Yucca schidigera:Yucca baccata:Coleogyne ramosissima:Prosopis glandulosa:Gutierrezia microcephala:Chilopsis linearis ssp. arcuata:Amaranthus fimbriatus:Bouteloua barbata var. barbata:Scutellaria ovata ssp. mexicana:Cylindropuntia acanthocarpa:Lycium cooperi:Ambrosia salsola:Ephedra sp.,"Sub Unit Description :Needles Field Office/ Geology Description : NA/ Locality Description: Mescal Range: NE foot of the Mescal Range. Bailey Rd. exit off Hwy-15, 0.8 road mi down Zinc Mine/White Eagle Rd. Collected on a hillside adjacent to White Eagle Rd.",1372.5144,35.4648,-115.51625,"NAD83",Lat/lon determined by GPS,"Collections: S. Estrada, D. Bell, N. Fraga","Bureau of Land Management, SOS project",NA,CA930A,NA,NA,Public,BLM,NA,5,5,Northwest,NW,Loam,Loam,NA,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA930A-988,Collector identifier,NA,Estrada 39,Other or unclassified name,NA,NA,NA,NA,,NA,S. Estrada,NA
NA,W6,NA,W6,NA,NA,SD,Amaranthus fimbriatus,NA,NA,Wild material,NA,NA,10-12-2021,"United States, California, San Bernadino","United States, Idaho, Ada",250,Wild Habitat,Feral donkeys,Yucca schidigera:Yucca baccata:Prosopis glandulosa:Gutierrezia microcephala:Chilopsis linearis ssp. arcuata:Amaranthus fimbriatus:Bouteloua barbata var. barbata:Scutellaria ovata ssp. mexicana:Scutellaria ovata ssp. mexicana:Cylindropuntia acanthocarpa:Lycium cooperi:Ambrosia salsola:Ephedra sp.,"Sub Unit Description :Needles Field Office/ Geology Description : NA/ Locality Description: Mescal Range: NE foot of the Mescal Range. Bailey Rd. exit off Hwy-15, 0.8 road mi down Zinc Mine/White Eagle Rd. Collected on a hillside adjacent to White Eagle Rd.",1372.5144,35.4648,-115.51625,"NAD83",Lat/lon determined by GPS,"Collections: S. Estrada, D. Bell, N. Fraga","Bureau of Land Management, SOS project",NA,CA930A,NA,NA,Public,BLM,NA,5,5,Northwest,NW,Loam,Loam,NA,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA930A-989,Collector identifier,NA,Estrada 10,Other or unclassified name,NA,NA,NA,NA,,NA,S. Estrada,NA
NA,W6,NA,W6,NA,NA,SD,Chamaesyce micromera,NA,NA,Wild material,NA,NA,10-13-2021,"United States, California, San Bernadino","United States, Idaho, Ada",250,Wild Habitat,Flooded,Larrea tridentata:Yucca schidigera:Senna armata:Hilaria rigida:Amaranthus fimbriatus:Pectis papposa var. papposa:Chamaesyce setiloba,"Sub Unit Description :Needles Field Office/ Geology Description : NA/ Locality Description: Canyon/Wash E from Goffs, 2.3 road miles east on Goffs Rd, S from railroad tracks at the northernmost end of the Piute Mountains adjacent to Goffs Rd.",786.9936,34.91375,-115.02391,"NAD83",Lat/lon determined by GPS,"Collections: S. Estrada, D. Bell","Bureau of Land Management, SOS project",NA,CA930A,NA,NA,Public,BLM,NA,1,0-2,North,N,Sand,Sand: Gravel,NA,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA930A-990,Collector identifier,NA,Estrada 12,Other or unclassified name,NA,NA,NA,NA,,NA,S. Estrada,NA
NA,W6,NA,W6,NA,NA,SD,Gutierrezia microcephala,NA,NA,Wild material,NA,NA,10-14-2021,"United States, California, San Bernadino","United States, Idaho, Ada",120,Wild Habitat,"Cattle, ohv",Chilopsis linearis ssp. arcuata:Eriodictyon trichocalyx:Ericameria nauseosa:Lepidospartum squamatum:Cylindropuntia echinocarpa:Chamaesyce setiloba,Sub Unit Description :Barstow Field Office/ Geology Description : Mottino Wash/ Locality Description: Rattlesnake Canyon: SW from Bighorn Mountains and E from Baldwin Lake. 6.5 air miles S from Hwy-247 and Rattlesnake Canyon Rd junction. Collected S of Mottino Wash.,1560.8808000000001,34.27519,-116.66286,"NAD83",Lat/lon determined by GPS,"Collections: S. Estrada, D. Bell","Bureau of Land Management, SOS project",NA,CA930A,NA,NA,Public,BLM,NA,0.5,0-1,North,N,Sand,"Sand, Other:Gravel",NA,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA930A-992,Collector identifier,NA,Estrada 17,Other or unclassified name,NA,NA,NA,NA,,NA,S. Estrada,NA
NA,W6,NA,W6,NA,NA,SD,Chilopsis linearis subsp. arcuata,NA,NA,Wild material,NA,NA,10-14-2021,"United States, California, San Bernadino","United States, Idaho, Ada",125,Wild Habitat,"Cattle, ohv",Gutierrezia microcephala:Eriodictyon trichocalyx:Ericameria nauseosa:Lepidospartum squamatum:Cylindropuntia echinocarpa:Chamaesyce setiloba,Sub Unit Description :Barstow Field Office/ Geology Description : Mottino Wash/ Locality Description: Rattlesnake Canyon: SW from Bighorn Mountains and E from Baldwin Lake. 6.5 air miles S from Hwy-247 and Rattlesnake Canyon Rd junction. Collected S of Mottino Wash.,1560.8808000000001,34.27519,-116.66286,"NAD83",Lat/lon determined by GPS,"Collections: S. Estrada, D. Bell","Bureau of Land Management, SOS project",NA,CA930A,NA,NA,Public,BLM,NA,0.5,0-1,North,N,Sand,Sand: Gravel,NA,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA930A-993,Collector identifier,NA,Estrada 18,Other or unclassified name,NA,NA,NA,NA,,NA,S. Estrada,NA
NA,W6,NA,W6,NA,NA,SD,Pectis papposa var. papposa,NA,NA,Wild material,NA,NA,10-13-2021,"United States, California, San Bernadino","United States, Idaho, Ada",250,Wild Habitat,Flooded,Larrea tridentata:Yucca schidigera:Senna armata:Hilaria rigida:Amaranthus fimbriatus:Chamaesyce setiloba:Chamaesyce micromera,"Sub Unit Description :Needles Field Office/ Geology Description : NA/ Locality Description: Canyon/Wash E from Goffs, 2.3 road miles east on Goffs Rd, S from railroad tracks at the northernmost end of the Piute Mountains adjacent to Goffs Rd.",786.9936,34.91375,-115.02391,"NAD83",Lat/lon determined by GPS,"Collections: S. Estrada, D. Bell","Bureau of Land Management, SOS project",NA,CA930A,NA,NA,Public,BLM,NA,1,0-2,North,N,Sand,Sand: Gravel,NA,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA930A-994,Collector identifier,NA,Estrada 11,Other or unclassified name,NA,NA,NA,NA,,NA,S. Estrada,NA
NA,W6,NA,W6,NA,NA,SD,Muhlenbergia porteri,NA,NA,Wild material,NA,NA,11-05-2021,"United States, California, San Bernadino","United States, Idaho, Ada",374,Wild Habitat,Feral donkeys,Yucca schidigera:Yucca baccata:Coleogyne ramosissima:Prosopis glandulosa:Chilopsis linearis ssp. arcuata:Amaranthus fimbriatus:Bouteloua barbata:Bouteloua barbata var. barbata:Scutellaria ovata ssp. mexicana:Cylindropuntia acanthocarpa:Lycium cooperi:Ambrosia salsola:Ephedra sp.,"Sub Unit Description :Needles Field Office/ Geology Description : NA/ Locality Description: Mescal Range: NE foot of the Mescal Range. Bailey Rd. exit off Hwy-15, 0.8 road mi down Zinc Mine/White Eagle Rd. Collected on a hillside adjacent to White Eagle Rd.",1372.5144,35.4648,-115.51625,"NAD83",Lat/lon determined by GPS,"Collections: N. Fraga, C. Birker","Bureau of Land Management, SOS project",NA,CA930A,NA,NA,Public,BLM,NA,5,5,Northwest,NW,Loam,Other : Loam,NA,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA930A-995,Collector identifier,NA,Estrada 38,Other or unclassified name,NA,NA,NA,NA,,NA,S. Estrada,NA
NA,W6,NA,W6,NA,NA,SD,Purshia tridentata,NA,NA,Wild material,NA,A shrub with slender 3 lobed leaves that roll under on the margins  The plant grows from 2 feet to 7 feet  The leaves are alternate  tomentose on the underside  and the stems are rigid and branched  The flowers are yellow  with five petals  5 sepals  and many stamens ,07-09-2021,"United States, California, Modoc","United States, Idaho, Ada",165,Wild Habitat,Grazed,Juniperus occidentalis:Poa secunda:Leymus cinereus:Wyethia mollis:Lupinus argenteus,"Sub Unit Description :Applegate FO  Surprise Field Station/ Geology Description : Cowhead Gravel Pit/ Locality Description: From Fort Bidwell, CA travel .5 miles down CO RD 1 to the junction of CO RD 1 and CO RD 6. Turn north onto CO RD 1, and drive 6 miles. The population is along both sides of CO RD 1. A half mile further, a road to the right takes you to the Cowhead Community Gravel Pit.",1668.1704,41.9248,-120.06969,"NAD83",Lat/lon determined by GPS,Collections: Jen Mueller,"Bureau of Land Management, SOS project",NA,CA370,NA,NA,Public,BLM,NA,6,6-Feb,West,"SW, W, NW",Loam,Other : Gravelly Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA370-278,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Jen Mueller,NA
NA,W6,NA,W6,NA,NA,SD,Wyethia mollis,NA,NA,Wild material,NA,A perennial plant woolly in texture  The leaves are basal  often oblanceolate  and densely tomentose  Showy flower heads are born singularly or in small clusters at the end of the spike ,07-07-2021,"United States, California, Modoc","United States, Idaho, Ada",265,Wild Habitat,Burned:grazed,Poa secunda:Chaenactis douglasii:Purshia tridentata:Artemisia tridentata:Calochortus macrocarpus:Astragalus purshii:Lupinus argenteus:Paeonia brownii:Toxicoscordion venenosum,"Sub Unit Description :Surprise Field Station/ Geology Description : Mount Bidwell  Lartirogoyen Allotment/ Locality Description: From Fort Bidwell, CA travel .5 miles down CO RD 1 to the junction of CO RD 1 and CO RD 6. Turn north onto CO RD 1, and drive 2 miles to the junction of CO RD 1 and CO RD 4. Turn north onto CO RD 4. Drive 4.5 miles up the road, and then a dirt road will be on the left heading West towards Mount Bidwell. Travel up this road .5 miles. This road is passable with a UTV or 4WD.",1756.8672000000001,41.93619,-120.09948,"NAD83",Lat/lon determined by GPS,Collections: Jen Mueller,"Bureau of Land Management, SOS project",NA,CA370,NA,NA,Public,BLM,NA,40,Feb-40,East,"N, NE, E, SE, S",Loam,Other : Gravelly Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA370-279,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Jen Mueller,NA
NA,W6,NA,W6,NA,NA,SD,Chaenactis douglasii,NA,NA,Wild material,NA,A biennial forb rising from a basal rosette of gray green multilobed lacy leaves  The leaves are woolly  with tiny  tubular flowers on a flat topped cyme  Flowers are white to pinkish  and the fruit is an achene with a pappus ,07-07-2021,"United States, California, Modoc","United States, Idaho, Ada",165,Wild Habitat,Grazed,Poa secunda:Wyethia mollis:Purshia tridentata:Artemisia tridentata:Calochortus macrocarpus:Paeonia brownii:Astragalus purshii:Toxicoscordion venenosum,"Sub Unit Description :Surprise Field Station/ Geology Description : Mount Bidwell  Lartirogoyen Allotment/ Locality Description: From Fort Bidwell, CA travel .5 miles down CO RD 1 to the junction of CO RD 1 and CO RD 6. Turn north onto CO RD 1, and drive 2 miles to the junction of CO RD 1 and CO RD 4. Turn north onto CO RD 4. Drive 4.5 miles up the road, and then a dirt road will be on the left heading West towards Mount Bidwell. Travel up this road .5 miles. This road is passable with a UTV.",1756.8672000000001,41.93619,-120.09948,"NAD83",Lat/lon determined by GPS,Collections: Jen Mueller,"Bureau of Land Management, SOS project",NA,CA370,NA,NA,Public,BLM,NA,40,Feb-40,East,"N, NE, E, SE, S",Loam,Other : Gravelly Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA370-280,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Jen Mueller,NA
