Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (1),Voucher Location (2),Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Dodonaea viscosa,NA,NA,Wild material,NA,Large dark green shrub  leaves are mostly linear  sticky  and shiny above dull below  flowers have no petals so are difficult to spot  fruits are brown and 3 4 winged when dry,05-24-2018,"United States, Arizona , Yavapai","United States, Idaho",148,Wild Habitat,Grazed,Baccharis sarothroides:Simmondsia chinensis:Prosopis sp.:Cynodon dactylon:Opuntia sp.:Ericameria laricifolia:Acacia greggii,Sub Unit Description :Hieroglyphic Mountains/ Geology Description : Castle Hot Spring Rd./ Locality Description: From Phoenix take Interstate 17 North to Highway 74. Go approx. 29 miles east to Castle Hot Springs Road near Morristown then go NE approx. 19.25 miles to a canyon area along the road near a water source (probably from a nearby spring),848.868,33.9658,-112.45216,"NAD83",Lat/lon determined by GPS,"C. Flower, V.Nguyen, L. Clark","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,27.5,20-35,Undefined,"NE, SW",Sand,"Sand, Other : loam",Custom Category,Sonoran Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-372,Collector identifier,NA,NA,Other or unclassified name,NA,NA,03-29-2018,Desert Botanical GardenûArizona State UniversityûSmithsonianû,,NA,Kara Barron,In Field
NA,W6,NA,W6,NA,NA,SD,Larrea tridentata,NA,NA,Wild material,NA,Shrub 1 to 3 meters but sometimes taller  Leaves are made up of two  shiny leaflets united at the base and acute at the apex  ÃûÂ Ã â šÂ Ã â œPacmanÃûÂ Ã â šÂ ÃúÂ  shaped  Strongly scented especially after rain  yellow flowers  fruits are pubescent  hairs are white and silky  capsules that split into 5 sections ,06-07-2018,"United States, Arizona , Maricopa","United States, Idaho",373,Wild Habitat,NA,Fouquieria splendens:Olneya tesota:Carnegia gigantea:Encelia farinosa:Cylindropuntia bigelovii:Cylindropuntia acanthocarpa:Ambrosia deltoidea:Dasyochloa pulchella:Ferocactus cylindraceus:Parkinsonia microphylla:Simmondsia chinensis:Echinocereus engelmannii:Chamaesyce sp.:Dalea mollissima,"Sub Unit Description :BLM area/ Geology Description : public domain near Hells Canyon/ Locality Description: Take Interstate 10 north out of Phoenix to Highway 74, then west approx. 17 miles to Quintero Lane then north to Iron Age Drive and then east approximately 2.25 miles to the collection site on either side of the road",702.8688000000001,33.85788,-112.39788,"NAD83",Lat/lon determined by GPS,"C. Flower, V.Nguyen, D.Setaro","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,35,May-35,Southwest,SW,Unspecified,"Silt, Other : loam",Custom Category,Sonoran Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-373,Collector identifier,NA,NA,Other or unclassified name,NA,NA,04-19-2018,Arizona State UniversityûDesert Botanical GardenûSmithsonian,,NA,V.Nguyen,In Field
NA,W6,NA,W6,NA,NA,SD,Larrea tridentata,NA,NA,Wild material,NA,Shrub 1 to 3 meters but sometimes taller  Leaves are made up of two  shiny leaflets united at the base and acute at the apex  Ã âú Å PacmanÃ âú Â  shaped  Strongly scented especially after rain  yellow flowers  fruits are pubescent  hairs are white and silky  capsules that split into 5 sections ,06-14-2018,"United States, Arizona , Maricopa","United States, Idaho",161,Wild Habitat,NA,Ambrosia deltoidea:Ephedra fasciculata:Olneya tesota:Parkinsonia microphylla:Echinocereus engelmannii:Caulanthus sp.:Senegalia greggii:Acacia constricta:Cylindropuntia acanthocarpa:Cylindropuntia bigelovii:Plantago ovata:Plantago patagonica:Bromus sp.:Ferocactus cylindraceus:Carnegiea gigantea,Sub Unit Description :BLM area/ Geology Description : public domain near Hells Canyon/ Locality Description: Interstate 10 to Highway 74 (Carefree Highway) west to Quintero Lane then north about a quarter mile.,557.784,33.83105,-112.42058,"NAD83",Lat/lon determined by GPS,"Flower, C., Nguyen, V.","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,20,15 - 25,Southwest,SW,Unspecified,"Silt, Sand, Other : Loam",Custom Category,Sonoran Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-374,Collector identifier,NA,NA,Other or unclassified name,NA,NA,04-05-2018,SmithsonianûArizona State UniversityûDesert Botanical Garden,,NA,Kara Barron - Desert Botanical Garden,In Field
NA,W6,NA,W6,NA,NA,SD,Parkinsonia florida,NA,NA,Wild material,NA,Blueish green stems and blue green gray trunk  stems with straight spine at each node  flowers are yellow and 22 to 28 mm in racemes and banner petal has small orange spots ,07-12-2018,"United States, Arizona , Maricopa","United States, Idaho",79,Wild Habitat,Grazed,Celtis pallida:Senegalia greggii:Cylindropuntia leptocaulis:Olneya tesota:Bromus sp.:Parkinsonia microphylla,Sub Unit Description :Butcher Jones Recreation Area/ Geology Description : Butcher Jones Beach Road/ Locality Description: Take the Loop 202 out of the Phoenix area to Power Road north. (It becomes the Bush Highway) Take that to Butcher Jones Beach Road and then head east 1.75 miles to the wash area.,480.06,33.57647,-111.51819,"NAD83",Lat/lon determined by GPS,"Setaro, D., Nguyen, V., Flower, C.","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,15,15-May,East,E,Unspecified,Sand,Custom Category,Sonoran Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-375,Collector identifier,NA,NA,Other or unclassified name,NA,NA,04-27-2018,Desert Botanical GardenûArizona State UniversityûSmithsonianû,,NA,Carolyn Flower - Desert Botanical Garden,From pressed specimen on another date
NA,W6,NA,W6,NA,NA,SD,Bothriochloa barbinodis,NA,NA,Wild material,NA,NA,10-01-2018,"United States, Arizona , Santa Cruz","United States, Idaho",165,Wild Habitat,NA,Bouteloua curtipendula:Hilaria belangeri:Prosopis velutina:Isocoma tenuisecta:Yucca baccata:Bouteloua gracilis,"Sub Unit Description :Santa Rita Mountains/ Geology Description : Steven's Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on first and second ridges parallel with highway. Accessible from Tanglehead Lane.",1286.256,31.56347,-110.73619,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,10,10-May,Undefined,NA,Sand,Silt : Loam,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-376,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-01-2018,BLM Arizona, University of Arizona (ARIZ),NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Leptochloa dubia,NA,NA,Wild material,NA,NA,10-01-2018,"United States, Arizona , Santa Cruz","United States, Idaho",98,Wild Habitat,NA,Bouteloua curtipendula:Isocoma tenuisecta,"Sub Unit Description :Santa Rita Mountains/ Geology Description : Steven's Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on first and second ridges parallel with highway. Accessible from Tanglehead Lane.",1347.2160000000001,31.56347,-110.73619,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,10,10-May,Undefined,NA,Unspecified,"Silt, Other : Loam",Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-377,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-01-2018,BLM Arizona, University of Arizona (ARIZ),NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Pleuraphis mutica,NA,NA,Wild material,NA,NA,10-01-2018,"United States, Arizona , Cochise","United States, Idaho",195,Wild Habitat,Burned:Grazed,Bouteloua curtipendula:Gutierrezia microcephala:Prosopis velutina:Boerhavia gracillima:Bouteloua gracilis:Aristida ternipes:Bothriochloa barbinodis,Sub Unit Description :Swisshelm Mountains/ Geology Description : Barboot Ranch/ Locality Description: Permission required to access site. Access gate on west side of Leslie Canyon Road takes you to population near cattle tank and bull pen. 0.25 miles from Leslie Canyon Rd.,1499.3112,31.68277,-109.47597,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Francesca Claverie, Travis Gerckens","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,29.5,20-39,Undefined,NA,Sand,Other : Rocky,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-378,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-05-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Conoclinium greggii,NA,NA,Wild material,NA,Flowers purple,10-05-2018,"United States, Arizona , Cochise","United States, Idaho",55,Wild Habitat,Burned:Grazed,Bouteloua curtipendula:Gutierrezia microcephala:Prosopis velutina:Bouteloua gracilis:Aristida ternipes:Bothriochloa barbinodis,Sub Unit Description :Swisshelm Mountains/ Geology Description : Barboot Ranch/ Locality Description: Permission required to access site. Access gate on west side of Leslie Canyon Road takes you to population near cattle tank and bull pen. 0.25 miles from Leslie Canyon Rd.,1499.3112,31.68277,-109.47597,"NAD27",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Travis Gerckens, Francesca Claverie","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,29.5,20-39,Undefined,NA,Sand,Other : Rocky,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-379,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-05-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Panicum obtusum,NA,NA,Wild material,NA,Stoloniferous  rhizomatous,10-01-2018,"United States, Arizona , Santa Cruz","United States, Idaho",270,Wild Habitat,NA,Bouteloua curtipendula:Hilaria belangeri:Prosopis velutina:Yucca baccata:Bouteloua gracilis:Isocoma tenuisecta,"Sub Unit Description :Sana Rita Mountains/ Geology Description : Steven's Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, occuring on ridgelines, hillsides and in lowlands. Occurs in dense patches. Accessible from Tanglehead Lane.",1271.016,31.56627,-110.73536,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,10,10-May,Undefined,NA,Sand,Silt : Loam,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-380,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-01-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Aristida ternipes,NA,NA,Wild material,NA,NA,10-02-2018,"United States, Arizona , Santa Cruz","United States, Idaho",75,Wild Habitat,NA,Bouteloua curtipendula:Hilaria belangeri:Prosopis velutina:Yucca baccata:Isocoma tenuisecta:Bouteloua gracilis,"Sub Unit Description :Santa Rita Mountains/ Geology Description : Steven's Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on first and second ridges parallel with highway. Accessible from Tanglehead Lane.",1286.256,31.56347,-110.73619,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,10,10-May,Undefined,NA,Sand,Silt : Loam,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-381,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-02-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
