Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (1),Voucher Location (2),Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Cyperus grayi,NA,NA,Wild material,NA,"Inflorescence looks like fireworks, bulbous root growths. Grows in clumps.",29-Sep-15,"United States, Delaware, Sussex","United States, Idaho",500 +,Wild Habitat,NA,Juniperus virginiana:Pinus rigida:Pinus virginiana:Morella pensylvanica:Prunus serotina:Panicum amarum var. amarulum:Panicum amarum var. amarum:Hudsonia tomentosa:Dichanthelium ovale var. ovale:Schizachyrium littorale,"Sub Unit Description :Cape Henlopen State Park/ Geology Description : Dune system near Herring Point and off of beach access raod near Bidens Environmental Center, and Great Dune./ Locality Description: Enter park from Cape Henlopen Drive off of Rt. 9. Population grows on back dunes throughout the park. Beach access road is off the main road north of the Bidens Environmental Center, dunes are accessible from there. Drive past Bidens Environmental Center to Herring Point to access dunes in that area. To access the Great Dune, take the connector trail from the campground parking area towards the observation tower.",2.7432000000000003,38.76361,-75.0828,"NAD83",Lat/lon determined by GPS,"Carncross, P.; Weinman, L.","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,undulating,Undefined,NA,Sand,Sand,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-176,Collector identifier,NA,SAN 10123,Other or unclassified name,NA,NA,"2:29 SEP 2015:MARSB, Smithsonian û",Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,Clara Holmes - MARSB:From pressed specimen on another date:20 NOV 2015,NA
NA,W6,NA,W6,NA,NA,SD,Juncus secundus,NA,NA,Wild material,NA,"Plants are in seed. The inflorescences are straw colored. The inflorescences are at the top of the stem, not spreading. It is taller than Juncus tenuis.",NA,"United States, New York, Richmond","United States, Idaho",500 +,Wild Habitat,Burned,Robinia pseudoacacia:Populus deltoides:Quercus rubra:Betula populifolia:Morella pensylvanica:Rhus copallinum:Morus alba:Populus alba:Rudbeckia hirta:Salix sp.:Lythrum salicaria:Lespedeza capitata:Panicum virgatum:Eupatorium hyssopifolium:Schizachyrium scoparium:Cyperus echinatus,Sub Unit Description :Ocean Breeze City Park/ Geology Description : Trails not named/ Locality Description: Take Victory Blvd. northeast from Greenbelt Native Plant Center. Take a right onto Todt Hill Rd. Make a left onto Four Corners and another left onto Richmond Rd. Take a right onto Burgher Ave. The park is at the end of the avenue.,0.9144000000000001,40.58505,-74.07813,"NAD83",Lat/lon determined by GPS,"HL, KR, LF","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,0,0,Undefined,NA,Sand,Sand,Northern Piedmont,Northern Piedmont (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-215,Collector identifier,NA,9940,Other or unclassified name,NA,NA,"2:27 JUL 2015:MARSB, Smithsonianû",Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,::,NA
NA,W6,NA,W6,NA,NA,SD,Pityopsis falcata,NA,NA,Wild material,NA,"Yellow flowers, thin sickle-shaped leaves",16-Sep-15,"United States, New York, Suffolk","United States, Idaho",150 +,Wild Habitat,ATV use,Quercus prinus:Quercus velutina:Quercus alba:Nyssa sylvatica:Carya glabra:Sassafras albidum:Gaylussacia baccata:Vaccinium corymbosum:Vaccinium angustifolium:Vaccinium pallidum:Kalmia latifolia:Clethra alnifolia:Comptonia peregrina:Euthamia caroliniana:Lespedeza hirta:Schizachyrium scoparium:Polygonella articulata:Ionactis linariifolius,"Sub Unit Description :Long Pond Greenbelt/ Geology Description : Main trail, powerline cut/ Locality Description: Drive South on Main St. in Sag Harbor. After Otter Pond, enter Mashashimuet Park. The population is along the Long Pond Greenbelt.",8.5344,40.98002,-72.29358,"NAD83",Lat/lon determined by GPS,"Russell, K.; Feinberg, L.","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,NA,Undefined,NA,Sand,Sand,Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-240,Collector identifier,NA,10070,Other or unclassified name,NA,NA,"2:16 SEP 2015:MARSB, Smithsonianû",Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,::,NA
NA,W6,NA,W6,NA,NA,SD,Schizachyrium littorale,NA,NA,Wild material,NA,NA,21-Oct-15,"United States, New York, Suffolk","United States, Idaho",350 +,Wild Habitat,NA,Prunus maritima:Juniperus virginiana:Opuntia humifusa:Juncus gerardii:Spartina patens:Panicum virgatum:Rosa virginiana:Toxicodendron radicans:Limonium carolinianum:Salicornia depressa:Hudsonia tomentosa,"Sub Unit Description :Sammys Beach/ Geology Description : Beaches/ Locality Description: From Northwest Harbor, take Northwest Rd North. Turn right on Ely Brook Road, left on Old House Landing Road and right on Sammys Beach Road. Park in the lot and collect.",1.524,41.03105,-72.18955,"NAD83",Lat/lon determined by GPS,"KR, LF","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,NA,Undefined,NA,Sand,Sand,Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-275,Collector identifier,NA,NA,Other or unclassified name,NA,NA,2:21 OCT 2015:MARSBûSmithsonianû,Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,::,NA
NA,W6,NA,W6,NA,NA,SD,Scirpus cyperinus,NA,NA,Wild material,NA,NA,6-Oct-15,"United States, New Jersey, Cumberland","United States, Idaho",100 plants sampled,Wild Habitat,Mowed,Pinus rigida:Quercus ilicifolia:Kalmia latifolia:Kalmia latifolia:Lyonia mariana:Lespedeza sp.:Gaylussacia sp.:Cirsium sp.:Rubus hispidus:Panicum virgatum:Schizachyrium scoparium:Andropogon virginicus,"Sub Unit Description :Edward G. Bevan WMA/ Geology Description : NA/ Locality Description: From NJ Turnpike South, take exit 3 toward Camden. Take NJ-42 S and merge onto NJ-55 S. Take exit 27 toward Millville. Take Sharp St, S Race St, Dividing Creek Rd and Dividing Creek-Millville Rd/Narrow Lane Rd to Spring Garden Rd. Collection began east of field on right side of entrance road.",25.6032,39.34313,-75.07905,"NAD83",Lat/lon determined by GPS,"Santel, M., Over, P.","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,NA,Undefined,NA,Sand,Sand,Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-339,Collector identifier,NA,10142,Other or unclassified name,NA,NA,2:06 OCT 2015:SmithsonianûMARSB,Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,::,NA
NA,W6,NA,W6,NA,NA,SD,Eupatorium hyssopifolium,NA,NA,Wild material,NA,NA,20-Oct-15,"United States, New Jersey, Burlington","United States, Idaho",200 plants sampled,Wild Habitat,NA,Pinus rigida:Quercus ilicifolia:Gaylussacia sp.:Lyonia mariana:Clethra alnifolia:Euthamia caroliniana:Comptonia peregrina:Diodia teres:Tridens flavus:Sorghastrum nutans:Andropogon virginicus:Schizachyrium scoparium,Sub Unit Description :Stafford Forge WMA/ Geology Description : Fields/ Locality Description: Take Garden State Parkway to exit 58. Turn right on CR 539 N. Destination is on right.,19.2024,39.68852,-74.36763,"NAD83",Lat/lon determined by GPS,"Santel, M., Over, P.","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,NA,Undefined,NA,Sand,Sand,Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-349,Collector identifier,NA,10243,Other or unclassified name,NA,NA,2:20 OCT 2015:SmithsonianûMARSB,Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,::,NA
NA,W6,NA,W6,NA,NA,SD,Solidago sempervirens,NA,NA,Wild material,NA,NA,3-Nov-15,"United States, New York, Nassau","United States, Idaho",200 +,Wild Habitat,Some areas restored,Prunus maritima:Prunus serotina:Juniperus virginiana:Morella pensylvanica:Rubus sp.:Toxicodendron radicans:Solidago sempervirens:Ammophila breviligulata:Schizachyrium littorale,"Sub Unit Description :Jones Beach State park/ Geology Description : Beach & Bike path along road/ Locality Description: In Jones Beach State Park, park in field 6. Hike East along the dunes.",1.2192,40.61213,-73.42044,"NAD83",Lat/lon determined by GPS,"Feinberg, L., Russell, K.","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,NA,Undefined,NA,Sand,Sand,Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-354,Collector identifier,NA,10179,Other or unclassified name,NA,NA,2:03 NOV 2015:MARSBûSmithsonian,Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,::,NA
NA,W6,NA,W6,NA,NA,SD,Sorghastrum nutans,NA,NA,Wild material,NA,NA,20-Oct-15,"United States, New Jersey, Burlington","United States, Idaho",300 plants sampled,Wild Habitat,Mowed,Pinus rigida:Quercus ilicifolia:Gaylussacia sp.:Lyonia mariana:Clethra alnifolia:Euthamia caroliniana:Eupatorium hyssopifolium:Comptonia peregrina:Diodia teres:Schizachyrium scoparium:Tridens flavus:Andropogon virginicus,Sub Unit Description :Stafford Forge WMA/ Geology Description : Fields/ Locality Description: Take Garden State Parkway to exit 58. Turn right on CR 539 N. Destination is on right.,21.031200000000002,39.69069,-74.38213,"NAD83",Lat/lon determined by GPS,"Santel, M., Over, P.","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,NA,Undefined,NA,Sand,Sand,Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-368,Collector identifier,NA,10247,Other or unclassified name,NA,NA,2:20 OCT 2015:SmithsonianûMARSB,Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,::,NA
NA,W6,NA,W6,NA,NA,SD,Kalmia angustifolia,NA,NA,Wild material,NA,NA,21-Oct-15,"United States, New Jersey, Cape May","United States, Idaho",100 plants sampled,Wild Habitat,NA,Pinus rigida:Quercus ilicifolia:Lyonia sp.:Euthamia caroliniana:Gaylussacia sp.:Rhexia mariana:Schizachyrium scoparium:Chasmanthium laxum:Andropogon glomeratus,"Sub Unit Description :Belleplain State Forest/ Geology Description : Old Cape Trail/ Locality Description: Take Garden State Parkway to exit 25 and turn right onto US 9 S. Turn right onto NJ-50 N, left on NJ-49 W, left onto Weatherby Rd, left on Belleplain Rd. Powerline cut will be on left.",15.8496,39.28644,-74.84361,"NAD83",Lat/lon determined by GPS,"Santel, M., Over, P.","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,NA,Undefined,NA,Unspecified,NA,Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-371,Collector identifier,NA,10250,Other or unclassified name,NA,NA,2:21 OCT 2015:SmithsonianûMARSB,Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,::,NA
NA,W6,NA,W6,NA,NA,SD,Cephalanthus occidentalis,NA,NA,Wild material,NA,NA,22-Oct-15,"United States, New Jersey, Ocean","United States, Idaho",62 plants sampled,Wild Habitat,NA,Acer rubrum:Eubotrys racemosa:Rhexia virginica:Lachnanthes caroliniana:Smilax rotundifolia:Vaccinium macrocarpon:Cyperus sp.:Cyperus sp.:Panicum virgatum:Scirpus cyperinus,"Sub Unit Description :Double Trouble State Park/ Geology Description : Cranberry Bogs/ Locality Description: Take Garden State Parkway to exit 77. Continue on Double Trouble Rd to park. Follow trail to left, population begins in bogs.",10.0584,39.89505,-74.22066,"NAD83",Lat/lon determined by GPS,"Over, P., Santel, M.","Bureau of Land Management, SOS project",NA,MARSB,NA,NA,NA,NA,Undefined,NA,Sand,Sand,Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARSB-374,Collector identifier,NA,10253,Other or unclassified name,NA,NA,2:22 OCT 2015:SmithsonianûMARSB,Smithsonian (US),Mid-Atlantic Regional Seed Bank,NA,::,NA
