Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Suaeda maritima,NA,NA,Wild material,NA,˚succulent narrowly lance-shaped leaves interspersed with clusters of sessile round 5 merous capsules; prostrate/creeping˚,3-Nov-17,"United States, Massachusetts, Plymouth","United States, Idaho",60 plants sampled,Wild Habitat,Flooded,Juncus gerardii:Spartina patens:Spartina alterniflora:Iva frutescens:Salicornia depressa:Solidago sempervirens:Limonium carolinianum:Limonium carolinianum:Limonium carolinianum:Limonium carolinianum,Sub Unit Description :Captain Cushman Preserve/ Geology Description : Salt marsh adjacent to field/ Locality Description: From Boston take 93S to MA-3 S. Get off at Exit 11 and follow MA-14E to George St. Turn right onto Anchorage Ln and follow the road to the parking lot at the end. Take either meadow trail to the forest. Cut through the forest to reach the salt marsh.,1.524,42.04444,-70.67663,"NAD83",Lat/lon determined by GPS,"Kang, K.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Clay,"Clay, Silt, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-871,Collector identifier,NA,240,Other or unclassified name,NA,NA,2:03 NOV 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:03 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Typha latifolia,NA,NA,Wild material,NA,Wide leaf blades,26-Aug-15,"United States, Virginia, James City","United States, Idaho",60 plants sampled,Wild Habitat,NA,Mikania scandens:Carex lurida:Juncus effusus:Acer rubrum:Morella cerifera:Quercus sp.:Pinus sp.:Juncus sp.,"Sub Unit Description :York River State Park/ Geology Description : York River Park Road/ Locality Description: From start of York River Park Road at York River State Park sign, go 0.9 mile to collection site on right in marsh.",3.9624,37.43282,-76.72165,WGS84,Lat/lon determined by GPS,"Heraty, M., Dakar, J.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0 - 2,Undefined,NA,Sand,Other : sandy loam,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-262,Collector identifier,NA,JD-108,Other or unclassified name,NA,NA,2:26 AUG 2015:Smithsonian˚North Carolina University,NA,J. Dakar:In Field:26 AUG 2015,NA
NA,W6,NA,W6,NA,NA,SD,Chamaedaphne calyculata,NA,NA,Wild material,NA,"Ericaceous white flowers; needle like, tough, glabrous leaves, often standing upright in two rows on arching branches; seeds in dehiscent capsules˚",17-Nov-17,"United States, Connecticut, New London","United States, Idaho",58 plants sampled,Wild Habitat,Flooded,Kalmia angustifolia:Juncus canadensis:Clethra alnifolia,"Sub Unit Description :Pachaug State Forest/ Geology Description : Hell Hollow Pond/ Locality Description: Take 14A west, exit onto 49 south; turn right onto Hell Hollow Rd (closed Dec-March), pond should be on your north side",96.6216,41.582,-71.86019,"NAD83",Lat/lon determined by GPS,"Cecil, A.; Estevez, C.; Kang, K.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Sand,"Clay, Silt, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-923,Collector identifier,NA,292,Other or unclassified name,NA,NA,2:17 NOV 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:17 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Fimbristylis castanea,NA,NA,Wild material,NA,NA,22-Sep-16,"United States, Virginia, Mathews","United States, Idaho",80 plants sampled,Wild Habitat,NA,Paspalum sp.:Phragmites australis:Panicum anceps:Pinus taeda:Distichlis spicata:Juniperus virginiana:Baccharis halimifolia:Iva frutescens:Spartina patens,"Sub Unit Description :New Point Comfort Preserve/ Geology Description : Lighthouse Rd/ Locality Description: From Bavon, VA head SE on VA-600 for 0.4 miles. Population on left.",0.6096,37.32972,-76.28341,"NAD83",Lat/lon determined by GPS,"Dakar, J.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-2,Undefined,NA,Sand,Other : Sandy loam,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-548,Collector identifier,NA,JD-186,Other or unclassified name,NA,NA,"2:22 SEP 2016:NCU, US",NA,J. Dakar - NCBG:In Field:22 SEP 2016,NA
NA,W6,NA,W6,NA,NA,SD,Triglochin maritima,NA,NA,Wild material,NA,numerous small green sessile flowers on a long green stem˚,27-Jul-17,"United States, Connecticut, New London","United States, Idaho",150+,Wild Habitat,Flooded,Salicornia depressa:Juncus gerardii:Spartina patens:Spartina patens:Spartina alterniflora:Schoenoplectus americanus:Schoenoplectus americanus,Sub Unit Description :Bluff Point State Park/ Geology Description : Gravel Road/Poquonnock River bank/ Locality Description: Take 95S to exit 88. Turn left onto CT-1175. Turn right onto Fort Hill Rd. Turn left onto Depot Rd. Park at parking area and walk down gravel path. Population in first salt marsh off of trail.,1.524,41.33025,-72.03341,"NAD83",Lat/lon determined by GPS,"Cecil, A.; Estevez, C.; Kang, K.; Piantedosi, M.; Tokarz, E.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,0,0,Undefined,NA,Clay,Clay,Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-648,Collector identifier,NA,17,Other or unclassified name,NA,NA,1 :27 JUL 2017:Smithsonian ˚,NA,M. Piantedosi; NEWFS:In Field:27 JUL 2017,NA
NA,W6,NA,W6,NA,NA,SD,Solidago altissima,NA,NA,Wild material,NA,˚pyramidal inflorescence with a prominent mid vein and slightly to no serrations along the leaf margin˚,20-Oct-17,"United States, New Hampshire, Rockingham","United States, Idaho",78 plants sampled,Wild Habitat,Mowed,Schizachyrium scoparium:Berberis thunbergii:Prunus serotina:Prunus serotina:Prunus serotina:Prunus serotina:Celastrus orbiculatus:Carya sp.:Acer sp.,"Sub Unit Description :Great Bay NWR/ Geology Description : Ferry Way Trail/ Locality Description: Take 95 N to exit 4 on the left to merge onto 16 N/US-4 W. Take exit 1 for Gosling Road. Turn left onto Gosling Road. Turn right onto Arboretum Drive. At the traffic circle, take the third exit and stay on Arboretum Drive. Drive to the parking lot. Take the trail around the fenced-in weapons storage field and make a left to Beaver Pond. Head right across the bridge to a grassy meadow preceding the salt marsh and the population is along the forest line.",0.9144000000000001,43.09138,-70.85272,"NAD83",Lat/lon determined by GPS,"Tokarz, E.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Sand,"Clay, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-819,Collector identifier,NA,188,Other or unclassified name,NA,NA,1:20 OCT 2017:Smithsonian,NA,M. Piantedosi - NEWFS:In Field:20 OCT 2017,NA
NA,W6,NA,W6,NA,NA,SD,Schizachyrium scoparium,NA,NA,Wild material,NA,"˚Burgundy/purple stemmed grass, grows in dense clusters in open areas; seed heads visible as little white fluffy tufts along stem˚",20-Oct-17,"United States, New Hampshire, Rockingham","United States, Idaho",1585 plants sampled,Wild Habitat,Mowed,Eragrostis spectabilis:Digitaria cognata:Lespedeza capitata:Rhus typhina:Toxicodendron radicans,"Sub Unit Description :Great Bay NWR/ Geology Description : Open meadow/ Locality Description: Take 95 N to exit 4 on the left to merge onto 16 N/US-4 W. Take exit 1 for Gosling Road. Turn left onto Gosling Road. Turn right onto Arboretum Drive. At the traffic circle, take the third exit and stay on Arboretum Drive. Meadow is located on the right across from the fenced airfield.",17.3736,43.09494,-70.83841,"NAD83",Lat/lon determined by GPS,"Cecil, A.; Estevez, C.; Kang, K.; Tokarz, E.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Sand,"Clay, Silt",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-820,Collector identifier,NA,189,Other or unclassified name,NA,NA,1:20 OCT 2017:Smithsonian,NA,M. Piantedosi - NEWFS:In Field:20 OCT 2017,NA
NA,W6,NA,W6,NA,NA,SD,Schizachyrium scoparium,NA,NA,Wild material,NA,"˚tufted seeds regularly spaced, blow easily off inflorescence˚",1-Nov-17,"United States, Rhode Island, Washington","United States, Idaho",512 plants sampled,Wild Habitat,Mowed:Trampled,Solidago rugosa:Solidago altissima:Euthamia graminifolia:Euthamia caroliniana:Morella caroliniensis:Betula populifolia:Betula populifolia,Sub Unit Description :Ninigret NWR/ Geology Description : Entrance Rd./ Locality Description: Take 93s to 95s. Keep left at the fork for RI-4S. Continue straight onto US-1S. Slight right onto Bend Road. Use that road to get to the Traffic Light to make a U-turn to get to Ninigret Entrance Road. Population surrounds parking lot.,3.9624,41.36608,-71.66194,"NAD83",Lat/lon determined by GPS,"Cecil, A.; Estevez, C.; Kang, K.; Tokarz, E.;","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Clay,"Sand, Other : Gravel",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-853,Collector identifier,NA,222,Other or unclassified name,NA,NA,1:01 NOV 2017:Smithsonian,NA,M. Piantedosi - NEWFS:In Field:01 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Hibiscus moscheutos,NA,NA,Wild material,NA,NA,24-Aug-16,"United States, Maryland, Caroline","United States, Idaho",73 plants sampled,Wild Habitat,NA,Phyla sp.:Panicum virgatum:Lobelia cardinalis:Peltandra virginica:Amaranthus cannabinus:Typha latifolia:Mikania scandens:Zizania aquatica,"Sub Unit Description :Choptank Wetland Preserve/ Geology Description : Choptank River Tract, off Broadwalk/ Locality Description: From Easton, MD, head east on Dover Rd. for 3 miles. Turn right onto Kingston Rd-private property, need gate access-continue on road, left past house. Boardwalk begins approx. 3/4 miles on left. Population all along boardwalk.",1.2192,38.77238,-75.97663,"NAD83",Lat/lon determined by GPS,"Dakar, J., Healy, C., Walker, S., Flood, M., Faucette, A.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-2,Undefined,NA,Unspecified,Other : Silt Loam,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-489,Collector identifier,NA,MF-43,Other or unclassified name,NA,NA,"2:24 AUG 2016:US, NCU",NA,M. Flood-NCBG:In Field:24 AUG 2016,NA
NA,W6,NA,W6,NA,NA,SD,Panicum amarum,NA,NA,Wild material,NA,NA,19-Sep-17,"United States, Virginia, Accomack","United States, Idaho",300 plants sampled,Wild Habitat,NA,Morella pensylvanica:Diodia teres:Uniola paniculata:Hudsonia tomentosa:Cyperus grayi,"Sub Unit Description :Chincoteague NWR/ Geology Description : End of Service Rd/ Locality Description: Population at end of road, northernmost part of the refuge.",2.4384,38.0063,-75.26077,"NAD83",Lat/lon determined by GPS,"Dakar, J., Faucette, A., Healy, C.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-15,Undefined,"N, NE, E, SE, S, SW, W, NW",Sand,Sand,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-732,Collector identifier,NA,ALF-607,Other or unclassified name,NA,NA,"2:19 SEP 2017:NCU, US",NA,A. Faucette-NCBG:In Field:19 SEP 2017,NA
